id,source,translation,n2m
1,"""Tak co, líbí se ti něco?"" zeptal se Frodo, když viděl, jak na obrázky koukám.","""No co, podoba ci się coś?"" zapytał Frodo, widząc jak patrzę na obrazy.",1-1
2,"""Všechno,"" přikývla jsem.","""Wszystko,"" przytaknęłam.",1-1
3,Moje obrázky vedle těch jeho vypadaly jako úplný mazanice.,Moje obrazy obok jego wyglądały jak kompletna plama.,1-1
4,Až jsem se před ním styděla.,Wstydziłam się przed nim.,1-1
5,"""Tenhle nejvíc,"" ukázala jsem na zasněženou krajinu.","""Ten najbardziej,"" pokazałam na ośnieżony krajobraz.",1-1
6,"""Tak si ho vezmi, jestli chceš,"" mrkl na mě Frodo, ""teda pokud mi taky jeden svůj dáš.""","""Weź go sobie, jeśli chcesz,"" Mrugnął do mnie Frodo, ""to jest, jeśli dasz mi jeden swój.",1-2
7,"""Když moje nejsou tak pěkný,"" zavrtěla jsem hlavou a nemohla jsem spustit oči z Frodovy krajiny.","""Gdy moje nie są tak ładne,"" potrząsnęłam głową i nie mogłam oderwać oczu od krajobrazu Frodo.",1-1
8,"Do tý doby mě nenapadlo, že by učitel mohl taky malovat.","Do tej pory nie przyszło mi do głowy, że nauczyciel mógłby też malować.",1-1
9,"Teda nikdy žádná učitelka na výtvarku nám neukázala žádnej obrázek, kterej dělala.","Cóż, żadna nauczycielka od plastyki nigdy nie pokazała nam żadnego obrazu, który by namalowała.",1-1
10,"Jen jsem přikývla a Frodo sáhl na skříň, kde měl takovou roli a v ní několik výkresů.","Tylko kiwnęłam głową, a Frodo sięgnął do szafy, gdzie miał taką rolkę z kilkoma rysunkami w środku.",1-1
11,"Když je vytáhl, zavoněly z toho nějaký barvy, myslím, že to byly opravdový malířský.","Gdy je wyjął, poczuł zapach farb, myślę, że były to prawdziwe artystyczne.",1-1
12,"Na několika obrázcích byly různý postavy, nebo třeba jen člověk jako by si obtiskl páteř na papír, potom takový krásný domečky a několik takovejch neurčitejch krajin.","Na kilku obrazach były różne postacie, albo choćby tylko człowiek, jakby odbił kręgosłup na papierze, potem takie piękne domeczki i kilka takich nieokreślonych krajobrazów.",1-1
13,"Ty se mi líbily nejvíc, protože na nich vlastně skoro nic nebylo, třeba jen jako zasněžená krajina, kde trošičku vylízala ze sněhu hlína a kousek hráze u rybníka, ale přitom to bylo úplně nejlepší.","Podobały mi się najbardziej, bo właściwie nic na nich nie było, może tylko jak zasnieżony krajobraz, gdzie troszkę ziemi wystawało spod śniegu i kawałek tamy przy stawie, ale to było naprawdę najlepsze.",1-1
