id,source,target,n2m
1,Celui qui est sous ma joue est un manuscrit d'amour : c'est l'histoire d'un mec qui rencontre une fille mais il est marié et elle a un copain.,私の頬の下にあるのは愛の原稿です: それは女の子と出会う男の物語ですが、彼は結婚していて、彼女にはボーイフレンドがいます。,1-1
2,J'en ai lu sept pages et je le connais déjà par cœur.,私はそれを7ページ読んで、すでに彼を心から知っています。,1-1
3,Rien ne pourra me surprendre.,私を驚かせるものは何もありません。,1-1
4,"Depuis des lunes, je ne lis plus, je relis.",月の場合、私はもう読んでいません。,1-1
5,"La même vieille bouillie dont on fait des « nouveautés », des saisons, des rentrées « littéraires », des succès, des bides, des bides.",私たちが「ノベルティ」、季節、「文学」のリターン、成功、フロップ、フロップを作るのと同じ古いお粥。,1-1
6,"Du papier qu'on recycle, des camions qui partent le matin et qui rentrent le soir, bourrés de nouveautés déjà hors d'âge.",私たちがリサイクルする紙、朝出発して夕方に戻ってくるトラック、すでに時代遅れのノベルティが詰め込まれています。,1-1
7,Depuis combien d'années ai-je arrêté de sauter de joie à l'idée que j'allais découvrir un chef-d'œuvre et rentrer au bureau le lundi en étant un homme neuf?,傑作を発見し、月曜日に新しい男がオフィスに戻ってくるという考えに、喜びに飛びつくのをやめたのは何年前ですか?,1-1
8,Vingt ans? Trente ans? Je n'aime pas tenir ce genre de compte qui sent la mort.,20年？ 30年？このような死の匂いがするようなアカウントを維持するのは好きではありません。,3-1
9,"Si je ferme les yeux je vois la lueur jaune uniforme de la lampe de Perzel à travers mes paupières et puis des formes noires l'envahissent, construisant des ruines mouvantes, des dessins de Victor Hugo.",目を閉じると、まぶたを通してペルゼルのランプの均一な黄色の輝きが見え、黒い形がそこに侵入し、ヴィクトル・ユーゴーの絵である動く遺跡を構築します。,1-1
10,"Mon souffle ralentit, mon cœur se calme un peu, je pourrais m'endormir, mourir.",呼吸が遅くなり、心が少し落ち着き、眠りに落ちて死ぬかもしれません。,1-1
11,Mourir à l'attache.,フックで死ぬ。,1-1
12,"On dirait : « Il est mort comme il a vécu, parmi les livres, en lisant! » et, en vérité, je serais mort en rêvant à rien.",「彼は本を読みながら生きながら死んだ！」と言う人もいるでしょう。 実のところ、私は何も夢見て死んでいたでしょう。,1-2
13,Il y a bien bien longtemps que je ne lis plus vraiment.,本当に久しぶりに読みました。,1-1
14,Est-ce que je sais seulement encore lire ce qui s'appelle lire?,私はまだ読む方法さえ知っていますか？,1-1
15,En suis-je seulement capable?,私はそれができますか？,1-1
16,"Si je tourne la tête sur le côté, mon cœur cogne davantage et fait trembler le bois.",首を横に振るとドキドキが増し木が揺れる…,1-1
17,La maison est plongée tout entière dans un silence de vieux papier.,家全体が古い紙の静寂に浸っています。,1-1
18,"Comme la neige, les livres mangent les bruits.",雪のように、本は音を食べる。,1-1
19,Mon métier a son odeur et ses étouffements.,私の仕事には匂いと息苦しさがあります。,1-1
20,Je le respire encore mieux dans ce silence.,この沈黙の中で、私はそれをさらによく呼吸します。,1-1
21,Retourner au bruit du monde est toujours une épreuve.,世界の騒音に戻ることは常にテストです。,1-1
22,Qui peut bien frapper?,誰がノックできますか？,1-1
23,"Je ne reconnais pas cette frappe légère, petite, discrète.",私はこの軽くて小さくて目立たない一撃を認識していません。,1-1
24,Petite main.,小さな手。,1-1
25,Entrez.,- お入りください。,1-1
26,Elle entre.,彼女は入ります。,1-1
27,Je ne l'ai jamais vue.,私は彼女を見たことがありません。,1-1
28,"J'ai aussitôt une bouffée de nostalgie, la nostalgie du temps où la maison était encore si petite que je reconnaissais toutes les filles par leurs mollets dans les couloirs.",家がまだとても小さかったので、廊下ですべての女の子をふくらはぎで認識したときの懐かしさです。,1-1
29,Elle a une bonne tête.,彼女は頭がいい。,1-1
30,"Vu son regard étonné, la mienne doit être un rien froissée.",彼の驚いた表情を考えると、私の体は少しくしゃくしゃになっているに違いありません。,1-1
31,"Des marques rouges de la manche de ma veste sur ma joue, sans doute.",ジャケットの袖の赤い跡が頬にあるのは間違いない。,1-1
32,"Je vous dérange? Je survivrai à votre passage, Mademoiselle.",- ご迷惑をかけていますか ？ 「私はあなたの通過を生き延びます、マドモアゼル。,2-1
33,"Qui êtes-vous? Ben, je suis la stagiaire! Dans quel service? On ne me l'a pas dit.",あなたは誰 ？ -まあ、私はインターンです！ – どの部門で？ - 彼らは私に言いませんでした。,4-1
34,"Vous savez, nous les stagiaires, on abat tellement de boulot qu'on a intérêt à être polyvalents.",ご存知のように、私たちインターンは非常に多くの仕事をしているので、多才であることは私たちの関心事です。,1-1
35,Vous voulez une augmentation?,-昇給したいですか？,1-1
36,"Non, je ne gagne rien.",-いいえ、私は何も稼いでいません。,1-1
