id,source,target,n2m
1,"Alles zu vergessen, ist gewiss schlimm.",すべてを忘れることは確かに悲惨なことです。,1-1
2,"Noch schlimmer ist, nichts zu vergessen, wird doch jedes Wissen erst durch Vergessen erzeugt.",さらに悪いのは、何も忘れないことです。 なぜなら、知識はすべて忘れることによって生まれるからです。,1-2
3,"Wenn alles unterschiedslos gespeichert ist, wie auf den elektrische Energie verbrauchenden Datenspeichern, verliert es seine Bedeutung und wird zu einer ungeordneten Ansammlung unbrauchbarer Information.",電力を消費するデータストレージにすべてを無差別に保存すると、その意味を失い、使い物にならない情報の混乱した集合体になってしまいます。,1-1
4,"Ein Gedächtnis, das alles bewahrte, bewahrte im Grunde nichts.",すべてを覚えている記憶は、実際には何も覚えていない。,1-1
5,"Jene Kalifornierin, die sich ohne Mnemotechnik jeden einzelnen Tag seit dem 5.",1980年2月5日以来、暗記術なしで毎日を思い出すことができるカリフォルニアの女性は、彼女に絶えず襲いかかる記憶のエコースペースに囚われています。,1-1
6,"Februar 1980 vergegenwärtigen kann, ist gefangen im Echoraum ihrer fortwährend auf sie einstürzenden Erinnerungen — eine Wiedergängerin jenes attischen Feldherrn Themistokles, der jeden einzelnen Bürger seiner Heimatstadt mit Namen zu nennen wusste und der dem Mnemoniker Simonides ausrichten ließ, eher begehre er die Kunst des Vergessens als die des Gedächtnisses zu erlernen: ""Auch was ich nicht in der Erinnerung behalten will, das behalte ich; was ich jedoch vergessen will, das kann ich nicht vergessen"".",彼女は古代アテネの軍師テミストクレスに似ていて、彼は彼の故郷のあらゆる市民を名前で呼ぶことができ、暗記術家シモニデスに、記憶術よりも忘却術を学ぶことを望むように伝えました：「記憶に残したくないものも、残しておくよ。 私が忘れたいと思っていても、忘れることはできない」,1-2
7,"Eine Vergessenskunst ist aber ein Ding der Unmöglichkeit, weil alle Zeichen Anwesenheiten darstellen, selbst wenn sie auf Abwesenheiten verweisen.",しかし、忘却の術は不可能なことである、なぜならすべての記号が存在を表すからであり、それが不在を示唆していてもです。,1-1
8,"Beinahe jeden, den im Römischen Reich der Bann der damnatio memoriae traf, behaupten die Enzyklopädien mit Namen zu kennen.",ローマ帝国で「記憶の汚辱」を受けたほとんどの人々は、名前を知っているということを、百科事典で主張しています。,1-1
9,"Der Freitod erscheint vielleicht als die radikalste Maßnahme, über die Ungewissheit der Zukunft zu triumphieren, freilich zum Preis einer verkürzten Existenz.",自殺は、未来の不確実性に勝つために最も極端な手段として考えられるかもしれませんが、それは短い存在を代償にしているということを忘れてはなりません。,1-1
10,"Es wird berichtet, dass zu den Geschenken jener indischen Gesandtschaft, die Augustus einst auf der Insel Samos empfing, nicht nur ein Tiger und ein armloser Jüngling, der seine Füße wie Hände zu benutzen wusste, gehörten, sondern auch ein Mann namens Zarmaros aus der Kaste der Brahmanen, der sein Leben selbst zu beenden gedachte, gerade weil es so verlaufen sei wie gewünscht.",アウグストゥスがサモス島で受けたインドの使節からの贈り物には、タイガーと手がない少年がいて、彼は足を手のように使うことができたという話がありますが、また、彼の望んだように人生が過ぎていったので、自分の人生を終わらせることを決めたブラフマーナのカーストの人物、ザーマロスという人物も含まれていたということです。,1-1
11,"Um sicherzustellen, dass ihm nicht doch noch etwas Unvorhergesehenes zustieß, sprang er in Athen lachend, nackt und gesalbt ins Feuer, verbrannte zweifellos qualvoll bei lebendigem Leib und ging mit der Inszenierung seines selbstbestimmten Todes in die Geschichte ein, wenn auch nur als kuriose Anekdote in einem Band jener einst achtzig Bücher umfassenden Römischen Geschichte des Cassius Dio, dessen Inhalt zufällig überliefert wurde.",彼が何か予期しないことが起こらないようにするために、彼はアテネで笑いながら裸で油を塗って火の中に飛び込み、確実に悲惨な状況で生きたまま焼かれ、自分の決断した死を演出して歴史に残ることとなりましたが、彼の話はカッシウス・ディオの、かつて八十冊に及んだローマ史の一冊のおかしなエピソードとしてのみ伝えられています。 その本の内容は偶然伝わってきました。,1-2
12,"Letztlich ist alles, was noch da ist, schlichtweg das, was übrig geblieben ist.",最後に残っているのは、単に残されたものだけです。,1-1
13,"Am Leben zu sein bedeutet, Verluste zu erfahren.",生きているとは、損失を経験することを意味します。,1-1
14,"Die Frage, was wohl werden wird, dürfte kaum jünger sein als die Menschheit selbst, besteht doch eine so unabdingbare wie beunruhigende Eigenschaft der Zukunft darin, dass sie sich der Vorhersehbarkeit entzieht und damit auch Zeitpunkt und Umstände des Todes im Dunkeln lässt.",何が起こるのかという疑問は、人類自体よりも古くないでしょう。 未来の特徴として、予測不可能であり、それに伴い死の瞬間や状況が不明なことが不可欠でありながら不安を招くものがあります。,1-2
15,"Wer kennt nicht den Abwehrzauber des süßbittren Vorausleidens, den fatalen Drang, das Befürchtete durch gedankliche Vorwegnahme verhindern zu wollen?",誰もが知らないでしょうか、甘苦しい先取りの悲しみの防御呪文、想像してしまうことで恐れたことを阻止しようとする、悲劇的な衝動。,1-1
16,"Man ahnt die Verheerungen voraus, imaginiert mögliche Katastrophen und wähnt sich so vor bösen Überraschungen gefeit.",人々は破壊の前兆を予想し、可能な災害を想像し、悪い驚きから身を守ると考えます。,1-1
17,"In der Antike versprachen die Träume Trost, sagten die Griechen ihnen doch nach, sie verhießen, Orakeln gleich, das Kommende und nähmen somit der Zukunft zwar nicht das Unabänderliche, wohl aber den Schrecken des Unerwarteten.",古代では、夢は慰めを約束したと言われていました。 ギリシャ人は彼らについて言っていましたが、彼らはオラクルのように未来を約束し、未来を変えることはできませんが、予期しない恐怖からは解放されます。,1-2
18,Nicht wenige nehmen sich aus Angst vor dem Tod das Leben.,死を恐れて自殺をする人は少なくありません。,1-1
19,"Vielfältig sind die Strategien, Vergangenes festzuhalten und dem Vergessen Einhalt zu gebieten.",過去を保存し、忘却を抑えるための戦略は多岐にわたります。,1-1
20,"Traut man der Überlieferung, steht am Anfang unserer Geschichtsschreibung eine Reihe vernichtender Kriege zwischen Persern und Griechen und am Beginn der heute beinahe vergessenen Gedächtniskunst ein Unglück mit vielen Toten: Es war in Thessalien, wo im frühen vorchristlichen 5. Jahrhundert ein einstürzendes Haus eine ganze Festtagsgesellschaft unter sich begrub und es dem einzigen Uberlebenden, dem Dichter Simonides von Keos, dank seines geschulten Gedächtnisses gelang, das zerstörte Gebäude im Geiste erneut zu betreten und die Sitzordnung der Gäste aufzurufen, woraufhin sich die von den Trümmern entstellten Leichen identifizieren ließen.",伝承を信じると、私たちの歴史書きの始まりは、ペルシャ人とギリシャ人の間で激しい戦争が繰り広げられ、今日ではほとんど忘れ去られている記憶術の始まりは、多くの死者を出した悲劇でした：それは、キオスの叙事詩人シモニデスが、訓練された記憶力によって、破壊された建物を精神的に再び踏み入れて、客の座席順を呼び出し、崩壊した家から変形した死体を識別することができた、5世紀前のキリスト教前のテッサリアで起こったことです。,3-1
21,"Es gehört zu den zahlreichen Paradoxien, die dem Entweder-oder von Tod und Leben innewohnen, dass, indem der Verstorbene als etwas unwiederbringlich Verlorenes benannt wird, sich die Trauer über seinen Verlust zugleich verdoppelt und halbiert, wohingegen das im Unklaren liegende Schicksal eines Vermissten oder Verschollenen die Angehörigen in einem diffusen Alptraum aus banger Hoffnung und verwehrter Trauer gefangenhält, der sowohl Aufarbeitung als auch Weiterleben verhindert.",死と生の二者択一に内在する多くのパラドックスの一つとして、死者を失われたものとして名づけることで、その死者への悲しみが二倍になり半分になるということがあります。 一方で、行方不明者や失踪者の未知なる運命は、恐ろしい希望と拒絶された悲しみによって親族を混乱した悪夢に閉じ込め、解決も先に進むこともできない状況に陥れます。,1-2
22,"Die Zäsur des Todes ist der Ausgangspunkt von Erbe und Erinnerung und die Totenklage die Quelle jeder Kultur, mit der man die nun klaffende Leerstelle, die plötzliche Stille mit Gesängen, Gebeten und Geschichten füllt, in denen das Abwesende noch einmal verlebendigt wird.",死の境界線は遺産と記憶の出発点であり、喪に服することは文化の元となります。 そこで、突然空虚な空間と静寂を、歌、祈り、物語で埋め尽くし、遠く離れたものを再び生き返らせることができます。,1-2
23,"Wie eine Hohlform lässt die Erfahrung des Verlusts die Umrisse dessen, was zu beklagen ist, hervortreten, und nicht selten verwandelt es sich im verklärenden Licht der Trauer zu einem Objekt der Begierde, oder wie es ein Heidelberger Professor für Zoologie im Vorwort eines Bändchens der Neuen Brehm-Bücherei formuliert: ""Es scheint zu den rational kaum fassbaren Eigenschaften des westlichen Menschen zu gehören, dass er Verlorenes höher bewertet als noch Bestehendes, anders ist die merkwürdige Faszination nicht zu erklären, die seither vom Beutelwolf ausgeht.""",失うという経験は、悲しむべきものの形を浮き彫りにするような空洞のようなものであり、しばしば悲しみの美化した光の中で欲望の対象に変わり、またハイデルベルクのゾオロジー教授が新しいブレーム文庫の編集者として前文に書いたように：「西洋人の理性的にもほとんど理解できない特性の一つとして、失われたものを今存在するものよりも高く評価するということがあるようです。 そうでなければ、以来、荒野のおおかみから発せられる不思議な魅力を説明することはできません。」,1-2
24,"Unstrittig ist, dass der Tod und das mit ihm einhergehende Problem, wie mit der plötzlichen Abwesenheit eines Menschen bei gleichzeitiger Anwesenheit seiner Hinterlassenschaften, vom Leichnam bis zum herrenlosen Hab und Gut, umzugehen ist, im Laufe der Zeit Antworten gefordert und Handlungen provoziert hat, deren Bedeutung ihren bloßen Zweck übersteigen und unsere frühen Ahnen aus der Sphäre des Animalischen in die des Menschlichen treten ließ.",確かなことは、死とそれに伴う問題、人が突然いなくなったが、その遺産が残っているということ、死体から無主の物まで、それをどう扱うかということは、時間が経つにつれて答えを求め、行動を促してきたということです。 その行動の意味は、単なる目的を超えており、私たちの先祖を動物的な領域から人間的な領域へと導いてきました。,1-2
