id,source,translation,n2m
1,«Лжешь»! подумал я.,「うそだ！」と私は思った。,1-1
2,"Брелоки и перстень на мизинце плохо вязались с письмом ради куска хлеба, да и по лицу Камышева пробежала чуть заметная, уловимая опытным глазом тучка, которую можно видеть на лицах только редко лгущих людей.",ブレスレットやミスィンチのピンは、パンのかけらのために、書類とうまく結びつかなかったし、カミシェフの顔には、経験豊かな目で見つけられる、ほんの少しだけ、うかがえる嘘つきの人々の顔に見られるような、ほのかな雲がかかった。,1-1
3,Какой сюжет вашей повести? спросил я. Сюжет.,「あなたの小説のストーリーは何ですか？」と私は尋ねた。,2-1
4,Как бы вам сказать?,「物語……どう言えばいいんでしょうか？,1-1
5,"Сюжет не новый. Любовь, убийство. Да вы прочтете, увидите. «Из записок судебного следователя».",ストーリーは新しくない……愛、殺人……それであなたは読んで、見るでしょう……「裁判検事の記録から……」,4-1
6,Камышев вскинул на меня своими добрыми глазами и тихо засмеялся.,カミシェフは、優しい目で私を見上げ、そして静かに笑った。,1-1
7,Надоедная служба.,「うんざりな仕事だな……,1-1
8,"Служил-служил, махнул рукой и бросил.",仕えていたが、手を振って投げ出した。,1-1
9,"Занятий у меня теперь нет, есть почти нечего.",今は仕事がない、ほとんど何もない……,1-1
10,"И если вы, минуя достоинства, напечатаете мою повесть, то сделаете мне больше, чем одолжение.",そして、私の作品を出版するなら、優秀なものを飛ばしても、借りたよりも多くのことをしてくれるだろう……,1-1
11,Вы поможете мне.,あなたが私を助けてくれる……,1-1
12,"Газета не богадельня, не странно-приимный дом.",新聞は、豊かな家でもなければ、おもてなしのための家でもない……,1-1
13,"Я это знаю, но.",私はそれを知っているが……,1-1
14,уж вы будьте так добры.,どうかお願いします……」,1-1
15,"Очень рад. Чем могу быть полезен? Желающий попасть в начинающие сел и продолжал, глядя на пол своими умоляющими глазами:",「どうもありがとうございます……どうぞお役に立てましょうか？」 新しい村に入りたいと願う者は、お願いするような目で床を見ながら、話を続けた。,3-1
16,"Я притащил к вам маленькую повесть, которую мне хотелось бы напечатать в вашей газете.",「あなた方に、あなた方の新聞に掲載してほしい小説を持ってきました。,1-1
17,"Я вам откровенно скажу, г. редактор: написал я свою повесть не для авторской славы и не для звуков сладких.",編集長様、正直に申し上げますが、私がこの物語を書いたのは、自分の名声をあげたり、甘い言葉を聞いたりするためではないのです……,1-1
18,Для этих хороших вещей я уже постарел.,こうしたよいことについては、もう私は年をとってしまった。,1-1
19,Вступаю же на путь авторский просто из меркантильных побуждений.,それゆえ、私は、穏健な動機から、著作者の道に入るのである……,1-1
20,Заработать хочется.,働いてお金を稼ぎたい……,1-1
21,Я теперь решительно никаких не имею занятий.,私は今、断然、何も仕事を持っていない。,1-1
22,"Был, знаете ли, судебным следователем в С-м уезде, прослужил пять с лишком лет, но ни капитала не нажил, ни невинности не сохранил.",あの人は、ご存知のように、Ｓ県の裁判執行官として、五年以上勤務したが、財産を築くこともなく、無実を守ることもなかった……」,1-1
23,"«Как, однако, он много говорит!» подумал я, протягивая руку к перу и тем давая знать, что мне некогда.",「なんてたくさん話しているんだろう」と、私は思いながら、ペンを伸ばして、時間がないことを示した。,1-1
24,(Уж больно надоели мне тогда посетители!) Я отниму у вас одну только минуту! продолжал мой герой извиняющимся голосом.,（当時の訪問者は、本当にうんざりさせられた！） 「たったひとつのひとときだけをいただきます！」と、私の主人公は謝罪したような声で続けた。,2-1
25,Но прежде всего позвольте представиться.,「ではまず、私自身を紹介させていただきます……,1-1
26,"Кандидат прав Иван Петрович Камышев, бывший судебный следователь.",法律の候補者であるイワン・ペトロヴィッチ・カミシェフ、元裁判所の検察官……,1-1
27,"К пишущим людям не имею чести принадлежать, но, тем не менее, явился к вам с чисто писательскими целями.",私は書く人たちの仲間ではないが、純粋な文学的な目的であなた方に会いに来たのです。,1-1
28,"Перед вами стоит желающий попасть в начинающие, несмотря на свои под сорок.",あなたの前には、彼の４０歳をものともせず、新しいものに参加したいと望んでいる人が立っている。,1-1
29,"Но лучше поздно, чем никогда.",でも、遅くても、決してないよりはマシだ。」,1-1
30,"Войдя ко мне в кабинет, он сконфузился.",彼は私の部屋に入ってきて、ぼんやりしてしまった。,1-1
31,"Его нежную, чуткую натуру, вероятно, шокировал мой нахмуренный, недовольный вид.",彼のやわらかく、敏感な性格は、私の不満げな、暗い表情にショックを受けたのだろう。,1-1
32,"Извините, ради бога! начал он мягким, сочным баритоном.",「お許しをお願いします！」と、彼は柔らかく、滑らかなバリトンの声で話し出した。,2-1
33,Я врываюсь к вам не в урочное время и заставляю вас делать для меня исключение.,「私はあなた方に時間外に侵入して、あなた方に特別なことをさせてしまっている。,1-1
34,Вы так заняты!,あなたはとても忙しいんですね！,1-1
35,"Но видите ли, в чем дело, г. редактор: я завтра уезжаю в Одессу по одному очень важному делу.",でも、編集長様、それが問題なのです。 私は明日、とても重要な仕事のためにオデッサへ行くのですから……。,1-2
36,"Имей я возможность отложить эту поездку до субботы, то, верьте, я не просил бы вас делать для меня исключение.",もし私が、この旅行を土曜日まで延期する機会があれば、あなた方に私のために例外をしていただくよう頼むことはありませんでした。,1-1
37,"Я преклоняюсь перед правилами, потому что люблю порядок.",私は、秩序を愛するから、規則に従うのです……」,1-1
38,"Каштановые волосы и борода густы и мягки, как шёлк.",カシュナート色の髪と髭は、しっとりして、シルクのように柔らかい。,1-1
39,"Говорят, что мягкие волосы служат признаком мягкой, нежной, «шёлковой» души.",柔らかい髪は、柔らかく、優しく、「絹のような」心をあらわす兆候だといわれている……,1-1
40,"Преступники и злые, упрямые характеры имеют, в большинстве случаев, жесткие волосы.",犯罪者や悪意のある、頑固な性格の人々は、ほとんどの場合、硬い髪を持っている。,1-1
41,Правда это или нет читатель опять-таки увидит далее.,それが本当かどうかは、読者がさらに読み進めることでわかるだろう……,1-1
42,"Ни выражение лица, ни борода ничто так не мягко и не нежно в господине с кокардой, как движения его большого, тяжелого тела.",顔つきや、ひげも――その方が、髭面の男のなかでも、大きくて重い体の動きが、なんとも柔らかく、優しいものだった。,1-1
43,"В этих движениях сквозят воспитанность, легкость, грация и даже простите за выражение некоторая женственность.",その動きには、育ちのよさ、軽やかさ、優雅さ、そして（表現を許してください）ある程度の女性らしさが滲み出ていた。,1-1
44,"Не много нужно усилий моему герою, чтобы согнуть подкову или сплющить в кулаке коробку из-под сардинок, а между тем ни одно его движение не выдает в нем физически сильного.",私の主人公が、馬蹄鉄を曲げるか、サーディンのボックスを拳でつぶすのに、それほど努力をしなくてもいい。 しかし、その動きから、彼が肉体的に強いとはわからない。,1-2
45,"За дверную ручку или за шляпу он берется, как за бабочку: нежно, осторожно, слегка касаясь пальцами.",ドアノブや帽子をとるとき、彼は蝶をとるように、やさしく、慎重に、指でほんの少し触れるようにしていた。,1-1
46,"Шаги его бесшумны, рукопожатия слабы.",彼の歩みは静かで、握手は弱かった。,1-1
47,"Глядя на него, забываешь, что он могуч, как Голиаф, что одной рукой может поднять он то, чего не поднять пяти редакционным Андреям.",彼を見ていると、彼がゴリアフのような力強いのであるということを忘れてしまう。 彼は片手で、５人のアンドレーのような編集者が持ち上げられないものを持ち上げることができる。,1-2
48,"Глядя на его легкие движения, не верится, что он силен и тяжел.",彼の軽やかな動きを見ていると、彼が強くて重いとは信じられない。,1-1
49,Спенсер мог бы назвать его образцом грации.,スペンサーは、彼を優雅さのモデルと呼ぶことができただろう。,1-1
50,"От всего лица так и веет простотой, широкой, простецкой натурой, правдой.",その顔からは、単純さ、広い、素朴な性格、正直さが漂っていた……,1-1
