id,source,target,n2m
1,"Ils embrayaient par comparaison sur la guerre d'avant, la Grande, celle de 14, gagnée, elle, dans le sang et la gloire, une guerre d'hommes que les femmes de la table écoutaient avec respect.","Dla porównania, oni przygotowywali się do wojny, którą Wielki, ten z 14, wygrał krwią i chwałą, wojnę mężczyzn, której kobiety przy stole słuchały z szacunkiem.",1-1
2,"Ils parlaient du Chemin des Dames et de Verdun, des gazés, des cloches du 11 novembre 1918.","Mówili o Chemin des Dames i Verdun, o zagazowanych, o dzwonach z 11 listopada 1918 roku.",1-1
3,Ils nommaient des villages dont pas un enfant parti au front n'était revenu.,"Nazywali wioski, z których nie wróciło żadne dziecko, które poszło na front.",1-1
4,"Ils opposaient les soldats dans la boue des tranchées aux prisonniers de 40, au chaud et à l'abri pendant cinq ans, qui n'avaient même pas reçu de bombes sur la tête.","Ustawili żołnierzy w błocie okopów przeciwko 40 więźniom, ciepłym i chronionym przez pięć lat, którym nawet bomby nie trafiły w głowy.",1-1
5,Ils se disputaient l'héroïsme et le malheur.,Walczyli o bohaterstwo i nieszczęście.,1-1
6,"Mais ils ne parlaient que de ce qu'ils avaient vu, qui pouvait se revivre en mangeant et buvant.","Ale mówili tylko o tym, co widzieli, co można było przeżyć na nowo, jedząc i pijąc.",1-1
7,Ils n'avaient pas assez de talent ou de conviction pour parler de ce qu'ils savaient mais qu'ils n'avaient pas vu.,"Nie mieli dość talentu ani przekonania, by mówić o tym, co wiedzieli, ale nie widzieli.",1-1
8,"Donc ni des enfants juifs montant dans des trains pour Auschwitz, ni des morts de faim ramassés au matin dans le ghetto de Varsovie, ni des 10 000 degrés à Hiroshima.","A więc ani dzieci żydowskie wsiadające do pociągów do Oświęcimia, ani zmarli z głodu nie odebrali rano w getcie warszawskim, ani 10 000 stopni w Hiroszimie.",1-1
9,"D'où cette impression que les cours d'histoire, les documentaires et les films, plus tard, ne dissiperaient pas : ni les fours crématoires ni la bombe atomique ne se situaient dans la même époque que le beurre au marché noir, les alertes et les descentes à la cave.","Stąd wrażenie, którego nie rozwiały późniejsze lekcje historii, filmy dokumentalne i filmy: ani piece krematoryjne, ani bomba atomowa nie były usytuowane w tej samej epoce, co masło na czarnym rynku, straszydła i zejścia do piwnic.",1-1
10,"Sous l'immuabilité, les affiches du cirque de l'année dernière avec la photo de Roger Lanzac, les images de première communion distribuées aux camarades, le Club des Chansonniers sur Radio Luxembourg, les jours se remplissaient de désirs nouveaux.","Pod niezmiennością, zeszłoroczne plakaty cyrkowe ze zdjęciem Rogera Lanzaca, zdjęcia z pierwszej komunii rozdawane towarzyszom, Club des Chansonniers w Radio Luxembourg, dni wypełniały nowe pragnienia.",1-1
11,"Le dimanche après-midi, on s'agglutinait à la vitrine du magasin d'électricité générale devant la télévision.",W niedzielne popołudnia gromadziliśmy się przed telewizorem w oknie ogólnodostępnego sklepu z elektrycznością.,1-1
12,Des cafés investissaient dans l'achat d'un poste pour attirer la clientèle.,"Kawiarnie zainwestowały w zakup stacji, aby przyciągnąć klientów.",1-1
13,Au flanc des collines serpentaient des pistes de motocross et l'on regardait monter et descendre les engins assourdissants la journée entière.,"Wzdłuż zboczy wiły się tory motocrossowe i przez cały dzień obserwowaliśmy, jak ogłuszające maszyny poruszają się w górę iw dół.",1-1
14,"L'impatience grandissante du commerce avec ses nouveaux mots d'ordre, « initiative », « dynamisme », secouait le train-train des villes.","Rosnąca niecierpliwość handlu z jego nowymi hasłami, ""inicjatywa"", ""dynamizm"", zachwiała rutyną miast.",1-1
15,"Entre la fête foraine et la kermesse, la Quinzaine commerciale s'installait comme rite de printemps.",Pomiędzy karnawałem a jarmarkiem ustanowiono jako obrzęd wiosenny Dwutygodniówkę Handlową.,1-1
16,"Dans les rues du centre, les haut-parleurs beuglaient des incitations à acheter, entrecoupées de chansons d'Annie Cordy et d'Eddie Constantine, pour gagner la Simca ou la salle à manger.","Na ulicach centrum z głośników ryczały nawoływania do kupowania, przeplatane piosenkami Annie Cordy i Eddiego Constantine'a, aby wygrać Simcę lub jadalnię.",1-1
17,"Sur le podium, place de la Mairie, un animateur local faisait rire avec les blagues de Roger Nicolas et de Jean Richard, rameutait des candidats pour le Crochet ou Quitte ou double, comme à la radio.","Na podium, Place de la Mairie, lokalny gospodarz śmiał się z dowcipów Rogera Nicolasa i Jeana Richarda, zebrał kandydatów do szydełka lub Quitte ou podwójnie, jak w radiu.",1-1
18,Assise dans un coin du podium trônait sous sa couronne la Reine du Commerce.,W rogu podium siedziała na tronie pod swoją koroną Królowa Handlu.,1-1
19,La marchandise avançait sous les couleurs de la fête.,Towar ruszył do przodu w barwach imprezy.,1-1
20,"Les gens disaient « ça change » ou « il ne faut pas s'encroûter, on s'abrutit à rester chez soi ».","Ludzie mówili ""to się zmienia"" albo ""nie możemy utknąć w miejscu, jesteśmy głupi, żeby zostać w domu"".",1-1
21,"De main en main passaient des photos brunies au dos taché par tous les doigts qui les avaient tenues dans d'autres repas, mélange de café et de graisse fondu en une couleur indéfinissable.","Z ręki do ręki przechodziły zbrązowiałe zdjęcia z odwrotną stroną poplamioną każdym palcem, który trzymał je w innych potrawach, mieszanką kawy i tłuszczu stopioną w nieokreślonym kolorze.",1-1
22,"Dans les mariés raides et graves, les invités de la noce s'étageant sur plusieurs rangs le long d'un mur, on ne reconnaissait ni ses parents ni personne.","W sztywnych i poważnych nowożeńcach goście weselni chwieli się w kilku rzędach pod ścianą, nie można było rozpoznać ani jego rodziców, ani nikogo innego.",1-1
23,"Ce n'était pas soi non plus qu'on voyait dans le bébé de sexe indistinct à demi nu sur un coussin mais quelqu'un d'autre, une créature appartenant à un temps muet et inaccessible.","W półnagim na poduszce dziecku nieokreślonej płci nie widziano też siebie, ale kogoś innego, istotę należącą do niemego i niedostępnego czasu.",1-1
24,Récit familial et récit social c'est tout un.,Historia rodzinna i historia społeczna są jednym.,1-1
25,"Les voix des convives délimitaient les espaces de la jeunesse : la campagne et les fermes où, de mémoire perdue, les hommes avaient été commis et les filles servantes, l'usine où tous s'étaient rencontrés, fréquentés et mariés, les petits commerces où avaient accédé les plus ambitieux.","Głosy gości wyznaczały przestrzenie młodości: wieś i farmy, gdzie od zapomnienia mężczyźni byli urzędnikami, a dziewczęta służącymi, fabryka, gdzie wszyscy się spotykali, bywali i żenili, małe sklepiki, gdzie najambitniejsi przystąpił.",1-1
26,"Elles dessinaient des histoires sans événements personnels autres que les naissances, les mariages et les deuils, sans voyages en dehors du régiment dans une lointaine ville de garnison, des existences occupées par le travail, sa dureté et son usure, les menaces de la boisson.","Rysowali historie bez wydarzeń osobistych innych niż narodziny, śluby i żałoby, bez wyjazdów poza pułk do odległego miasta garnizonowego, o życiu wypełnionym pracą, jej twardością i zużyciem, groźbami picia.",1-1
27,"L'école était un arrière-fond mythique, un bref âge d'or dont l'Instituteur avait été le dieu rude avec sa règle en fer pour taper sur les doigts.","Szkoła była mitycznym tłem, krótkim złotym wiekiem, w którym Nauczyciel był szorstkim bogiem ze swoją żelazną linijką do stukania w palce.",1-1
28,La frénésie qui avait suivi la Libération s'estompait.,"Szał, który nastąpił po wyzwoleniu, słabł.",1-1
29,Alors les gens ne pensaient qu'à sortir et le monde était plein de désirs à satisfaire sur-le-champ.,"Więc ludzie myśleli tylko o wyjściu, a świat był pełen pragnień, by zaspokoić się na miejscu.",1-1
30,"Tout ce qui constituait la première fois depuis la guerre provoquait la ruée, les bananes, les billets de la Loterie nationale, le feu d'artifice.","Wszystko, co stanowiło pierwszy raz od wojny, wywołało pośpiech, banany, losy loterii narodowej, fajerwerki.",1-1
31,"Par quartiers entiers, de la grand-mère soutenue par ses filles au nourrisson en landau, les gens se précipitaient à la fête foraine, à la retraite aux flambeaux, au cirque Bouglione où ils manquaient être piétinés dans la bousculade.","Całe kwatery, od wspieranej przez córki babci po niemowlę w wózku, ludzie gnali na karnawał, na korowód z pochodniami, do cyrku Bouglione, gdzie w pośpiechu prawie zostali stratowani.",1-1
32,Ils se portaient en foule priante et chantante sur la route pour accueillir la statue de Notre-Dame de Boulogne et la reconduire le lendemain sur des kilomètres.,"Wyszli w modlącym się i śpiewającym tłumie na drogę, aby powitać pomnik Notre-Dame de Boulogne i odwieźć go następnego dnia wiele mil.",1-1
33,"Profane ou religieuse, toute occasion leur était bonne d'être au-dehors ensemble, comme s'ils voulaient continuer de vivre collectivement.","Świeccy lub religijni, każda okazja była dla nich dobra, aby być razem na zewnątrz, tak jakby chcieli nadal żyć wspólnie.",1-1
34,"Le dimanche soir, les cars revenaient de la mer avec de grands jeunes gens en short qui chantaient à tue-tête, grimpés sur le toit à bagages.","W niedzielny wieczór autokary wracały znad morza z wysokimi młodymi mężczyznami w szortach, śpiewając na całe gardło, wspinając się na dach bagażowy.",1-1
35,Les chiens se promenaient en liberté et s'accouplaient au milieu de la rue.,Psy wędrowały swobodnie i łączyły się w pary na środku ulicy.,1-1
36,"Les enfants n'écoutaient pas et se dépêchaient de quitter la table dès qu'ils en avaient reçu la permission, profitant de la bienveillance générale des jours de fête pour se livrer aux jeux interdits, sauter sur les lits et faire de la balançoire la tête en bas.","Dzieci nie słuchały i rzuciły się od stołu, gdy tylko otrzymały pozwolenie, wykorzystując ogólną dobrą wolę świąt, by oddawać się zakazanym zabawom, skakać po łóżkach i opuszczać głowy.",1-1
37,Mais ils retenaient tout.,Ale powstrzymali wszystko.,1-1
38,"À côté du temps fabuleux dont ils n'ordonneraient pas avant longtemps les épisodes, la Débâcle, l'Exode, l'Occupation, le Débarquement, la Victoire ils trouvaient terne celui, sans nom, où ils grandissaient.","Obok bajecznego czasu którego epizodów długo nie zamawiali, Klęski, Exodusu, Okupacji, Lądowania, Zwycięstwa nudził ich ten bezimienny, w którym dorastali.",1-2
