id,source,translation,n2m
1,"The mother was speaking from the breakfast room, out of my field of view.","Matka mówiła z jadalni, spoza mojego pola widzenia.",1-1
2,"I liked that room a lot, with its long, oaken table and glass walls on three sides.","Bardzo mi się ten pokój podobał, z jego długim, dębowym stołem i szklanymi ścianami z trzech stron.",1-1
3,"You could see the bright sparkle of the lake through the glass walls, and sunlight shifted through the moving branches of an ancient willow that shaded the house.","Mogłeś zobaczyć jasny blask jeziora przez szklane ściany, a słońce przenikało przez poruszające się gałęzie starożytnego wierzby, która okrywała dom cieniem.",1-1
4,"We had a system of accounting, a chart on a wall.","Mieliśmy system księgowości, wykres na ścianie.",1-1
5,There were merits and demerits.,Były zalety i wady.,1-1
6,"A merit was for an outrage success­fully committed, a demerit for an act that should bring on humiliation.","Zasługą było pomyślnie popełnione wykroczenie, demeritem czyn, który powinien przynieść upokorzenie.",1-1
7,"Juicy got merits for drooling into cocktails undetected, while Low got demerits for kissing up to a father.","Juicy zdobył zasługi za niezauważone ślinienie się do koktajli, podczas gdy Low dostał punkty karne za przypochlebianie się ojcu.",1-1
8,Probably not his own—Low's parentage was a well-kept secret.,Prawdopodobnie nie jego własne pochodzenie Lowa było dobrze strzeżoną tajemnicą.,1-1
9,But he'd been spotted asking a guy with male-pattern baldness for wardrobe advice.,"Ale zauważono go, jak prosi o poradę dotyczącą garderoby faceta z męskim typem łysienia.",1-1
10,"We had to hide the running, though, in case our haste betrayed us, so truer to say we slipped out quietly.","Musimy ukryć to biegnące, jednak, na wypadek kiedy nasze pośpiech by nas zdradził, dlatego prawdziwiej byłoby powiedzieć, że wyszliśmy cicho.",1-1
11,"When one of my parents appeared, my technique was: pretend to catch sight of someone in the next room.","Kiedy pojawił się jeden z moich rodziców, moją techniką było: udawać, że dostrzegam kogoś w następnym pokoju.",1-1
12,"Move in a natural manner toward this figment of my imagination, making a purposeful face.","Poruszaj się w naturalny sposób w kierunku tego wytworu mojej wyobraźni, prezentując zdecydowany wyraz twarzy.",1-1
13,Go through the door.,Przejdź przez drzwi.,1-1
14,And fade away.,I zaniknąć.,1-1
15,"As the evenings wore on, some parents got it into their heads to dance.","Kiedy wieczory stawały się coraz dłuższe, niektórzy rodzice wpadli na pomysł, aby potańczyć.",1-1
16,A flash of life would move their lumpen bodies.,Błysk życia poruszyłby ich masywne ciała.,1-1
17,Sad spectacle.,Smutne widowisko.,1-1
18,"They flopped, blasting their old-time music.","Zaliczyli klapę, grając swoją staroświecką muzykę.",1-1
19,"""Beat on the brat, beat on the brat, beat on the brat with a baseball bat, oh yeah.""","Bij w łobuza, bij w łobuza, bij w łobuza baseballowym kijem, oh tak.",1-1
20,Later the talk grew louder.,Później rozmowa stała się głośniejsza.,1-1
21,"Freed of our influence, some of them emitted sudden, harsh barks.","Uwolnieni od naszego wpływu, niektórzy z nich wydali nagłe, ostre szczeknięcia.",1-1
22,"Apparently, laughing.","Widocznie, śmiejąc się.",1-1
23,"From the wrap­around porch, with its bamboo torches and hanging ferns and porch swings, moth-eaten armchairs and blue-light bug zappers, the barks of laughter carried.","Z otoczonego werandy, z jej bambusowymi pochodniami, wiszącymi paproćmi i huśtawkami na porcie, oślinianymi fotelami i niebieskimi pułapkami na owady, niosły się dźwięki śmiechu.",1-1
24,"We heard them from the treehouses and tennis courts and from the field of beehives a slow neighbor woman tended in the daytime, muttering under the veil of her beekeeping hat.","Usłyszeliśmy ich z domków na drzewach i kortów tenisowych, a także z pola uli, które w dzień doglądała wolno chodząca sąsiadka, mamrocząc pod welonem swojego kapelusza pszczelarskiego.",1-1
25,"We heard them from behind the cracked panes of the dilapidated greenhouse or on the cool black water of the lake, where we floated in our underwear at midnight.","Słyszeliśmy ich zza pękniętych szyb w zniszczonym szklarni lub na chłodnej czarnej wodzie jeziora, gdzie pływaliśmy w bieliźnie o północy.",1-1
26,"THE GREAT HOUSE had been built by robber barons in the nineteenth century, a palatial retreat for the green months.","WIELKI DOM został zbudowany przez baronów rozbójników w dziewiętnastym wieku, jako pałacowe schronienie na zielone miesiące.",1-1
