id,source,translation,n2m
1,Беспредельный морской шум не прекращался ни на минуту.,The boundless sea noise did not stop for a minute.,1-1
2,"Он набегал длинными волнами, то усиливаясь, то затихая.","He ran in long waves, sometimes intensifying, sometimes subsiding.",1-1
3,"И ветер то начинал шуметь в голых деревьях, то замолкал, так же как и я прислушиваясь к течению ночи.","And the wind would start rustling in the bare trees, then go quiet, just as I was listening to the flow of the night.",1-1
4,"Но он не уходил, он был здесь.","But he didn't leave, he was here.",1-1
5,Я это знал по запаху мокрой гальки и по едва внятному трепету одинокого платанового листа.,I knew this by the smell of wet pebbles and the barely perceptible tremor of a solitary plane tree leaf.,1-1
6,"Я заметил еще днем этот упрямый сизый лист, но сейчас, ночью, он казался мне маленьким живым существом, моим единственным бодрствующим другом.","I noticed this stubborn gray leaf during the day, but now, at night, it seemed to me like a small living creature, my only awake friend.",1-1
7,"Изредка из тьмы, из города, доносились ружейные выстрелы.","Occasionally, rifle shots echoed out of the darkness, out of the city.",1-1
8,После каждого выстрела долго лаяли собаки.,"After each shot, the dogs barked for a long time.",1-1
9,Потом далеко в море мелькнул тусклый огонь и погас.,Then a dim light flickered far out at sea and went out.,1-1
10,"Он заставлял смотреть на эти вещи пристальнее и дольше, чем мы это делаем обычно, и открывать в них много не замеченных ранее качеств.","He made us look at these things more closely and longer than we usually do, and discover many qualities in them that we had not noticed before.",1-1
11,"Так, в ноздреватом желтом камне было много накрепко впаянных в него маленьких морских ракушек, на кустах дрока оставалось еще несколько цветов, они сидели на прямых твердых стеблях, как промокшие и сморщенные золотые бабочки, и терпеливо дожидались солнца.","Yes, in the porous yellow stone, there were many small sea shells firmly embedded in it. On the rockrose bushes, a few flowers remained, they sat on straight firm stems like soaked and wrinkled golden butterflies, patiently awaiting the sun.",1-2
12,"Но оно очень редко проступало в тумане размытым белым пятном и не давало ни теплоты, ни тени.","But it very rarely appeared in the fog as a blurred white spot, and gave neither warmth nor shadow.",1-1
13,"Под единственным старым платаном с лимонными пятнами на стволе валялись листья, как бы вырезанные из тусклого зеленого бархата.","Under the single old plane tree with lemon spots on the trunk, leaves lay as if cut out of dull green velvet.",1-1
14,"По чугунной калитке вереницей бежали муравьи, сносили в свои подземные житницы последние запасы на зиму, а под якорной цепью жила маленькая робкая жаба.","Through the iron gate, ants ran in a line, carrying their last reserves for the winter to their underground granaries, and a small timid frog lived under the anchor chain.",1-1
15,Ночью на другом берегу реки кто-то начал махать фонарем и протяжно кричать.,"At night, on the other side of the river, someone started waving a lantern and shouting loudly.",1-1
16,Я вышел с дядей,I went out with my uncle.,1-1
17,Илько на берег.,"Go ashore, Ilko.",1-1
18,Река ревела.,The river roared.,1-1
19,Вода шла через греблю холодным водопадом.,The water flowed over the dam in a cold waterfall.,1-1
20,"Ночь стояла поздняя, глухая, ни единой звезды не было над головой.","The night was late, deafening, not a single star overhead.",1-1
21,"В лицо дуло дикой свежестью разлива, оттаявшей земли.","The face was blasted with the wild freshness of the expanse, of the thawed earth.",1-1
22,"И все время кто-то махал на том берегу фонарем и кричал, но слов за шумом реки нельзя было разобрать.","And all the time someone on the other bank waved a lantern and shouted, but the words couldn't be made out over the noise of the river.",1-1
23,"Когда гроб вынесли на крыльцо, я увидел на том берегу реки старую коляску, распряженных и привязанных к ней лошадей и маленькую женщину в черном маму.","When the coffin was carried out onto the porch, I saw on the other side of the river an old carriage, horses unharnessed and tied to it, and a small woman in black mourning dress.",1-1
24,Она стояла неподвижно на берегу.,She stood motionless on the shore.,1-1
25,"Она видела оттуда, как выносили отца.",She saw from there as they took her father away.,1-1
26,Потом она опустилась на колени и упала головой на песок.,Then she knelt down and fell headfirst into the sand.,1-1
27,"Нет, отвечал дед.","No, the grandfather replied.",1-1
28,"Это верно, не виделись.","That's true, we haven't seen each other.",1-1
29,Остап начал слепнуть.,Ostap began to lose his sight.,1-1
30,"Надумал он дойти тогда до Петербурга, чтобы увидеть ту женщину, пока он еще не совсем ослеп.","He decided then to go all the way to Petersburg, to see that woman before he went completely blind.",1-1
31,"Дошел он до царской столицы и узнал, что она умерла, мабудь, не выдержала разлуки.","He reached the imperial capital and found out that she had died, presumably, couldn't bear the separation.",1-1
32,"Нашел Остап на кладбище ее могилу из белого мрамора-камня, глянул, и сердце у него сорвалось на камне лежала его железная роза.","Ostap found her gravestone of white marble in the cemetery, he looked, and his heart broke on the stone lay his iron rose.",1-1
33,Завещала та женщина положить розу на ее могилу.,That woman bequeathed to place a rose on her grave.,1-1
34,Навеки.,Forever.,1-1
35,"А Остап начал лирничать и, мабудь, так и помер на шляху или на базаре под возом.","And Ostap started to play the fool and, presumably, died on the road or at the market under a wagon.",1-1
36,Аминь!,Amen!,1-1
37,На том берегу подымался по скату заповедный лес графини Браницкой.,"On that shore, the countess Branitsky's protected forest rose up the slope.",1-1
38,Солнце не могло прорваться сквозь мощную зелень этого леса.,The sun could not break through the dense greenery of this forest.,1-1
39,Лишь изредка одинокий луч прорезал наискось чащу и открывал перед нами потрясающую силу растительности.,"Only occasionally a solitary ray cut through the thicket at an angle, revealing to us the stunning power of vegetation.",1-1
40,"Как сверкающие пылинки, влетали в этот луч маленькие птицы.","Like sparkling specks of dust, little birds flew into this ray.",1-1
41,"Они с писком гонялись друг за другом и ныряли в листву, будто в зеленую воду.","They squealed as they chased each other and dove into the foliage, as if it were green water.",1-1
42,"Я набирал в ведро воды из пруда, бросал в эту воду траву и ждал.","I was filling a bucket with water from the pond, throwing grass into this water and waiting.",1-1
43,Красные поплавки неподвижно стояли в воде.,The red floats stood motionless in the water.,1-1
44,"Потом один из них начинал вздрагивать, пускал легкие круги, внезапно нырял или быстро плыл в сторону.","Then one of them would start shivering, would make light circles, suddenly dive or quickly swim aside.",1-1
45,"Отец подсекал, леска натягивалась, ореховое удилище сгибалось в дугу, и в тумане над прудом начиналось бульканье, плеск, возня.","Father was reeling in, the line was tightening, the walnut rod was bending into an arc, and over the mist above the pond there began a bubbling, splashing, hustle.",1-1
46,"Вода разбегалась, качая кувшинки, торопливо удирали во все стороны жуки-водомеры, и наконец в загадочной глубине появлялся бьющийся золотой блеск.","The water rippled, rocking the lily pads, the water beetles hurriedly scurried in all directions, and finally a pulsating golden glow appeared in the mysterious depths.",1-1
47,"Нельзя было разобрать, что это такое, пока отец не выволакивал на примятую траву тяжелого карася.",It was impossible to figure out what it was until the father dragged a heavy crucian onto the trampled grass.,1-1
48,"Он лежал на боку, отдувался и шевелил плавниками.","He lay on his side, gasping and fluttering his fins.",1-1
49,От его чешуи шел удивительный запах подводного царства.,An amazing scent of the underwater kingdom came from his scales.,1-1
50,Яша считал про себя секунды.,Yasha was counting the seconds to himself.,1-1
51,"Мы знали, что от Стурдзовского переулка до санатория Ландесмана было семь минут ходьбы.",We knew that it was a seven-minute walk from Sturdzovsky Lane to the Landesman Sanatorium.,1-1
52,В санатории за высокой оградой и железными воротами мы всегда чувствовали себя в полной безопасности.,"In the sanatorium, behind a tall fence and iron gates, we always felt completely safe.",1-1
53,Особенно если не зажигали коптилок.,Especially if they didn't light up the smokehouses.,1-1
54,"Когда мы проходили около подворотни, Яша споткнулся.","As we were passing by the gateway, Yasha stumbled.",1-1
55,"Потом, когда мы вспоминали о происшествии в Стурдзовском переулке, Яша утверждал, что всегда, если хочешь сделать что-нибудь наилучшим образом, то обязательно сорвешься на пустяковине.","Later, when we recalled the incident in Sturdzovsky Lane, Yasha claimed that every time you want to do something in the best possible way, you are bound to stumble over a trifle.",1-1
56,"Я же про себя думал, что всему виной была Яшина невыносимая походка.",I thought to myself that Yashin's unbearable gait was to blame for everything.,1-1
57,"Но я молчал, чтобы не огорчать Яшу.",But I kept silent so as not to upset Yasha.,1-1
58,Мы крадучись пошли по переулку.,We stealthily went down the alley.,1-1
59,"Я сказал, что надо идти по той стороне, где подворотня, не доходя до нее остановиться, хорошо прислушаться, а затем быстро и беззвучно проскочить мимо подворотни.","I said that we need to go on the side where the archway is, stop before reaching it, listen carefully, and then quickly and silently dart past the archway.",1-1
60,"Расчет, по-моему, был математически точен.","The calculation, in my opinion, was mathematically precise.",1-1
61,"Если в подворотне есть люди, то они могут нас и не заметить.","If there are people in the alley, they might not notice us.",1-1
62,"Если же мы будем идти по противоположной от подворотни стороне, то нас могут заметить еще издали.","If we go on the opposite side from the alley, we can be spotted from afar.",1-1
63,"Я высчитал, что в последнем случае мы будем идти против опасной подворотни, или, вернее, будем на виду у людей, спрятавшихся в подворотне, в пять раз дольше.","I calculated that in the last case we would be going against a dangerous alleyway, or rather, we would be in sight of people hiding in the alleyway five times longer.",1-1
64,"И, следовательно, будет в пять раз больше шансов, что нас заметят.","And, therefore, there will be five times more chances that we will be noticed.",1-1
65,"Утром я просыпался от жаркого солнца, бившего в белые стены.","In the morning, I was awakened by the hot sun hitting the white walls.",1-1
66,Красные и желтые мальвы-монашки покачивались за открытым окном.,Red and yellow hollyhocks swayed behind the open window.,1-1
67,Вместе с ними заглядывал в комнату цветок настурции; в нем сидела мохнатая пчела.,"Together with them, a nasturtium flower peeked into the room; a furry bee sat inside it.",1-1
68,"Я, замерев, следил, как она сердито пятится и выбирается из тесного цветка.","I watched, frozen, as she angrily retreated and extricated herself from the tight flower.",1-1
69,"По потолку без конца бежали светлые струи, легкие волны отражения реки.","Bright streams ran endlessly across the ceiling, light waves reflecting off the river.",1-1
70,"Река шумела тут же, рядом.","The river roared right here, nearby.",1-1
