id,source,translation,n2m
1,Беспредельный морской шум не прекращался ни на минуту.,The deafening sea roar never ceased for a minute.,1-1
2,"Он набегал длинными волнами, то усиливаясь, то затихая.","He was advancing in long waves, sometimes intensifying, sometimes subsiding.",1-1
3,"И ветер то начинал шуметь в голых деревьях, то замолкал, так же как и я прислушиваясь к течению ночи.","And the wind began to rustle in the bare trees, then fell silent, just as I did, listening to the flow of the night.",1-1
4,"Но он не уходил, он был здесь.","But he didn't leave, he was here.",1-1
5,Я это знал по запаху мокрой гальки и по едва внятному трепету одинокого платанового листа.,I knew it by the smell of damp earth and the faint tremble of a solitary plane tree leaf.,1-1
6,"Я заметил еще днем этот упрямый сизый лист, но сейчас, ночью, он казался мне маленьким живым существом, моим единственным бодрствующим другом.","I noticed that stubborn gray sheet during the day, but now, at night, it seemed to me like a small living creature, my only awake friend.",1-1
7,"Изредка из тьмы, из города, доносились ружейные выстрелы.","Occasionally, from the darkness, from the city, gunshots could be heard.",1-1
8,После каждого выстрела долго лаяли собаки.,"After each shot, the dogs would bark for a long time.",1-1
9,Потом далеко в море мелькнул тусклый огонь и погас.,"""A dim light flickered and died far out at sea.",1-1
10,"Он заставлял смотреть на эти вещи пристальнее и дольше, чем мы это делаем обычно, и открывать в них много не замеченных ранее качеств.","He made us look at these things more closely and for longer than we usually do, and discover many previously unnoticed qualities in them.",1-1
11,"Так, в ноздреватом желтом камне было много накрепко впаянных в него маленьких морских ракушек, на кустах дрока оставалось еще несколько цветов, они сидели на прямых твердых стеблях, как промокшие и сморщенные золотые бабочки, и терпеливо дожидались солнца.","Yes, in the damp yellow sandstone, there were many small sea shells embedded in it, and on the bushes, there were still a few colors left, they sat on straight, sturdy stems like damp, crumpled golden butterflies, and patiently waited for the sun.",1-1
12,"Но оно очень редко проступало в тумане размытым белым пятном и не давало ни теплоты, ни тени.",But it rarely emerged from the fog as a dim white patch and failed to provide either warmth or shade.,1-1
13,"Под единственным старым платаном с лимонными пятнами на стволе валялись листья, как бы вырезанные из тусклого зеленого бархата.","Under a single ancient plane tree with lemon-colored spots on its trunk, leaves lay scattered, as if cut from dull green velvet.",1-1
14,"По чугунной калитке вереницей бежали муравьи, сносили в свои подземные житницы последние запасы на зиму, а под якорной цепью жила маленькая робкая жаба.","Along the iron railings, a procession of ants scurried, carrying their last supplies for the winter in their underground dwellings, while a small timid frog lived under the anchor chain.",1-1
15,Ночью на другом берегу реки кто-то начал махать фонарем и протяжно кричать.,"At night, someone on the other side of the river started flashing a flashlight and shouting prolongedly.",1-1
16,Я вышел с дядей,I went out with my uncle.,1-1
17,Илько на берег.,Ilko on the shore.,1-1
18,Река ревела.,The river roared.,1-1
19,Вода шла через греблю холодным водопадом.,Water flowed through the dam as a cold waterfall.,1-1
20,"Ночь стояла поздняя, глухая, ни единой звезды не было над головой.","The night was late, dark, and starless overhead.",1-1
21,"В лицо дуло дикой свежестью разлива, оттаявшей земли.","The face was splashed with the freshness of the wild, thawed earth.",1-1
22,"И все время кто-то махал на том берегу фонарем и кричал, но слов за шумом реки нельзя было разобрать.","And all the time, someone was waving a flashlight and shouting on the other bank, but the words were inaudible over the noise of the river.",1-1
23,"Когда гроб вынесли на крыльцо, я увидел на том берегу реки старую коляску, распряженных и привязанных к ней лошадей и маленькую женщину в черном маму.","When they carried the coffin out onto the porch, I saw an old carriage on the other bank of the river, with tired horses tied to it and a small woman in black.",1-1
24,Она стояла неподвижно на берегу.,She stood motionless on the bank.,1-1
25,"Она видела оттуда, как выносили отца.",She saw them taking her father away.,1-1
26,Потом она опустилась на колени и упала головой на песок.,She fell to her knees and dropped her head onto the sand.,1-1
27,"Нет, отвечал дед.","No, grandfather replied.",1-1
28,"Это верно, не виделись.","It's true, we haven't seen each other.",1-1
29,Остап начал слепнуть.,Ostap began to get angry.,1-1
30,"Надумал он дойти тогда до Петербурга, чтобы увидеть ту женщину, пока он еще не совсем ослеп.","He decided to go to St. Petersburg then, to see that woman before he became completely blind.",1-1
31,"Дошел он до царской столицы и узнал, что она умерла, мабудь, не выдержала разлуки.","He reached the royal capital and learned that she had died, perhaps unable to bear the separation.",1-1
32,"Нашел Остап на кладбище ее могилу из белого мрамора-камня, глянул, и сердце у него сорвалось на камне лежала его железная роза.","I found Ostap's grave on the cemetery, made of white marble, and my heart skipped a beat as I saw his iron rose lying on the stone.",1-1
33,Завещала та женщина положить розу на ее могилу.,The woman bequeathed to lay a rose on her grave.,1-1
34,Навеки.,Forever.,1-1
35,"А Остап начал лирничать и, мабудь, так и помер на шляху или на базаре под возом.","""And Ostap began to play the lyre, and perhaps died on the way or at the market under a cart.",1-1
36,Аминь!,Amen!,1-1
37,На том берегу подымался по скату заповедный лес графини Браницкой.,"On the other bank, the forbidden forest of Countess Branitskaya rose up the slope.",1-1
38,Солнце не могло прорваться сквозь мощную зелень этого леса.,The sun could not break through the dense foliage of this forest.,1-1
39,Лишь изредка одинокий луч прорезал наискось чащу и открывал перед нами потрясающую силу растительности.,Only occasionally did a solitary ray of light break through the dense foliage and reveal to us the astonishing power of vegetation.,1-1
40,"Как сверкающие пылинки, влетали в этот луч маленькие птицы.","Like sparkling dust particles, small birds flew into this ray of light.",1-1
41,"Они с писком гонялись друг за другом и ныряли в листву, будто в зеленую воду.","They chased each other with their pees and dived into the foliage, as if into green water.",1-1
42,"Я набирал в ведро воды из пруда, бросал в эту воду траву и ждал.","I scooped water from the pond, threw in some grass, and waited.",1-1
43,Красные поплавки неподвижно стояли в воде.,The red buoys stood motionless in the water.,1-1
44,"Потом один из них начинал вздрагивать, пускал легкие круги, внезапно нырял или быстро плыл в сторону.","One of them started to twitch, made light circles, suddenly dived or quickly swam away.",1-1
45,"Отец подсекал, леска натягивалась, ореховое удилище сгибалось в дугу, и в тумане над прудом начиналось бульканье, плеск, возня.","The father was fishing, the line was tightening, the willow branch was bending into an arc, and in the mist over the pond, bubbles began to rise, splashing, and commotion.",1-1
46,"Вода разбегалась, качая кувшинки, торопливо удирали во все стороны жуки-водомеры, и наконец в загадочной глубине появлялся бьющийся золотой блеск.","Water was splashing, jostling the cups, hastily scurrying in all directions were the water-measuring beetles, and finally, in the mysterious depths, a golden glow began to flicker.",1-1
47,"Нельзя было разобрать, что это такое, пока отец не выволакивал на примятую траву тяжелого карася.",It was impossible to understand what it was until the father pulled out a heavy carp from the tangled grass.,1-1
48,"Он лежал на боку, отдувался и шевелил плавниками.","He was lying on his side, breathing heavily and moving his fins.",1-1
49,От его чешуи шел удивительный запах подводного царства.,From his scales emanated a wonderful smell of the underwater kingdom.,1-1
50,Яша считал про себя секунды.,Yasha thought about himself for seconds.,1-1
51,"Мы знали, что от Стурдзовского переулка до санатория Ландесмана было семь минут ходьбы.",We knew that it took seven minutes to walk from Sturdza Street to the Landezmann Sanatorium.,1-1
52,В санатории за высокой оградой и железными воротами мы всегда чувствовали себя в полной безопасности.,"In the sanatorium behind high walls and iron gates, we always felt completely safe.",1-1
53,Особенно если не зажигали коптилок.,Especially if they didn't light the stove.,1-1
