id,source,translation,n2m
1,Police arrest 15 after violent protest outside UK refugee hotel,Polizei verhaftet 15 Personen nach gewalttätigem Protest vor britischem Flüchtlingshotel,2-1
2,The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats.,"Der Vorfall ereignete sich, nachdem die Zahl der Flüchtlinge und Asylsuchenden zugenommen hatte, die in Booten den Ärmelkanal nach Großbritannien überquerten.",1-1
3,Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool.,"Die Polizei hat 15 Personen festgenommen, nachdem eine Anti-Flüchtlingsdemonstration vor einem Hotel, in dem Asylsuchende untergebracht waren, in der Nähe der englischen Stadt Liverpool gewalttätig geworden war.",1-1
4,The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley.,"Die Polizei von Merseyside teilte mit, dass ein Polizist und zwei Zivilisten bei den Unruhen am Freitagabend in Knowsley leichte Verletzungen erlitten hätten.",1-1
5,The police force said some protesters threw objects and set a police van on fire.,"Die Polizei sagte, einige Demonstranten hätten Gegenstände geworfen und einen Polizeiwagen in Brand gesteckt.",1-1
6,"The people arrested, who ranged in age from 13 to 54, were detained ""following violent disorder.""",Die festgenommenen Personen im Alter zwischen 13 und 54 Jahren wurden „nach gewaltsamen Unruhen“ inhaftiert.,1-1
7,"Merseyside police commissioner Emily Spurrell told Radio City, ""It was incredibly dangerous and there were a couple of injuries amongst the police officers.""","Die Polizeikommissarin von Merseyside, Emily Spurrell, sagte gegenüber Radio City: „Es war unglaublich gefährlich und es gab einige Verletzungen unter den Polizisten. “",1-2
8,"The Home Office has been using the hotel to temporarily house asylum seekers since last year, according to local media.",Lokalen Medien zufolge nutzt das Innenministerium das Hotel seit letztem Jahr zur vorübergehenden Unterbringung von Asylbewerbern.,1-1
9,"George Howarth, who represents Knowsley in the UK Parliament, said the violence on Friday night did not reflect the community.","George Howarth, der Knowsley im britischen Parlament vertritt, sagte, die Gewalt am Freitagabend sei kein Ausdruck der Gemeinschaft.",1-1
10,"""The people of Knowsley are not bigots and are welcoming to people escaping from some of the most dangerous places in the world in search of a place of safety,"" he said. ""Those demonstrating against refugees at this protest tonight do not represent this community.""","„Die Menschen in Knowsley sind keine Fanatiker und heißen Menschen willkommen, die auf der Suche nach einem sicheren Ort aus einigen der gefährlichsten Orte der Welt fliehen“, sagte er. „Diejenigen, die heute Abend bei diesem Protest gegen Flüchtlinge demonstrieren, repräsentieren nicht diese Gemeinschaft. “",2-2
11,The protest took place amid heightened tensions as growing numbers of refugees and migrants cross the Channel in small boats.,"Der Protest fand inmitten erhöhter Spannungen statt, da immer mehr Flüchtlinge und Migranten in kleinen Booten den Ärmelkanal überquerten.",1-1
12,"More than 45,000 people reached the UK by that route in 2022, and most applied for asylum.",Im Jahr 2022 erreichten mehr als 45. 000 Menschen das Vereinigte Königreich auf diesem Weg und die meisten stellten einen Asylantrag.,1-1
13,"The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations.","Das System zur Prüfung von Asylanträgen ist aufgrund politischer Unruhen und bürokratischer Verzögerungen stark verlangsamt, so dass viele Asylsuchende in Hotels oder anderen provisorischen Unterkünften festsitzen.",1-1
14,"The Channel crossings have become a political issue, with the Conservative government promising to ""stop the boats"" and pursuing a plan to send such asylum seekers to Rwanda.","Die Kanalüberquerungen sind zu einem politischen Thema geworden, da die konservative Regierung versprochen hat, „die Boote anzuhalten“ und einen Plan verfolgt, solche Asylsuchenden nach Ruanda zu schicken.",1-1
15,Opponents have accused the government of demonising desperate people fleeing war and poverty.,"Gegner werfen der Regierung vor, verzweifelte Menschen zu dämonisieren, die vor Krieg und Armut fliehen.",1-1
16,President's Cup: Candystripes defeat Rovers in season opener at Brandywell,President's Cup: Candystripes besiegen Rovers beim Saisonauftakt in Brandywell,2-1
17,Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell,Derry-Mittelfeldspieler Adam Reilly schließt Lee Grace im Brandywell aus,2-1
18,Derry City emerged victorious in the President's Cup as they ran out 2-0 winners over Shamrock Rovers.,"Derry City ging als Sieger aus dem President's Cup hervor, als sie die Shamrock Rovers mit 2:0 besiegten.",1-1
19,The FAI Cup holders defeated last season's league winners at the Brandywell thanks to first-half goals from Will Patching and Michael Duffy.,Der FAI-Cup-Titelverteidiger besiegte den Ligasieger der letzten Saison im Brandywell dank der Tore von Will Patching und Michael Duffy in der ersten Halbzeit.,1-1
20,The Hoops pushed to reduced terms in the second half but Ruaidhri Higgins' charges stood firm to win the curtain-raiser.,"Die Hoops drängten in der zweiten Halbzeit auf reduzierte Bedingungen, aber die Schützlinge von Ruaidhri Higgins blieben standhaft und gewannen das Auftaktspiel.",1-1
21,Derry travel to St. Patrick's Athletic for the league opener next Friday.,Derry reist nächsten Freitag zum Ligaauftakt zu St. Patrick's Athletic.,1-1
