id,source,target,n2m
1,«Лжешь»! подумал я.,「嘘をついてる」！私は思った。,1-1
2,"Брелоки и перстень на мизинце плохо вязались с письмом ради куска хлеба, да и по лицу Камышева пробежала чуть заметная, уловимая опытным глазом тучка, которую можно видеть на лицах только редко лгущих людей.",紐と指輪が小麦粉に不似合いで、カームシェフの顔にはわずかに観察できる、経験的な目でしか見えない微妙な表情がありました。,1-1
3,Какой сюжет вашей повести? спросил я. Сюжет.,「あなたの物語のストーリーは何ですか？」と私は質問した。,2-1
4,"Как бы вам сказать? Сюжет не новый. Любовь, убийство.",ストーリー 「どういう風に言いますか？」 ストーリーは新しいです。,3-1
5,"Да вы прочтете, увидите. «Из записок судебного следователя».","""Rakurabu, shibai。"" 「あなたたちは読んで、見てください」 ""裁判官の手記""",2-1
6,Камышев вскинул на меня своими добрыми глазами и тихо засмеялся.,Каムシェフは私に寄り添うように、優しい眼で見つめて、小さく笑っていた。,1-1
7,"Надоедная служба. Служил-служил, махнул рукой и бросил.",煩わしいサービス 服務した後、手を振り上げて投げた。,2-1
8,"Занятий у меня теперь нет, есть почти нечего.",私には今の仕事はありません、あるものはほとんどありません。,1-1
9,"И если вы, минуя достоинства, напечатаете мою повесть, то сделаете мне больше, чем одолжение.",「そして、あなたたちが、私の物語を印刷し、その利点を無視してしまうと、私にとっては、大きなお返しになります。」,1-1
10,Вы поможете мне.,「あなたは私に助けてくれますか？」,1-1
11,"Газета не богадельня, не странно-приимный дом.",新聞は、貧困院ではありません。 不思議な受け入れの家でもありません。,1-2
12,"Я это знаю, но.",「わかっているけれど」,1-1
13,уж вы будьте так добры. Очень рад.,あなたたちはそれほど優しいです,2-1
14,"Чем могу быть полезен? Желающий попасть в начинающие сел и продолжал, глядя на пол своими умоляющими глазами: Я притащил к вам маленькую повесть, которую мне хотелось бы напечатать в вашей газете. Я вам откровенно скажу, г. редактор: написал я свою повесть не для авторской славы и не для звуков сладких.","「ありがとうございます」 什么で有用ですか？ WRONG STATEMENT, TRANSLATION FOUND:「私たちの始まりに加わりたいと願い続け、自分の膝に視線を降ろうとしていた。」 ""私は彼のやさしい物語をください、ください新聞に印刷したいです。"" 私はあなたに正直に言います、編集者さん：私はその小説を著したのではありませんでした。",4-1
15,Для этих хороших вещей я уже постарел. Вступаю же на путь авторский просто из меркантильных побуждений.,作者の名声や甘美な音を求めてです。 これらの良い物には、私は既に老いてしまった。 私は、商業的動機に基づいて、作家の道を選びます。,2-1
16,Заработать хочется. Я теперь решительно никаких не имею занятий.,働きたい 私は今、絶対に何の仕事も持っていません。,2-1
17,"Был, знаете ли, судебным следователем в С-м уезде, прослужил пять с лишком лет, но ни капитала не нажил, ни невинности не сохранил.",「知っているかい、私はS県で裁判官として5年以上勤務しましたが、財産はなく、無実は保てませんでした。」,1-1
18,"«Как, однако, он много говорит!» подумал я, протягивая руку к перу и тем давая знать, что мне некогда.",「ああ、多く話すね！」と私は考えた、手を垂れて髪を撫でて、それでもらい知らせるようにした。,1-1
19,(Уж больно надоели мне тогда посетители!),私にはもう訪問者が多すぎてうんざりました!,1-1
20,Я отниму у вас одну только минуту! продолжал мой герой извиняющимся голосом. Но прежде всего позвольте представиться.,「私はあなたたちからたった一分を取り戻します！」 まずは私の自己紹介を許してください。,2-1
