lang,system,total_src_sents,n2m,n2mR,length_var,merges,splits,mergesRatio,splitsRatio,file
fr-ja,gpt4mch,76,15,0.19736842105263158,0.33111022101221166,7,8,0.09210526315789473,0.10526315789473684,fr-ja.para.gpt4mch.1
fr-ja,gpt4mch,81,12,0.14814814814814814,0.36372847779710227,5,7,0.06172839506172839,0.08641975308641975,fr-ja.para.gpt4mch.2
fr-ja,gpt4mch,81,14,0.1728395061728395,0.3226845450909802,6,8,0.07407407407407407,0.09876543209876543,fr-ja.para.gpt4mch.3
fr-ja,gpt4hum,79,16,0.20253164556962025,0.36086191284275676,9,7,0.11392405063291139,0.08860759493670886,fr-ja.para.gpt4hum.1
fr-ja,gpt4hum,77,16,0.2077922077922078,0.3577061250102065,8,8,0.1038961038961039,0.1038961038961039,fr-ja.para.gpt4hum.2
fr-ja,gpt4hum,77,12,0.15584415584415584,0.33745985823887975,5,7,0.06493506493506493,0.09090909090909091,fr-ja.para.gpt4hum.3
fr-ja,human,80,15,0.1875,0.30432483707016866,8,7,0.1,0.0875,fr-ja.para.human
fr-ja,gpt3,77,18,0.23376623376623376,0.2511861382830653,10,8,0.12987012987012986,0.1038961038961039,fr-ja.para.gpt3
de-ja,gpt4mch,38,15,0.39473684210526316,0.15595160842153413,0,15,0.0,0.39473684210526316,de-ja.para.gpt4mch.1
de-ja,gpt4mch,34,15,0.4411764705882353,0.16623795489799287,4,11,0.11764705882352941,0.3235294117647059,de-ja.para.gpt4mch.2
de-ja,gpt4mch,38,24,0.631578947368421,0.0925214330243658,2,22,0.05263157894736842,0.5789473684210527,de-ja.para.gpt4mch.3
de-ja,gpt4hum,37,18,0.4864864864864865,0.1193701097983181,0,18,0.0,0.4864864864864865,de-ja.para.gpt4hum.1
de-ja,gpt4hum,37,17,0.4594594594594595,0.19015996818543235,1,16,0.02702702702702703,0.43243243243243246,de-ja.para.gpt4hum.2
de-ja,gpt4hum,36,18,0.5,0.1165592293456284,1,17,0.027777777777777776,0.4722222222222222,de-ja.para.gpt4hum.3
de-ja,human,39,26,0.6666666666666666,0.1089970031992053,0,26,0.0,0.6666666666666666,de-ja.para.human
de-ja,gpt3,38,21,0.5526315789473685,0.09652102735489615,2,19,0.05263157894736842,0.5,de-ja.para.gpt3
pl-ja,gpt4mch,75,14,0.18666666666666668,0.21700524241845168,5,9,0.06666666666666667,0.12,pl-ja.para.gpt4mch.1
pl-ja,gpt4mch,74,17,0.22972972972972974,0.2476474572357971,8,9,0.10810810810810811,0.12162162162162163,pl-ja.para.gpt4mch.2
