"Language","System","Level","Cohen_d"
"cs-pl","gpt4hum","Paragraph",0.288693454617614
"cs-pl","gpt3","Paragraph",-1.07531123901748
"de-en","gpt4hum","Paragraph",0.293063051944187
"de-en","gpt3","Paragraph",0.000746173395041574
"de-ja","gpt4hum","Paragraph",0.355459017516534
"de-ja","gpt3","Paragraph",0.883197865562228
"de-pl","gpt4hum","Paragraph",-0.846357119864223
"de-pl","gpt3","Paragraph",0.0573162142848013
"en-ja","gpt4hum","Paragraph",0.34217720672768
"en-ja","gpt3","Paragraph",-0.351968526635516
"en-pl","gpt4hum","Paragraph",-0.954120605894272
"en-pl","gpt3","Paragraph",-1.06254033247831
"fr-en","gpt4hum","Paragraph",-0.497354505860319
"fr-en","gpt3","Paragraph",-0.440189529288878
"fr-ja","gpt4hum","Paragraph",-0.333086537592213
"fr-ja","gpt3","Paragraph",-0.22212029038776
"fr-pl","gpt4hum","Paragraph",-1.91110139199871
"fr-pl","gpt3","Paragraph",-1.86621930351932
"ja-en","gpt4hum","Paragraph",-0.173125408441123
"ja-en","gpt3","Paragraph",-0.582195801982024
"ja-pl","gpt4hum","Paragraph",-0.438349307772478
"ja-pl","gpt3","Paragraph",-0.70786096156395
"pl-en","gpt4hum","Paragraph",0.333436169520164
"pl-en","gpt3","Paragraph",-0.132018226907485
"pl-ja","gpt4hum","Paragraph",-0.407126466508725
"pl-ja","gpt3","Paragraph",0.392387217702351
"ru-en","gpt4hum","Paragraph",-0.849581922892186
"ru-en","gpt3","Paragraph",-0.933067923161466
"ru-ja","gpt4hum","Paragraph",-0.758867548754712
"ru-ja","gpt3","Paragraph",-0.760174779217463
"ru-pl","gpt4hum","Paragraph",0.317927692980285
"ru-pl","gpt3","Paragraph",-1.79317111469949
"zh-en","gpt4hum","Paragraph",-0.0219856246994095
"zh-en","gpt3","Paragraph",0.429531076864705
"zh-ja","gpt4hum","Paragraph",0.147547222322518
"zh-ja","gpt3","Paragraph",-1.50303211743115
"cs-pl","gpt4hum","Paragraph",0.288693454617614
"cs-pl","gpt3","Paragraph",-1.07531123901748
"de-en","gpt4hum","Paragraph",0.293063051944187
"de-en","gpt3","Paragraph",0.000746173395041574
"de-ja","gpt4hum","Paragraph",0.355459017516534
"de-ja","gpt3","Paragraph",0.883197865562228
"de-pl","gpt4hum","Paragraph",-0.846357119864223
"de-pl","gpt3","Paragraph",0.0573162142848013
"en-ja","gpt4hum","Paragraph",0.34217720672768
"en-ja","gpt3","Paragraph",-0.351968526635516
"en-pl","gpt4hum","Paragraph",-0.954120605894272
"en-pl","gpt3","Paragraph",-1.06254033247831
"fr-en","gpt4hum","Paragraph",-0.497354505860319
"fr-en","gpt3","Paragraph",-0.440189529288878
"fr-ja","gpt4hum","Paragraph",-0.333086537592213
"fr-ja","gpt3","Paragraph",-0.22212029038776
"fr-pl","gpt4hum","Paragraph",-1.91110139199871
"fr-pl","gpt3","Paragraph",-1.86621930351932
"ja-en","gpt4hum","Paragraph",-0.173125408441123
"ja-en","gpt3","Paragraph",-0.582195801982024
"ja-pl","gpt4hum","Paragraph",-0.438349307772478
"ja-pl","gpt3","Paragraph",-0.70786096156395
"pl-en","gpt4hum","Paragraph",0.333436169520164
"pl-en","gpt3","Paragraph",-0.132018226907485
"pl-ja","gpt4hum","Paragraph",-0.407126466508725
"pl-ja","gpt3","Paragraph",0.392387217702351
"ru-en","gpt4hum","Paragraph",-0.849581922892186
"ru-en","gpt3","Paragraph",-0.933067923161466
"ru-ja","gpt4hum","Paragraph",-0.758867548754712
"ru-ja","gpt3","Paragraph",-0.760174779217463
"ru-pl","gpt4hum","Paragraph",0.317927692980285
"ru-pl","gpt3","Paragraph",-1.79317111469949
"zh-en","gpt4hum","Paragraph",-0.0219856246994095
"zh-en","gpt3","Paragraph",0.429531076864705
"zh-ja","gpt4hum","Paragraph",0.147547222322518
"zh-ja","gpt3","Paragraph",-1.50303211743115
