lang,system,total_src_sents,n2m,n2mR,length_var,merges,splits,mergesRatio,splitsRatio,file
ja-pl,gpt4hum,43,10,0.23255813953488372,0.13362563733111496,0,10,0.0,0.23255813953488372,ja-pl.sent.gpt4hum.merged.1
ja-pl,gpt4hum,43,11,0.2558139534883721,0.12396533060065615,0,11,0.0,0.2558139534883721,ja-pl.sent.gpt4hum.merged.2
ja-pl,gpt4hum,43,9,0.20930232558139536,0.1175998574230871,0,9,0.0,0.20930232558139536,ja-pl.sent.gpt4hum.merged.3
ja-pl,gpt3,43,6,0.13953488372093023,0.144182100045865,0,6,0.0,0.13953488372093023,ja-pl.sent.gpt3
ja-pl,nmt,43,5,0.11627906976744186,0.14652315506114555,0,5,0.0,0.11627906976744186,ja-pl.sent.nmt
ru-pl,gpt4hum,109,0,0.0,0.12149083897428205,0,0,0.0,0.0,ru-pl.sent.gpt4hum.merged.1
ru-pl,gpt4hum,109,0,0.0,0.1298555140683166,0,0,0.0,0.0,ru-pl.sent.gpt4hum.merged.2
ru-pl,gpt4hum,109,0,0.0,0.1274703344543721,0,0,0.0,0.0,ru-pl.sent.gpt4hum.merged.3
ru-pl,gpt3,108,1,0.009259259259259259,0.12439577081361505,1,0,0.009259259259259259,0.0,ru-pl.sent.gpt3
ru-pl,nmt,109,0,0.0,0.13121421522393992,0,0,0.0,0.0,ru-pl.sent.nmt
pl-ja,gpt4hum,83,12,0.14457831325301204,0.1938489755007421,1,11,0.012048192771084338,0.13253012048192772,pl-ja.sent.gpt4hum.merged.1
pl-ja,gpt4hum,79,10,0.12658227848101267,0.19810902902813685,3,7,0.0379746835443038,0.08860759493670886,pl-ja.sent.gpt4hum.merged.2
pl-ja,gpt4hum,79,10,0.12658227848101267,0.189748970207288,2,8,0.02531645569620253,0.10126582278481013,pl-ja.sent.gpt4hum.merged.3
pl-ja,gpt3,73,19,0.2602739726027397,0.17288928582271712,5,14,0.0684931506849315,0.1917808219178082,pl-ja.sent.gpt3
pl-ja,nmt,82,14,0.17073170731707318,0.16382266834062348,2,12,0.024390243902439025,0.14634146341463414,pl-ja.sent.nmt
ru-ja,gpt4hum,89,8,0.0898876404494382,0.23073200865593388,2,6,0.02247191011235955,0.06741573033707865,ru-ja.sent.gpt4hum.merged.1
ru-ja,gpt4hum,88,6,0.06818181818181818,0.2402134338719221,2,4,0.022727272727272728,0.045454545454545456,ru-ja.sent.gpt4hum.merged.2
ru-ja,gpt4hum,87,10,0.11494252873563218,0.24160241647187972,4,6,0.04597701149425287,0.06896551724137931,ru-ja.sent.gpt4hum.merged.3
ru-ja,gpt3,80,15,0.1875,0.2146817344838202,9,6,0.1125,0.075,ru-ja.sent.gpt3
ru-ja,nmt,90,5,0.05555555555555555,0.27665037247029706,0,5,0.0,0.05555555555555555,ru-ja.sent.nmt
pl-en,gpt4hum,69,3,0.043478260869565216,0.17720107708210575,0,3,0.0,0.043478260869565216,pl-en.sent.gpt4hum.merged.1
pl-en,gpt4hum,69,4,0.057971014492753624,0.1884443237977034,0,4,0.0,0.057971014492753624,pl-en.sent.gpt4hum.merged.2
pl-en,gpt4hum,69,2,0.028985507246376812,0.19535651335479656,0,2,0.0,0.028985507246376812,pl-en.sent.gpt4hum.merged.3
pl-en,gpt3,69,1,0.014492753623188406,0.20333426857078735,0,1,0.0,0.014492753623188406,pl-en.sent.gpt3
pl-en,nmt,69,2,0.028985507246376812,0.19012993401154435,0,2,0.0,0.028985507246376812,pl-en.sent.nmt
fr-en,gpt4hum,57,0,0.0,0.16783295649718907,0,0,0.0,0.0,fr-en.sent.gpt4hum.merged.1
fr-en,gpt4hum,57,0,0.0,0.16156920937151212,0,0,0.0,0.0,fr-en.sent.gpt4hum.merged.2
fr-en,gpt4hum,57,0,0.0,0.1580403063969934,0,0,0.0,0.0,fr-en.sent.gpt4hum.merged.3
fr-en,gpt3,57,0,0.0,0.14125586714052424,0,0,0.0,0.0,fr-en.sent.gpt3
fr-en,nmt,57,1,0.017543859649122806,0.16303795100884372,0,1,0.0,0.017543859649122806,fr-en.sent.nmt
fr-ja,gpt4hum,74,23,0.3108108108108108,0.2264977392902834,12,11,0.16216216216216217,0.14864864864864866,fr-ja.sent.gpt4hum.merged.1
fr-ja,gpt4hum,74,15,0.20270270270270271,0.2619624522529226,8,7,0.10810810810810811,0.0945945945945946,fr-ja.sent.gpt4hum.merged.2
fr-ja,gpt4hum,78,14,0.1794871794871795,0.29545211699383994,6,8,0.07692307692307693,0.10256410256410256,fr-ja.sent.gpt4hum.merged.3
fr-ja,gpt3,81,20,0.24691358024691357,0.2884464549492368,8,12,0.09876543209876543,0.14814814814814814,fr-ja.sent.gpt3
fr-ja,nmt,83,7,0.08433734939759036,0.2321720055604492,5,2,0.060240963855421686,0.024096385542168676,fr-ja.sent.nmt
cs-pl,gpt4hum,50,0,0.0,0.10212471631849153,0,0,0.0,0.0,cs-pl.sent.gpt4hum.merged.1
cs-pl,gpt4hum,50,4,0.08,0.09267458581359335,0,4,0.0,0.08,cs-pl.sent.gpt4hum.merged.2
cs-pl,gpt4hum,50,1,0.02,0.09254114417563697,0,1,0.0,0.02,cs-pl.sent.gpt4hum.merged.3
cs-pl,gpt3,50,0,0.0,0.0996840186221612,0,0,0.0,0.0,cs-pl.sent.gpt3
cs-pl,nmt,50,2,0.04,0.09802819658219242,0,2,0.0,0.04,cs-pl.sent.nmt
zh-ja,gpt4hum,85,21,0.24705882352941178,0.22218260309029395,5,16,0.058823529411764705,0.18823529411764706,zh-ja.sent.gpt4hum.merged.1
zh-ja,gpt4hum,84,17,0.20238095238095238,0.23324980934724054,5,12,0.05952380952380952,0.14285714285714285,zh-ja.sent.gpt4hum.merged.2
zh-ja,gpt4hum,85,20,0.23529411764705882,0.2450098868204952,5,15,0.058823529411764705,0.17647058823529413,zh-ja.sent.gpt4hum.merged.3
zh-ja,gpt3,91,18,0.1978021978021978,0.19375900286852069,1,17,0.01098901098901099,0.18681318681318682,zh-ja.sent.gpt3
zh-ja,nmt,89,13,0.14606741573033707,0.21981013175266614,3,10,0.033707865168539325,0.11235955056179775,zh-ja.sent.nmt
de-en_news,nmt,1723,140,0.0812536273940801,0.13346232906856928,23,117,0.013348810214741729,0.06790481717933837,de-en_news.sent.nmt
en-de_news,nmt,2100,235,0.11190476190476191,0.19014426339023607,107,128,0.05095238095238095,0.06095238095238095,en-de_news.sent.nmt
fr-pl,gpt4hum,57,3,0.05263157894736842,0.15686736499409096,0,3,0.0,0.05263157894736842,fr-pl.sent.gpt4hum.merged.1
fr-pl,gpt4hum,57,0,0.0,0.15580881196260246,0,0,0.0,0.0,fr-pl.sent.gpt4hum.merged.2
fr-pl,gpt4hum,57,1,0.017543859649122806,0.17593537923828173,0,1,0.0,0.017543859649122806,fr-pl.sent.gpt4hum.merged.3
fr-pl,gpt3,57,0,0.0,0.17207121856138113,0,0,0.0,0.0,fr-pl.sent.gpt3
fr-pl,nmt,57,2,0.03508771929824561,0.13069250811283245,0,2,0.0,0.03508771929824561,fr-pl.sent.nmt
en-pl,gpt4hum,62,1,0.016129032258064516,0.36924018992004354,0,1,0.0,0.016129032258064516,en-pl.sent.gpt4hum.merged.1
en-pl,gpt4hum,61,2,0.03278688524590164,0.34521582988086497,1,1,0.01639344262295082,0.01639344262295082,en-pl.sent.gpt4hum.merged.2
