lang,system,all_alignments,cross_alignments,xwr_mean,xwr_std,xwr_observations,file,total_src_sents,n2m,n2mR,length_var,merges,splits,mergesRatio,splitsRatio
cs-pl,gpt4mch,992,709,0.7123767677862349,0.513711671851587,10,cs-pl.para.gpt4mch.1,50,2,0.04,0.0970155292355783,0,2,0.0,0.04
cs-pl,gpt4mch,1006,697,0.6996387259012152,0.560861318784485,10,cs-pl.para.gpt4mch.2,50,4,0.08,0.1250968959852012,0,4,0.0,0.08
cs-pl,gpt4mch,1016,761,0.7726644350081838,0.540755111805391,10,cs-pl.para.gpt4mch.3,50,4,0.08,0.1012549750365967,0,4,0.0,0.08
de-en,gpt4mch,1253,1313,0.9891029364273328,0.4922100450856576,10,de-en.para.gpt4mch.1,73,16,0.2191780821917808,0.1154466047713422,2,14,0.0273972602739726,0.1917808219178082
de-en,gpt4mch,1298,1328,0.9803071529940326,0.3896871293491635,10,de-en.para.gpt4mch.2,70,17,0.2428571428571428,0.1144963961563354,4,13,0.0571428571428571,0.1857142857142857
de-en,gpt4mch,1254,1588,1.1833484222347637,0.5559131941596569,10,de-en.para.gpt4mch.3,71,18,0.2535211267605634,0.1081954891379115,3,15,0.0422535211267605,0.2112676056338028
de-ja,gpt4mch,857,2199,2.389826273886789,1.043200710664616,10,de-ja.para.gpt4mch.1,38,15,0.3947368421052631,0.1559516084215341,0,15,0.0,0.3947368421052631
de-ja,gpt4mch,662,1345,2.0646983525341485,0.9875032146456392,10,de-ja.para.gpt4mch.2,34,15,0.4411764705882353,0.1662379548979928,4,11,0.1176470588235294,0.3235294117647059
de-ja,gpt4mch,849,1687,1.9518252531705933,0.6408470862187853,10,de-ja.para.gpt4mch.3,38,24,0.631578947368421,0.0925214330243658,2,22,0.0526315789473684,0.5789473684210527
de-pl,gpt4mch,1210,1087,0.895673472224588,0.4016725812990057,10,de-pl.para.gpt4mch.1,70,8,0.1142857142857142,0.1541715062054987,1,7,0.0142857142857142,0.1
de-pl,gpt4mch,1245,980,0.7565454270237322,0.3665848694592419,10,de-pl.para.gpt4mch.2,67,12,0.1791044776119403,0.1470979793688069,3,9,0.044776119402985,0.1343283582089552
de-pl,gpt4mch,1119,951,0.8130469233801717,0.2639058675697239,10,de-pl.para.gpt4mch.3,61,11,0.180327868852459,0.1396541831478299,6,5,0.0983606557377049,0.081967213114754
en-ja,gpt4mch,470,462,1.007381176624261,0.3334113884156945,10,en-ja.para.gpt4mch.1,66,7,0.106060606060606,0.506935231009474,4,3,0.0606060606060606,0.0454545454545454
en-ja,gpt4mch,483,496,1.0608819676789492,0.4032777772009662,10,en-ja.para.gpt4mch.2,65,9,0.1384615384615384,0.4203832680991727,6,3,0.0923076923076923,0.0461538461538461
en-ja,gpt4mch,478,524,1.1360020569275089,0.4638299014591902,10,en-ja.para.gpt4mch.3,66,7,0.106060606060606,0.4631695960539688,5,2,0.0757575757575757,0.0303030303030303
en-pl,gpt4mch,629,247,0.3756139020711484,0.2698843375749487,10,en-pl.para.gpt4mch.1,60,3,0.05,0.3455391791844147,1,2,0.0166666666666666,0.0333333333333333
en-pl,gpt4mch,602,261,0.439066039933685,0.2004235300025809,10,en-pl.para.gpt4mch.2,57,5,0.087719298245614,0.3763508561115712,3,2,0.0526315789473684,0.0350877192982456
en-pl,gpt4mch,627,343,0.4925596044678683,0.286023558251315,10,en-pl.para.gpt4mch.3,60,2,0.0333333333333333,0.363311303464137,1,1,0.0166666666666666,0.0166666666666666
fr-en,gpt4mch,1177,1271,0.9798850533502864,0.6026592219489167,10,fr-en.para.gpt4mch.1,54,5,0.0925925925925925,0.1536918813972562,2,3,0.037037037037037,0.0555555555555555
fr-en,gpt4mch,1171,1758,1.399929537558911,0.7857342220210884,10,fr-en.para.gpt4mch.2,57,1,0.0175438596491228,0.1720384920010658,0,1,0.0,0.0175438596491228
fr-en,gpt4mch,1161,1637,1.3068765514444487,0.9122635906432516,10,fr-en.para.gpt4mch.3,54,3,0.0555555555555555,0.1684900649081887,2,1,0.037037037037037,0.0185185185185185
fr-ja,gpt4mch,519,573,1.011112059222753,0.4745318448850738,10,fr-ja.para.gpt4mch.1,76,15,0.1973684210526315,0.3311102210122116,7,8,0.0921052631578947,0.1052631578947368
fr-ja,gpt4mch,532,547,0.908705042512546,0.4691399475131371,10,fr-ja.para.gpt4mch.2,81,12,0.1481481481481481,0.3637284777971022,5,7,0.0617283950617283,0.0864197530864197
fr-ja,gpt4mch,512,654,1.1397924470222902,0.5512136067130214,10,fr-ja.para.gpt4mch.3,81,14,0.1728395061728395,0.3226845450909802,6,8,0.074074074074074,0.0987654320987654
fr-pl,gpt4mch,1065,1123,0.9633156681587748,0.4210628943644965,10,fr-pl.para.gpt4mch.1,54,2,0.037037037037037,0.1515612545054837,2,0,0.037037037037037,0.0
fr-pl,gpt4mch,1093,849,0.781481923493883,0.3108551483992769,10,fr-pl.para.gpt4mch.2,57,1,0.0175438596491228,0.1702984653007767,0,1,0.0,0.0175438596491228
fr-pl,gpt4mch,1151,1121,0.9202764338594824,0.3789283615012702,10,fr-pl.para.gpt4mch.3,56,1,0.0178571428571428,0.1643938379335732,1,0,0.0178571428571428,0.0
ja-en,gpt4mch,576,840,1.5062854274565962,0.3876387762372489,10,ja-en.para.gpt4mch.1,41,9,0.2195121951219512,0.1577348444092071,1,8,0.024390243902439,0.1951219512195122
ja-en,gpt4mch,568,797,1.439972108211495,0.605297120907094,10,ja-en.para.gpt4mch.2,43,8,0.1860465116279069,0.1592633932513101,0,8,0.0,0.1860465116279069
ja-en,gpt4mch,572,906,1.5729523947018698,0.4957677439130653,10,ja-en.para.gpt4mch.3,39,8,0.2051282051282051,0.1682231528553588,2,6,0.0512820512820512,0.1538461538461538
ja-pl,gpt4mch,537,893,1.6550358129278293,0.8714456795534296,10,ja-pl.para.gpt4mch.1,43,10,0.2325581395348837,0.1250003224382845,0,10,0.0,0.2325581395348837
ja-pl,gpt4mch,449,668,1.5151005791762926,0.5088153762361006,10,ja-pl.para.gpt4mch.2,39,7,0.1794871794871795,0.1049504344315039,0,7,0.0,0.1794871794871795
ja-pl,gpt4mch,432,765,1.6461979579535075,0.6616238183477461,10,ja-pl.para.gpt4mch.3,34,6,0.1764705882352941,0.1469508536475612,2,4,0.0588235294117647,0.1176470588235294
pl-en,gpt4mch,1104,1069,0.9056458476805253,0.4687970255923259,10,pl-en.para.gpt4mch.1,68,6,0.088235294117647,0.2150562147964728,0,6,0.0,0.088235294117647
pl-en,gpt4mch,1120,807,0.676880086591625,0.4247563810625009,10,pl-en.para.gpt4mch.2,69,5,0.072463768115942,0.2116049425789587,0,5,0.0,0.072463768115942
pl-en,gpt4mch,1078,967,0.8663405917952975,0.4823100668262274,10,pl-en.para.gpt4mch.3,67,7,0.1044776119402985,0.1925273792713957,1,6,0.0149253731343283,0.0895522388059701
pl-ja,gpt4mch,613,858,1.402385256448305,0.5615622501580374,10,pl-ja.para.gpt4mch.1,75,14,0.1866666666666666,0.2170052424184516,5,9,0.0666666666666666,0.12
pl-ja,gpt4mch,565,722,1.2832740654111738,0.3698467379909547,10,pl-ja.para.gpt4mch.2,74,17,0.2297297297297297,0.2476474572357971,8,9,0.1081081081081081,0.1216216216216216
pl-ja,gpt4mch,528,679,1.3096287928240986,0.4114982534158606,10,pl-ja.para.gpt4mch.3,65,13,0.2,0.2114784863192751,8,5,0.123076923076923,0.0769230769230769
ru-en,gpt4mch,907,602,0.673377107006194,0.3910974343294074,10,ru-en.para.gpt4mch.1,64,6,0.09375,0.1936011132426525,6,0,0.09375,0.0
ru-en,gpt4mch,897,478,0.5519223948916989,0.2454721991431458,10,ru-en.para.gpt4mch.2,65,6,0.0923076923076923,0.159223803451111,5,1,0.0769230769230769,0.0153846153846153
ru-en,gpt4mch,919,751,0.8145454282002275,0.321465247411711,10,ru-en.para.gpt4mch.3,65,8,0.123076923076923,0.1563284288574327,5,3,0.0769230769230769,0.0461538461538461
ru-ja,gpt4mch,737,940,1.173760018502264,0.5231104955711546,10,ru-ja.para.gpt4mch.1,83,15,0.180722891566265,0.2805223787588256,8,7,0.0963855421686747,0.0843373493975903
ru-ja,gpt4mch,718,907,1.2627725994599204,0.4025626637579177,10,ru-ja.para.gpt4mch.2,80,14,0.175,0.2961680518179488,6,8,0.075,0.1
ru-ja,gpt4mch,707,1006,1.3709269039790464,0.434691310002109,10,ru-ja.para.gpt4mch.3,83,14,0.1686746987951807,0.2732892766347037,8,6,0.0963855421686747,0.072289156626506
ru-pl,gpt4mch,1338,916,0.5969009899016616,0.6403059843700674,10,ru-pl.para.gpt4mch.1,91,4,0.0439560439560439,0.1184784544199533,4,0,0.0439560439560439,0.0
ru-pl,gpt4mch,1321,1562,1.0041625181851477,0.9009223138211052,10,ru-pl.para.gpt4mch.2,91,6,0.0659340659340659,0.1333087562979588,6,0,0.0659340659340659,0.0
ru-pl,gpt4mch,1248,992,0.7938819847487408,0.7552457612137434,10,ru-pl.para.gpt4mch.3,86,5,0.0581395348837209,0.1471403804929558,5,0,0.0581395348837209,0.0
zh-en,gpt4mch,547,533,0.843651045115269,0.6291239306466431,10,zh-en.para.gpt4mch.1,56,11,0.1964285714285714,0.1388904854795052,9,2,0.1607142857142857,0.0357142857142857
zh-en,gpt4mch,571,473,0.6983597928028167,0.5742083803844977,10,zh-en.para.gpt4mch.2,60,8,0.1333333333333333,0.1445373281357297,5,3,0.0833333333333333,0.05
zh-en,gpt4mch,554,483,0.7745380281501463,0.3951308966566723,10,zh-en.para.gpt4mch.3,58,7,0.1206896551724138,0.1488815032249354,5,2,0.0862068965517241,0.0344827586206896
zh-ja,gpt4mch,694,1234,1.8536959154805808,0.8523650544557941,10,zh-ja.para.gpt4mch.1,70,20,0.2857142857142857,0.450102448967933,11,9,0.1571428571428571,0.1285714285714285
zh-ja,gpt4mch,781,914,1.164929421173046,0.5189364498318564,10,zh-ja.para.gpt4mch.2,88,19,0.2159090909090909,0.2392254475041167,4,15,0.0454545454545454,0.1704545454545454
zh-ja,gpt4mch,737,928,1.2374840450521316,0.5708506742989438,10,zh-ja.para.gpt4mch.3,78,15,0.1923076923076923,0.2226892179871235,7,8,0.0897435897435897,0.1025641025641025
cs-pl,gpt4hum,1005,707,0.6899966729141469,0.5555291780532274,10,cs-pl.para.gpt4hum.1,50,3,0.06,0.1080667027208274,0,3,0.0,0.06
cs-pl,gpt4hum,1010,772,0.7508150239275934,0.4725649898867047,10,cs-pl.para.gpt4hum.2,49,3,0.0612244897959183,0.0999835900233326,1,2,0.0204081632653061,0.0408163265306122
cs-pl,gpt4hum,981,727,0.7437458420915813,0.2978995801514093,10,cs-pl.para.gpt4hum.3,50,3,0.06,0.0954955768873475,0,3,0.0,0.06
de-en,gpt4hum,1306,1340,0.979108036606041,0.3975080325197171,10,de-en.para.gpt4hum.1,70,16,0.2285714285714285,0.1007843886245923,5,11,0.0714285714285714,0.1571428571428571
de-en,gpt4hum,1288,1411,1.052660053640479,0.4347829705470186,10,de-en.para.gpt4hum.2,71,16,0.2253521126760563,0.0981624716197562,4,12,0.056338028169014,0.1690140845070422
de-en,gpt4hum,1262,1594,1.171697094912954,0.5235254966660743,10,de-en.para.gpt4hum.3,70,10,0.1428571428571428,0.1334477596781185,5,5,0.0714285714285714,0.0714285714285714
de-ja,gpt4hum,834,1805,2.1545101351999447,0.6306495762843247,10,de-ja.para.gpt4hum.1,37,18,0.4864864864864865,0.1193701097983181,0,18,0.0,0.4864864864864865
de-ja,gpt4hum,809,1818,2.211358473759053,0.695007602246362,10,de-ja.para.gpt4hum.2,37,17,0.4594594594594595,0.1901599681854323,1,16,0.027027027027027,0.4324324324324324
de-ja,gpt4hum,856,1991,2.1604409610771653,0.767213522679931,10,de-ja.para.gpt4hum.3,36,18,0.5,0.1165592293456284,1,17,0.0277777777777777,0.4722222222222222
de-pl,gpt4hum,1227,1039,0.8465685805999378,0.3975605419547748,10,de-pl.para.gpt4hum.1,68,13,0.1911764705882352,0.1552580809473401,3,10,0.0441176470588235,0.1470588235294117
de-pl,gpt4hum,1229,1153,0.9360207060434624,0.3730994141424612,10,de-pl.para.gpt4hum.2,69,9,0.1304347826086956,0.1591123113221731,2,7,0.0289855072463768,0.1014492753623188
de-pl,gpt4hum,1224,1095,0.8586299281478753,0.3711584721318614,10,de-pl.para.gpt4hum.3,67,8,0.1194029850746268,0.1807916443601532,2,6,0.0298507462686567,0.0895522388059701
en-ja,gpt4hum,452,638,1.5563226139341215,1.1617510219994558,10,en-ja.para.gpt4hum.1,66,11,0.1666666666666666,0.4457482974112778,5,6,0.0757575757575757,0.0909090909090909
