lang,system,all_alignments,cross_alignments,xwr_mean,xwr_std,xwr_observations,file
cs-pl,gpt4hum,1059,533,0.5039077505994375,0.390945904922427,10,cs-pl.sent.gpt4hum.merged.1
cs-pl,gpt4hum,1045,452,0.4457103694437324,0.22793446410673265,10,cs-pl.sent.gpt4hum.merged.2
cs-pl,gpt4hum,1058,335,0.3282671438305534,0.22465327768367102,10,cs-pl.sent.gpt4hum.merged.3
de-en,gpt4hum,1392,1147,0.8066902993264519,0.29644451847504466,10,de-en.sent.gpt4hum.merged.1
de-en,gpt4hum,1388,1292,0.8908882746557497,0.4186978133457773,10,de-en.sent.gpt4hum.merged.2
de-en,gpt4hum,1406,1306,0.8583525693597354,0.4365272614662164,10,de-en.sent.gpt4hum.merged.3
de-ja,gpt4hum,890,2075,2.4819537180230378,1.0672913021416432,10,de-ja.sent.gpt4hum.merged.1
de-ja,gpt4hum,871,2018,2.4127462119546377,1.0656223612038054,10,de-ja.sent.gpt4hum.merged.2
de-ja,gpt4hum,880,2389,2.6927569060030256,1.022533402184262,10,de-ja.sent.gpt4hum.merged.3
de-pl,gpt4hum,1325,1406,1.075423346356331,0.48900633604388266,10,de-pl.sent.gpt4hum.merged.1
de-pl,gpt4hum,1302,1115,0.8339208062324136,0.4402855376016727,10,de-pl.sent.gpt4hum.merged.2
de-pl,gpt4hum,1304,1225,0.9426556867395341,0.3705308078369375,10,de-pl.sent.gpt4hum.merged.3
en-ja,gpt4hum,542,576,1.1290379440287854,0.5920014168494048,10,en-ja.sent.gpt4hum.merged.1
en-ja,gpt4hum,536,589,1.2014236408607193,0.789431693872315,10,en-ja.sent.gpt4hum.merged.2
en-ja,gpt4hum,534,581,1.1094878985918122,0.37054909286659804,10,en-ja.sent.gpt4hum.merged.3
en-pl,gpt4hum,633,504,0.6441992999902231,0.5166931130240783,10,en-pl.sent.gpt4hum.merged.1
en-pl,gpt4hum,638,360,0.4882306438001782,0.5369160810159238,10,en-pl.sent.gpt4hum.merged.2
en-pl,gpt4hum,659,502,0.6565692305043307,0.6121477651418079,10,en-pl.sent.gpt4hum.merged.3
fr-en,gpt4hum,1303,1212,0.8239199769054333,0.46671402576484755,10,fr-en.sent.gpt4hum.merged.1
fr-en,gpt4hum,1317,1184,0.7695294482120313,0.5736223517935172,10,fr-en.sent.gpt4hum.merged.2
fr-en,gpt4hum,1279,1294,0.8868497805243525,0.6805052173610063,10,fr-en.sent.gpt4hum.merged.3
fr-ja,gpt4hum,634,668,0.9795704893024693,0.4126743815947364,10,fr-ja.sent.gpt4hum.merged.1
fr-ja,gpt4hum,640,782,1.0523875640114855,0.5628069883971923,10,fr-ja.sent.gpt4hum.merged.2
fr-ja,gpt4hum,619,584,0.8588650351576399,0.3264672478278258,10,fr-ja.sent.gpt4hum.merged.3
fr-pl,gpt4hum,1193,823,0.6872534001890315,0.503402493967921,10,fr-pl.sent.gpt4hum.merged.1
fr-pl,gpt4hum,1218,890,0.7243351106318244,0.3258045754101808,10,fr-pl.sent.gpt4hum.merged.2
fr-pl,gpt4hum,1201,777,0.6615791245108168,0.3911363654688988,10,fr-pl.sent.gpt4hum.merged.3
ja-en,gpt4hum,618,891,1.465164866672167,0.41112701298647775,10,ja-en.sent.gpt4hum.merged.1
ja-en,gpt4hum,591,768,1.3319667385564296,0.3859389615420521,10,ja-en.sent.gpt4hum.merged.2
ja-en,gpt4hum,593,866,1.495653022426501,0.41936410600164514,10,ja-en.sent.gpt4hum.merged.3
ja-pl,gpt4hum,554,908,1.6316152005285443,0.6371704221230248,10,ja-pl.sent.gpt4hum.merged.1
ja-pl,gpt4hum,539,860,1.6029123489420514,0.49202516045373973,10,ja-pl.sent.gpt4hum.merged.2
ja-pl,gpt4hum,548,825,1.5245276093000835,0.21989305748483992,10,ja-pl.sent.gpt4hum.merged.3
pl-en,gpt4hum,1178,1090,0.903091938868339,0.49389366887268904,10,pl-en.sent.gpt4hum.merged.1
pl-en,gpt4hum,1215,1014,0.7573869382824149,0.5260426472906955,10,pl-en.sent.gpt4hum.merged.2
pl-en,gpt4hum,1205,954,0.7349095628479286,0.4416513624665661,10,pl-en.sent.gpt4hum.merged.3
pl-ja,gpt4hum,616,841,1.3833893823734187,0.2330897566922266,10,pl-ja.sent.gpt4hum.merged.1
pl-ja,gpt4hum,600,660,1.112354637124476,0.29436642222388826,10,pl-ja.sent.gpt4hum.merged.2
pl-ja,gpt4hum,635,922,1.4378596641215968,0.8249161538321628,10,pl-ja.sent.gpt4hum.merged.3
ru-en,gpt4hum,944,682,0.720704478178661,0.27971927872441504,10,ru-en.sent.gpt4hum.merged.1
ru-en,gpt4hum,950,710,0.7480837515655094,0.3048783004637592,10,ru-en.sent.gpt4hum.merged.2
ru-en,gpt4hum,971,778,0.7810058013153708,0.32055796013244736,10,ru-en.sent.gpt4hum.merged.3
ru-ja,gpt4hum,878,1021,1.1539362611344646,0.3567748502768918,10,ru-ja.sent.gpt4hum.merged.1
ru-ja,gpt4hum,837,972,1.1376066612355364,0.39833951915263716,10,ru-ja.sent.gpt4hum.merged.2
ru-ja,gpt4hum,869,954,1.0782778089734075,0.2949346731129545,10,ru-ja.sent.gpt4hum.merged.3
ru-pl,gpt4hum,1585,833,0.4658217570154287,0.2216980951509554,10,ru-pl.sent.gpt4hum.merged.1
ru-pl,gpt4hum,1547,869,0.45845440731633885,0.349102371999756,10,ru-pl.sent.gpt4hum.merged.2
ru-pl,gpt4hum,1543,1057,0.5119121756261664,0.5186455067413499,10,ru-pl.sent.gpt4hum.merged.3
zh-en,gpt4hum,613,499,0.7448170536011037,0.4211030562580153,10,zh-en.sent.gpt4hum.merged.1
zh-en,gpt4hum,611,452,0.6615402914630356,0.4182129718308632,10,zh-en.sent.gpt4hum.merged.2
zh-en,gpt4hum,613,401,0.5922546482106081,0.31965099038312966,10,zh-en.sent.gpt4hum.merged.3
zh-ja,gpt4hum,827,1244,1.4914101682277732,0.6029866429088979,10,zh-ja.sent.gpt4hum.merged.1
zh-ja,gpt4hum,856,1305,1.5702461635173082,0.6627847896552906,10,zh-ja.sent.gpt4hum.merged.2
zh-ja,gpt4hum,850,1197,1.384607920842013,0.4206252975271801,10,zh-ja.sent.gpt4hum.merged.3
cs-pl,gpt3,1092,386,0.36607601832291786,0.20535036446341828,10,cs-pl.sent.gpt3
de-en,gpt3,1392,1268,0.9048164617979155,0.3636131942286361,10,de-en.sent.gpt3
de-ja,gpt3,859,2483,2.580258689888299,1.0932809327901087,10,de-ja.sent.gpt3
de-pl,gpt3,1289,1135,0.8396219029467865,0.42568064091951546,10,de-pl.sent.gpt3
en-ja,gpt3,537,470,0.9130342413369361,0.3158788773377583,10,en-ja.sent.gpt3
en-pl,gpt3,641,347,0.5097163530887774,0.3797737841910056,10,en-pl.sent.gpt3
fr-en,gpt3,1315,1247,0.8779442258147624,0.5443265411927738,10,fr-en.sent.gpt3
fr-ja,gpt3,592,600,0.9041303200816563,0.4666854786305057,10,fr-ja.sent.gpt3
fr-pl,gpt3,1140,687,0.6387298863936409,0.3189705155439766,10,fr-pl.sent.gpt3
ja-en,gpt3,595,813,1.3779697178332042,0.2800480711718754,10,ja-en.sent.gpt3
ja-pl,gpt3,566,830,1.5194787674933927,0.26105492631142513,10,ja-pl.sent.gpt3
pl-en,gpt3,1231,958,0.7429506996774131,0.3284461811272231,10,pl-en.sent.gpt3
pl-ja,gpt3,680,812,1.203719628512869,0.44194692619277737,10,pl-ja.sent.gpt3
ru-en,gpt3,933,652,0.6664468405686684,0.32888415908939844,10,ru-en.sent.gpt3
ru-ja,gpt3,903,943,1.0729609360848258,0.43555945127344287,10,ru-ja.sent.gpt3
ru-pl,gpt3,1587,700,0.34784088398992646,0.26581461572493315,10,ru-pl.sent.gpt3
zh-en,gpt3,594,608,0.8962207328776604,0.6960202244695635,10,zh-en.sent.gpt3
zh-ja,gpt3,902,933,1.0558445035147819,0.4959881302963949,10,zh-ja.sent.gpt3
cs-pl,nmt,1001,641,0.6033273305342665,0.4490719518286085,10,cs-pl.sent.nmt
de-en_news,nmt,27129,24333,0.6181874963098278,0.688009279290886,549,de-en_news.sent.nmt
de-en,nmt,1382,1187,0.8434401809893469,0.37146928089781306,10,de-en.sent.nmt
de-ja,nmt,841,2708,2.938453932125035,1.2002194746943977,10,de-ja.sent.nmt
de-pl,nmt,1221,1004,0.7787541690526533,0.19233316706958387,10,de-pl.sent.nmt
en-de_news,nmt,36344,34055,0.6785569181118812,0.6188186655828012,557,en-de_news.sent.nmt
en-ja,nmt,574,697,1.2508843856482221,0.5451901273196976,10,en-ja.sent.nmt
