lang,system,all_alignments,cross_alignments,xwr_mean,xwr_std,xwr_observations,file,total_src_sents,n2m,n2mR,length_var,merges,splits,mergesRatio,splitsRatio
cs-pl,gpt4hum,1059,533,0.5039077505994375,0.390945904922427,10,cs-pl.sent.gpt4hum.merged.1,50,0,0.0,0.1021247163184915,0,0,0.0,0.0
cs-pl,gpt4hum,1045,452,0.4457103694437324,0.2279344641067326,10,cs-pl.sent.gpt4hum.merged.2,50,4,0.08,0.0926745858135933,0,4,0.0,0.08
cs-pl,gpt4hum,1058,335,0.3282671438305534,0.224653277683671,10,cs-pl.sent.gpt4hum.merged.3,50,1,0.02,0.0925411441756369,0,1,0.0,0.02
de-en,gpt4hum,1392,1147,0.8066902993264519,0.2964445184750446,10,de-en.sent.gpt4hum.merged.1,74,11,0.1486486486486486,0.109890057129437,0,11,0.0,0.1486486486486486
de-en,gpt4hum,1388,1292,0.8908882746557497,0.4186978133457773,10,de-en.sent.gpt4hum.merged.2,74,14,0.1891891891891892,0.1011768106746066,0,14,0.0,0.1891891891891892
de-en,gpt4hum,1406,1306,0.8583525693597354,0.4365272614662164,10,de-en.sent.gpt4hum.merged.3,74,13,0.1756756756756756,0.096478832870925,0,13,0.0,0.1756756756756756
de-ja,gpt4hum,890,2075,2.4819537180230378,1.0672913021416432,10,de-ja.sent.gpt4hum.merged.1,37,19,0.5135135135135135,0.1174197345671767,2,17,0.054054054054054,0.4594594594594595
de-ja,gpt4hum,871,2018,2.4127462119546377,1.0656223612038054,10,de-ja.sent.gpt4hum.merged.2,35,19,0.5428571428571428,0.1268547647529386,4,15,0.1142857142857142,0.4285714285714285
de-ja,gpt4hum,880,2389,2.6927569060030256,1.022533402184262,10,de-ja.sent.gpt4hum.merged.3,35,19,0.5428571428571428,0.1240720907896548,3,16,0.0857142857142857,0.4571428571428571
de-pl,gpt4hum,1325,1406,1.075423346356331,0.4890063360438826,10,de-pl.sent.gpt4hum.merged.1,65,6,0.0923076923076923,0.1675488382794101,4,2,0.0615384615384615,0.0307692307692307
de-pl,gpt4hum,1302,1115,0.8339208062324136,0.4402855376016727,10,de-pl.sent.gpt4hum.merged.2,67,6,0.0895522388059701,0.1483094392373179,3,3,0.044776119402985,0.044776119402985
de-pl,gpt4hum,1304,1225,0.942655686739534,0.3705308078369375,10,de-pl.sent.gpt4hum.merged.3,68,7,0.1029411764705882,0.1790802540513485,3,4,0.0441176470588235,0.0588235294117647
