"Language","System","Level","Cohen_d","t_statistic","p_value"
"de-en_news","gpt4","Paragraph",-0.233018892807909,3.86198861214305,0.000119869752285474
"de-en_news","nmt","Sentence",-0.224663587827144,3.72351017248581,0.000207964352434332
"ru-pl","gpt3","Paragraph",-1.75487835126042,4.00965250775713,0.00154687006200957
"fr-pl","gpt3","Sentence",-1.87472744715668,4.28349099209863,0.0019838734191842
"fr-pl","gpt4","Paragraph",-2.73379429273101,4.28054188605036,0.00203255682371823
"fr-pl","gpt4","Sentence",-2.69548804283275,4.24910227902369,0.00211374684833192
"fr-pl","nmt","Sentence",-1.83488251134972,4.19245086577587,0.00223874222342486
"fr-pl","gpt3","Paragraph",-1.82636661253558,4.1729932235915,0.00228351715062101
"zh-ja","gpt3","Paragraph",-1.47093520663312,3.3608819869415,0.00464310640824126
"de-pl","nmt","Sentence",-1.32850658478708,3.03545243203747,0.00977856032310862
"ru-en","gpt3","Sentence",-1.25146888605577,2.8594320248748,0.0116544545655722
"ru-en","nmt","Sentence",-1.21960481985524,2.78662707354782,0.0143252795330133
"en-pl","nmt","Sentence",-1.27174197319496,2.90575320413445,0.0151567378577658
"cs-pl","gpt3","Sentence",-1.13984612868486,2.60438957780513,0.0181555897522729
"ru-pl","gpt3","Sentence",-1.13360120815289,2.59012080455726,0.0189472483951012
"ru-en","gpt4","Sentence",-1.2677975724395,2.7315938053565,0.0192133654264888
"cs-pl","gpt3","Paragraph",-1.05234821080365,2.4044690274126,0.0276563067895467
"fr-en","nmt","Sentence",-1.06698946570622,2.43792225475149,0.0301720299484881
"de-ja","nmt","Sentence",1.0266503840148,2.34575307393707,0.0352973137386852
"en-pl","gpt3","Paragraph",-1.03985002408413,2.37591241225673,0.0362629814702175
"de-ja","gpt4","Sentence",0.6002069699669,2.17454293997623,0.0382279947340619
"de-pl","gpt4","Paragraph",-0.85707336244308,2.27063714216549,0.0389721485113896
"ru-en","gpt4","Paragraph",-0.864979907026497,2.26873488522696,0.0393698479393874
"en-pl","gpt4","Paragraph",-1.10516719460121,2.33151892297889,0.0397602053310783
"cs-pl","gpt4","Sentence",-0.727236331565065,2.18496773990832,0.0423362656225809
"ru-ja","gpt3","Sentence",-0.962741034994271,2.19972911655836,0.044239588765089
"ru-ja","gpt4","Sentence",-1.14171304125402,2.25964054036342,0.0463768163578032
"ru-en","gpt3","Paragraph",-0.913142468774369,2.08640330381359,0.0514449785476814
"en-de_news","gpt4","Paragraph",-0.116093669219054,1.93806204729451,0.052880693467973
"de-pl","gpt3","Sentence",-0.879495577353686,2.00952484527754,0.0597285893105787
"de-ja","gpt3","Paragraph",0.864337374971775,1.97489046497986,0.0660271474894857
"fr-en","gpt4","Sentence",-0.940017619487028,2.02678118298992,0.0671095663645079
"en-pl","gpt3","Sentence",-0.846751585805335,1.93470938713965,0.0728841962726717
"ru-ja","gpt4","Paragraph",-0.861974383908936,1.87517969900556,0.0867781941699842
"ru-pl","gpt4","Sentence",-0.603786144299964,1.75040287018561,0.0982722451078036
"de-pl","gpt4","Sentence",-0.614881134866269,1.74093293615599,0.100764062001379
"zh-ja","gpt3","Sentence",-0.745714255595346,1.70385316615852,0.106291119140914
"fr-en","gpt3","Sentence",-0.751874766198675,1.71792907448115,0.107443508516977
"ru-ja","gpt3","Paragraph",-0.743941418801217,1.69980248111114,0.110127199379861
"en-pl","gpt4","Sentence",-0.642894331502636,1.63335568279935,0.125365869484051
"de-ja","gpt3","Sentence",0.706510656086068,1.61427840391214,0.128959785530413
"ru-ja","nmt","Sentence",-0.696288798975921,1.59092288472974,0.130329821256678
"ja-pl","gpt3","Paragraph",-0.69274475088739,1.58282522867536,0.13098532896586
"zh-ja","nmt","Sentence",-0.658260252579427,1.50403295511408,0.15277483348445
"ja-pl","gpt3","Sentence",-0.584258801768644,1.33494995137881,0.204632609008898
"ja-pl","gpt4","Paragraph",-0.406922254277308,1.28741040280467,0.212557857716097
"ja-en","gpt3","Paragraph",-0.569763142355867,1.30182938944681,0.220069034085936
"fr-ja","gpt3","Sentence",-0.543402704338992,1.24159946164354,0.23041628432369
