id,source,target
1,"Беспредельный морской шум не прекращался ни на минуту. Он набегал длинными волнами, то усиливаясь, то затихая. И ветер то начинал шуметь в голых деревьях, то замолкал, так же как и я прислушиваясь к течению ночи. Но он не уходил, он был здесь. Я это знал по запаху мокрой гальки и по едва внятному трепету одинокого платанового листа. Я заметил еще днем этот упрямый сизый лист, но сейчас, ночью, он казался мне маленьким живым существом, моим единственным бодрствующим другом. Изредка из тьмы, из города, доносились ружейные выстрелы. После каждого выстрела долго лаяли собаки. Потом далеко в море мелькнул тусклый огонь и погас.","The boundless sea noise did not stop for a minute. He ran in long waves, then intensifying, then subsiding. And the wind either began to rustle in the bare trees, then fell silent, just as I listened to the flow of the night. But he didn't leave, he was here. I knew this from the smell of wet pebbles and the barely audible trembling of a lone sycamore leaf. I noticed this stubborn gray leaf during the day, but now, at night, it seemed to me a small living creature, my only waking friend. Occasionally, out of the darkness, from the city, came the sound of gunshots. After each shot, the dogs barked for a long time. Then a dim fire flickered far into the sea and went out."
2,"Он заставлял смотреть на эти вещи пристальнее и дольше, чем мы это делаем обычно, и открывать в них много не замеченных ранее качеств. Так, в ноздреватом желтом камне было много накрепко впаянных в него маленьких морских ракушек, на кустах дрока оставалось еще несколько цветов, они сидели на прямых твердых стеблях, как промокшие и сморщенные золотые бабочки, и терпеливо дожидались солнца. Но оно очень редко проступало в тумане размытым белым пятном и не давало ни теплоты, ни тени. Под единственным старым платаном с лимонными пятнами на стволе валялись листья, как бы вырезанные из тусклого зеленого бархата. По чугунной калитке вереницей бежали муравьи, сносили в свои подземные житницы последние запасы на зиму, а под якорной цепью жила маленькая робкая жаба.","He made us look at these things more closely and longer than we usually do, and discover in them many previously unnoticed qualities. So, in the porous yellow stone there were many small sea shells firmly soldered into it, a few more flowers remained on the gorse bushes, they sat on straight hard stems, like wet and shriveled golden butterflies, and patiently waited for the sun. But it very rarely appeared in the fog as a blurry white spot and did not give either warmth or shadow. Under a single old sycamore with lemon spots on its trunk lay leaves that looked as if they had been carved from dull green velvet. Ants ran in a file along the cast-iron gate, carrying the last stores for the winter into their underground granaries, and a small timid toad lived under the anchor chain."
3,"Ночью на другом берегу реки кто-то начал махать фонарем и протяжно кричать. Я вышел с дядей Илько на берег. Река ревела. Вода шла через греблю холодным водопадом. Ночь стояла поздняя, глухая, ни единой звезды не было над головой. В лицо дуло дикой свежестью разлива, оттаявшей земли. И все время кто-то махал на том берегу фонарем и кричал, но слов за шумом реки нельзя было разобрать.","At night, on the other side of the river, someone started waving a lantern and screaming. I went ashore with Uncle Ilko. The river roared. The water flowed through the rowing like a cold waterfall. The night was late, deaf, not a single star was overhead. The wild freshness of the flood, the thawed earth, blew in my face. And all the time someone was waving a lantern on the other side and shouting, but the words could not be made out over the noise of the river."
4,"Когда гроб вынесли на крыльцо, я увидел на том берегу реки старую коляску, распряженных и привязанных к ней лошадей и маленькую женщину в черном – маму. Она стояла неподвижно на берегу. Она видела оттуда, как выносили отца. Потом она опустилась на колени и упала головой на песок.","When the coffin was carried out onto the porch, I saw on the other side of the river an old carriage, horses unharnessed and tied to it, and a little woman in black - my mother. She stood motionless on the shore. She saw from there how her father was carried out. Then she knelt down and dropped her head on the sand."
5,"– Нет, – отвечал дед. – Это верно, не виделись. Остап начал слепнуть. Надумал он дойти тогда до Петербурга, чтобы увидеть ту женщину, пока он еще не совсем ослеп. Дошел он до царской столицы и узнал, что она умерла, – мабудь, не выдержала разлуки. Нашел Остап на кладбище ее могилу из белого мрамора-камня, глянул, и сердце у него сорвалось – на камне лежала его железная роза. Завещала та женщина положить розу на ее могилу. Навеки. А Остап начал лирничать и, мабудь, так и помер на шляху или на базаре под возом. Аминь!","“No,” answered the grandfather. That's right, we haven't seen each other. Ostap began to go blind. Then he decided to go to Petersburg to see that woman, while he was not yet completely blind. He reached the royal capital and found out that she had died - perhaps she could not stand the separation. Ostap found her grave made of white marble-stone in the cemetery, looked, and his heart broke - his iron rose lay on the stone. That woman bequeathed to put a rose on her grave. Forever. And Ostap began to liar and, maybe, he died on the highway or in the market under a cart. Amen!"
6,"На том берегу подымался по скату заповедный лес графини Браницкой. Солнце не могло прорваться сквозь мощную зелень этого леса. Лишь изредка одинокий луч прорезал наискось чащу и открывал перед нами потрясающую силу растительности. Как сверкающие пылинки, влетали в этот луч маленькие птицы. Они с писком гонялись друг за другом и ныряли в листву, будто в зеленую воду.","On the other bank, the reserved forest of Countess Branicka rose up the slope. The sun could not break through the powerful green of this forest. Only occasionally did a single ray cut obliquely through the thicket and reveal to us the amazing power of vegetation. Like sparkling dust particles, small birds flew into this beam. They chased each other with a squeak and dived into the foliage, as if into green water."
7,"Я набирал в ведро воды из пруда, бросал в эту воду траву и ждал. Красные поплавки неподвижно стояли в воде. Потом один из них начинал вздрагивать, пускал легкие круги, внезапно нырял или быстро плыл в сторону. Отец подсекал, леска натягивалась, ореховое удилище сгибалось в дугу, и в тумане над прудом начиналось бульканье, плеск, возня. Вода разбегалась, качая кувшинки, торопливо удирали во все стороны жуки-водомеры, и наконец в загадочной глубине появлялся бьющийся золотой блеск. Нельзя было разобрать, что это такое, пока отец не выволакивал на примятую траву тяжелого карася. Он лежал на боку, отдувался и шевелил плавниками. От его чешуи шел удивительный запах подводного царства.","I collected water from the pond into a bucket, threw grass into this water and waited. Red floats stood motionless in the water. Then one of them began to tremble, start up light circles, suddenly dive or swim quickly to the side. Father hooked, the line was stretched, the walnut rod was bent into an arc, and gurgling, splashing, fussing began in the fog over the pond. The water ran up, shaking water lilies, water-meter beetles hurriedly fled in all directions, and finally, in the mysterious depth, a beating golden gleam appeared. It was impossible to make out what it was until the father dragged a heavy crucian onto the trampled grass. He lay on his side, panting and moving his fins. From his scales came an amazing smell of the underwater kingdom."
8,"Яша считал про себя секунды. Мы знали, что от Стурдзовского переулка до санатория Ландесмана было семь минут ходьбы. В санатории за высокой оградой и железными воротами мы всегда чувствовали себя в полной безопасности. Особенно если не зажигали коптилок. Когда мы проходили около подворотни, Яша споткнулся. Потом, когда мы вспоминали о происшествии в Стурдзовском переулке, Яша утверждал, что всегда, если хочешь сделать что-нибудь наилучшим образом, то обязательно сорвешься на пустяковине. Я же про себя думал, что всему виной была Яшина невыносимая походка. Но я молчал, чтобы не огорчать Яшу.","Yasha counted the seconds to himself. We knew that it was a seven-minute walk from Sturdzovsky Lane to the Landesman sanatorium. In the sanatorium behind a high fence and iron gates, we always felt completely safe. Especially if they didn't light oil lamps. As we passed near the gateway, Yasha stumbled. Later, when we recalled the incident in Sturdzovsky Lane, Yasha argued that always, if you want to do something in the best possible way, you will definitely break into a trifle. I thought to myself that Yashin's unbearable gait was to blame. But I was silent so as not to upset Yasha."
9,"Мы крадучись пошли по переулку. Я сказал, что надо идти по той стороне, где подворотня, не доходя до нее остановиться, хорошо прислушаться, а затем быстро и беззвучно проскочить мимо подворотни. Расчет, по-моему, был математически точен. Если в подворотне есть люди, то они могут нас и не заметить. Если же мы будем идти по противоположной от подворотни стороне, то нас могут заметить еще издали. Я высчитал, что в последнем случае мы будем идти против опасной подворотни, или, вернее, будем на виду у людей, спрятавшихся в подворотне, в пять раз дольше. И, следовательно, будет в пять раз больше шансов, что нас заметят.","We crept along the alley. I said that we should go along the side where the gateway is, before reaching it, stop, listen well, and then quickly and silently slip past the gateway. The calculation, in my opinion, was mathematically accurate. If there are people in the gateway, then they may not notice us. If we walk on the opposite side of the gateway, then we may be noticed from afar. I calculated that in the latter case we would go against the dangerous doorway, or, rather, we would be in sight of the people hiding in the doorway five times longer. And, therefore, there will be five times more chances that we will be noticed."
10,"Утром я просыпался от жаркого солнца, бившего в белые стены. Красные и желтые мальвы-монашки покачивались за открытым окном. Вместе с ними заглядывал в комнату цветок настурции; в нем сидела мохнатая пчела. Я, замерев, следил, как она сердито пятится и выбирается из тесного цветка. По потолку без конца бежали светлые струи, легкие волны – отражения реки. Река шумела тут же, рядом.","In the morning I woke up from the hot sun beating on the white walls. Red and yellow mallow nuns swayed outside the open window. Together with them, a nasturtium flower peered into the room; a furry bee sat in it. I, frozen, watched her angrily back away and get out of a tight flower. Light streams ran endlessly along the ceiling, light waves - reflections of the river. The river roared right there, nearby."
