id,source,target
1,"Patrzy na rodzinę, same dziewczynki, matka z dzieckiem przy piersi zsiada właśnie niezgrabnie z fury i furman pogania ją, bo fura zaraz musi wracać po innych na przedmieścia. Spada tobołek, który miała na plecach, i wysypuje się stamtąd trochę zszarzałych szmat i pojedynczy sznurek korali, drobnych, pociemniałych. Kobieta zbiera je zawstydzona, jakby właśnie oczom świata odsłoniła swoje najniedostępniejsze sekrety. Deymowa mija ją i nagle podbiega do niej chłopczyk, może sześcio-, siedmioletni, i patrząc na nią uśmiechniętymi oczami, bardzo z siebie zadowolony, mówi: „Niech będzie pochwalony Jezus Chrystus!”. Ona zaś odpowiada automatycznie, ale i uroczyście: „Na wieki wieków, amen”. I już chwyta się za serce i łzy nabiegają jej do oczu. Kuca przy chłopcu, chwyta go za nadgarstki, a ten patrzy jej prosto w oczy pełne łez, dalej uśmiechnięty, mały łobuziak.","He watches a family, all girls, as the mother with a child at her breast clumsily gets off the cart and the driver hurries her, for the cart has to go back to the suburbs to pick up others. A bundle she had on her back falls and a few faded rags and a single string of beads, small and darkened, spill out of it. The woman hastily gathers them, as if she had just exposed her most intimate secrets to the world. Deym passes her and suddenly a boy, maybe six or seven years old, runs up to her and looking at her with a smiling face, very pleased with himself, says: “Blessed be Jesus Christ!” She automatically, but solemnly, responds: “For ever and ever, amen.” And she clutches her heart and tears fill her eyes. She kneels by the boy, grabs him by the wrists, and he looks at her with his eyes full of tears, still smiling, a little rascal."
2,"Wyrastają przed nimi pierwsze zabudowania, nagle, bez ostrzeżenia. Widać mgła zmienia poczucie odległości, bo zaskoczona tym wydaje się sama Kaśka. Nagle skacze, szarpiąc dyszlem, i gdyby nie stanowcza reakcja Roszka i jego bat, wywróciłaby kolaskę. Może Kaśkę wystraszyły iskry, które sypią się z paleniska, albo niepokój koni czekających na swoją kolej do podkuwania...","The first buildings start to appear before them, suddenly, without warning. The fog seems to distort the sense of distance, for Kasia seems taken aback by it. Suddenly she jumps, tugging at the reins, and if it weren’t for Roszek’s firm reaction and his whip, she would have overturned the carriage. Perhaps Kasia was scared by the sparks flying from the fire, or the unease of the horses waiting their turn to be shod. . ."
3,"Wszędzie czuć mdły zapach słodu, przenika każdy towar wystawiony do sprzedaży. Można się nim najeść jak chlebem. Na przedmieściach Rohatyna, w Babińcach, jest kilka małych browarów, to stamtąd roznosi się na całą okolicę ten sycący zapach. Wiele kramików sprzedaje tu piwo, a lepsze sklepy mają na składzie i gorzałkę, i miód pitny, głównie trójniak. Skład żydowskiego kupca Wakszula oferuje wino, prawdziwego węgrzyna i prawdziwe reńskie, i takie trochę kwaskowate, które przywożą tu aż z Wołoszczyzny.","The faint smell of malt pervades everything for sale. You could eat it like bread. In the suburbs of Rohatyn, in Babińce, there are a few small breweries, from which the nourishing aroma spreads across the whole area. Many stalls sell beer here, and the better shops have both moonshine and mead in stock, mainly three-grain. The Jewish merchant Wakszul’s store offers wine, real Hungarian and real Rhine, and some slightly sour stuff they bring all the way from Transylvania."
4,"Najwięcej do powiedzenia byłoby o rodzinie Wołowskich, jako że rozrosła się do ogromnych rozmiarów. Niemal wszystkie gałęzie tego rodu zostały nobilitowane, jedne były herbu Bawół, drugie herbu Na Kaskach. Niewątpliwie wielką karierę zrobił Franciszek, syn Izaaka Wołowskiego, tego samego, którego ksiądz Chmielowski nazwał Jeremiaszem. Urodził się w 1786 roku w Brünn i wychowany w Offenbachu, stał się jednym z najlepszych prawników i znawcą prawa tamtego czasu. Co ciekawe – gdy w sejmie pojawił się wniosek o nadanie polskiego obywatelstwa Żydom, Franciszek jako poseł w swojej porywającej przemowie przekonywał, że jeszcze nie czas na taki krok. Najpierw naród polski musi wywalczyć sobie niepodległość, a potem będzie pora na reformy społeczne.","The most to be said would be about the Wołowski family, as it had grown to immense proportions. Almost all the branches of this family had been ennobled, one with the Bawół coat of arms, the other with the Na Kaskach coat of arms. Undoubtedly, Franciszek, the son of Izaak Wołowski, the same one whom Father Chmielowski had called Jeremiah, had made a great career. He was born in 1786 in Brünn and raised in Offenbach, and became one of the best lawyers and legal experts of the time. Interestingly, when the motion to grant Polish citizenship to Jews was presented to the Sejm, Franciszek, as a member of parliament, argued in his passionate speech that it was not yet the time for such a step. First the Polish nation must win its independence, and then it will be time for social reforms."
5,"Wszyscy offenbachscy neofici zostali pochowani na miejskim cmentarzu, który po latach zaczął jednak przeszkadzać planom rozbudowy miasta i został w 1866 roku zlikwidowany. Kości pogrzebanych tam ludzi zebrano i z szacunkiem pochowano w innym miejscu. Przy tej okazji została wyjęta z grobu czaszka Jakuba Franka i, opisana starannie jako „czaszka żydowskiego patryarchy”, znalazła się w rękach historiografa miasta Offenbach. Wiele lat potem, w nieznanych okolicznościach, trafiła do Berlina, gdzie poddana została szczegółowym pomiarom i badaniom i uznana za przykład żydowskiej niższości rasowej. Po wojnie przepadła bez wieści – może zniszczona wojenną zawieruchą, rozsypała się w pył, albo leży jeszcze w podziemnych magazynach jakiegoś muzeum.","All of the Offenbach neophytes were buried in the city cemetery, which however began to interfere with the city’s expansion plans and was closed down in 1866. The bones of those buried there were collected and respectfully reinterred elsewhere. At this occasion the skull of Jacob Frank was removed from the grave and, carefully described as “the skull of a Jewish patriarch”, ended up in the hands of an Offenbach historian. Many years later, in unknown circumstances, it arrived in Berlin, where it was subjected to detailed measurements and tests and declared to be an example of Jewish racial inferiority. After the war it disappeared without a trace – perhaps destroyed in the war chaos, turned to dust, or still lying in the underground storage of some museum."
6,"Po śmierci Jakuba nastał dla mnie czas wielkiego spokoju. Głównym moim zajęciem stało się studiowanie merkawy, do tego doszły jeszcze nasze rozmowy z Jeruchimem Dembowskim, jako że zamieszkaliśmy w jednym pokoju, przez co zbliżyliśmy się do siebie. Jemu, Jeruchimowi, powiedziałem też o Chai Szor – że była jedyną kobietą, którą mogłem pokochać i kochałem od tego pięknego momentu, kiedym ją dostał na jedną noc, wtedy gdym przyjechał z wieściami o Jakubie do Rohatyna. Lecz przede wszystkim kochałem Jakuba.","After Jakub’s death, I experienced a time of great peace. My main occupation became studying the merkava, to which were added our conversations with Jeruchim Dembowski, since we were living in the same room, which brought us closer together. I also told him about Chai Szor – that she was the only woman I could love and I had loved her since that beautiful moment when I got her for one night, when I had come to Rohatyn with news of Jakub. But above all, I had loved Jakub."
7,"Byli w Iwaniu od kwietnia. Gdyby nie dobrzy iwańscy ludzie, chyba pomarliby z głodu. Iwanie uratowało im życie i zdrowie, Bejla czuje się teraz lepiej i już nie kaszle tak bardzo. Srol wierzy, że kiedy już się ochrzczą, będzie im tak samo dobrze jak chrześcijanom. Dostaną kawałek ziemi, Bejla będzie miała w ogrodzie warzywa, a on, Srol, będzie tkał kilimy, bo to umie robić dobrze. Na starość, gdy powydaje dziewczynki za mąż, one wezmą ich do siebie. To wszystkie jego marzenia.","They had been in Iwan since April. If it hadn’t been for the kind people of Iwan, they would have probably perished from hunger. Iwan had saved their lives and health, Bejla felt better now and didn’t cough as much. Srol believed that once they were baptized, they would be as well off as the Christians. They would get a piece of land, Bejla would have vegetables in her garden, and he, Srol, would weave kilims, because he was good at that. When they got old and their daughters were married off, they would take them in. Those were all his dreams."
8,"– Patrzcież, dobrodzieju, Kaśka nie chce iść – mówi ponuro Roszko, gdy kolaska się zatrzymuje. Roszko schodzi z kozła i żegna się kilka razy zamaszyście. Potem nachyla się i zagląda w mgłę, jakby patrzył do wody. Spod jego odświętnego czerwonego, acz trochę już wypłowiałego kubraka wychodzi koszula. – Nie wiem, gdzie jechać – mówi. – Jak to nie wiesz? Przecież już jesteśmy na rohatyńskim gościńcu – mówi zdziwiony ksiądz. A jednak! Wysiada z kolaski i podąża za sługą, obchodzą bezradnie powóz, wytężając oczy w biel. Wydaje im się, że coś widzą, ale oczy, które nie mogą zaczepić się na niczym, zaczynają stroić sobie żarty. Że też im się coś podobnego przydarzyło! Przecież to tak, jakby zgubić się we własnej kieszeni. – Cicho! – mówi nagle ksiądz i podnosi palec do góry, nadsłuchując. I rzeczywiście, gdzieś z lewej strony, z kłębów mgły, dochodzi słaby szum wody. – Jedźmy za tym szumem. To woda płynie – decyduje ksiądz.","“Look, sir, Kaska doesn’t want to go,” Roszko said gloomily as the carriage stopped. Roszko got down from the cart and made a few grand farewells. Then he bent down and peered into the fog, as if looking into water. From beneath his festive red, though somewhat faded, kubrak emerged a shirt. “I don’t know where to go,” he said. “What do you mean you don’t know? We’re already on the Rohatyn road,” the priest said, surprised. And yet! He got out of the carriage and followed the servant, walking around the carriage helplessly, straining their eyes in the whiteness. They thought they could make out something, but their eyes, unable to latch onto anything, began to play tricks on them. How could something like this have happened to them! It was as if they’d gotten lost in their own pocket. “Shh!” the priest suddenly said, raising his finger and listening. And indeed, from somewhere to the left, from the clouds of fog, came a faint sound of water. “Let’s follow this sound. It’s water running,” the priest decided."
9,"Wkrótce ksiądz rozluźnia się w kolasce, wyciąga przed siebie nogi i pozwala oczom wędrować po morzu mgły. Natychmiast popada w podróżne zamyślenie, bo człowiekowi najlepiej myśli się w ruchu. Wolno, z ociąganiem ożywa mechanizm jego umysłu, zaskakują tryby i przekładki, wprawiając w ruch koła napędowe, zupełnie jak w zegarze, który stoi u niego na plebanii w sieni, zakupiony we Lwowie; słono za niego zapłacił. Za chwilę odezwie się bim-bom. Czy aby świat nie wziął się z takiej mgły, zaczyna się zastanawiać. Przecież historyk żydowski Józef Flawiusz utrzymuje, że świat został stworzony jesienią, podczas aequinoctium jesiennego. Można tak sądzić, bo przecież w raju były owoce; skoro jabłko wisiało na drzewie, musiała to być jesień... Jest w tym jakaś racja. Ale zaraz przychodzi mu do głowy myśl inna: Cóż to za argument? Czyż wszechmocny Bóg takich marnych fruktów nie mógłby stworzyć ekstra, w jakiejkolwiek porze roku?","Before long the priest relaxes into the rocking chair, stretching out his legs and letting his eyes wander over the sea of fog. He immediately falls into a travel-induced reverie, for it is in motion that man’s thoughts best take shape. Slowly, hesitantly, the mechanism of his mind springs to life, surprising gears and cogs set in motion, like the clock in his presbytery hallway, purchased in Lviv, for which he had paid dearly. Any moment now it will chime bim-bam. He starts to wonder if the world hadn’t come from such a fog. After all, the Jewish historian Josephus Flavius maintains that the world was created in the autumn, during the autumn equinox. It’s possible, for in the Garden of Eden there were fruits; if the apple was hanging from the tree, it must have been autumn. . . There’s something to it. But then another thought comes to him: What kind of argument is that? Couldn’t the all-powerful God have created extra-special fruits at any time of year?"
10,"Gdy dojeżdżają do głównej drogi prowadzącej do Rohatyna, włączają się w strumień pieszych, konnych i wozów wszelakiego rodzaju, które wyłaniają się z mgły, niby figurki z chleba lepione na Boże Narodzenie. Jest środa, targ w Rohatynie, jadą chłopskie wozy obładowane workami z ziarnem, klatkami z drobiem, wszelakimi płodami rolnymi. Między nimi żwawym krokiem maszerują handlarze z każdym możliwym towarem – ich kramiki, sprytnie teraz złożone, dają się nieść na plecach niczym koromysła, a za chwilę staną się stołami pełnymi barwnych materiałów, drewnianych zabawek, jajek skupowanych po wsiach za jedną czwartą ceny... Chłopi prowadzą też kozy i krowy na sprzedaż – zwierzęta, przerażone zgiełkiem, zapierają się w kałużach. Mija ich rozpędzona fura przykryta dziurawą plandeką, pełna hałaśliwych Żydów, którzy ściągają na jarmark do Rohatyna z całej okolicy, a za nimi przedziera się bogata kareta, której we mgle i tłoku na drodze trudno zachować dostojeństwo – jasne lakierowane drzwiczki są czarne od błota, a mina stangreta w niebieskiej pelerynie wydaje się nietęga, nie spodziewał się widać takiego zamieszania i teraz rozpaczliwie szuka wzrokiem okazji, żeby zjechać z tej diabelskiej drogi.","As they approach the main road leading to Rohatyna, they join the stream of pedestrians, horse riders and all kinds of carts emerging from the mist, like figures made of bread dough for Christmas. It’s Wednesday, market day in Rohatyna, and peasant carts are rolling by, loaded with sacks of grain, cages of poultry, and all sorts of farm produce. Among them march briskly the peddlers with all kinds of merchandise – their stalls, cleverly folded now, can be carried on their backs like a knapsack, and in a moment they’ll become tables full of colorful fabrics, wooden toys, eggs bought from the villages at a quarter of the price. . . The peasants also bring goats and cows for sale – the animals, terrified by the commotion, stumble in the puddles. A rickety cart covered with a tattered tarp passes them, full of noisy Jews who come to the Rohatyna market from all around, and behind it struggles a luxurious carriage, which in the fog and the throng on the road is hard to keep dignified – its bright lacquered doors are black with mud, and the face of the coachman in the blue cloak looks dazed, he hadn’t expected such a commotion and now he’s desperately searching for an opportunity to get off this devilish road."
