id,source,target
1,"«Лжешь»! – подумал я.Брелоки и перстень на мизинце плохо вязались с письмом ради куска хлеба, да и по лицу Камышева пробежала чуть заметная, уловимая опытным глазом тучка, которую можно видеть на лицах только редко лгущих людей.– Какой сюжет вашей повести? – спросил я.– Сюжет… Как бы вам сказать? Сюжет не новый… Любовь, убийство… Да вы прочтете, увидите… «Из записок судебного следователя»…",「うそだ！」と私は思った。ブレスレットやミスィンチのピンは、パンのかけらのために、書類とうまく結びつかなかったし、カミシェフの顔には、経験豊かな目で見つけられる、ほんの少しだけ、うかがえる嘘つきの人々の顔に見られるような、ほのかな雲がかかった。「あなたの小説のストーリーは何ですか？」と私は尋ねた。「物語……どう言えばいいんでしょうか？ストーリーは新しくない……愛、殺人……それであなたは読んで、見るでしょう……「裁判検事の記録から……」
2,"Камышев вскинул на меня своими добрыми глазами и тихо засмеялся.– Надоедная служба… Служил-служил, махнул рукой и бросил. Занятий у меня теперь нет, есть почти нечего… И если вы, минуя достоинства, напечатаете мою повесть, то сделаете мне больше, чем одолжение… Вы поможете мне… Газета не богадельня, не странно-приимный дом… Я это знаю, но… уж вы будьте так добры…",カミシェフは、優しい目で私を見上げ、そして静かに笑った。「うんざりな仕事だな……仕えていたが、手を振って投げ出した。今は仕事がない、ほとんど何もない……そして、私の作品を出版するなら、優秀なものを飛ばしても、借りたよりも多くのことをしてくれるだろう……あなたが私を助けてくれる……新聞は、豊かな家でもなければ、おもてなしのための家でもない……私はそれを知っているが……どうかお願いします……」
3,"– Очень рад… Чем могу быть полезен?Желающий попасть в начинающие сел и продолжал, глядя на пол своими умоляющими глазами:– Я притащил к вам маленькую повесть, которую мне хотелось бы напечатать в вашей газете. Я вам откровенно скажу, г. редактор: написал я свою повесть не для авторской славы и не для звуков сладких… Для этих хороших вещей я уже постарел. Вступаю же на путь авторский просто из меркантильных побуждений… Заработать хочется… Я теперь решительно никаких не имею занятий. Был, знаете ли, судебным следователем в С-м уезде, прослужил пять с лишком лет, но ни капитала не нажил, ни невинности не сохранил…",「どうもありがとうございます……どうぞお役に立てましょうか？」新しい村に入りたいと願う者は、お願いするような目で床を見ながら、話を続けた。「あなた方に、あなた方の新聞に掲載してほしい小説を持ってきました。編集長様、正直に申し上げますが、私がこの物語を書いたのは、自分の名声をあげたり、甘い言葉を聞いたりするためではないのです……こうしたよいことについては、もう私は年をとってしまった。それゆえ、私は、穏健な動機から、著作者の道に入るのである……働いてお金を稼ぎたい……私は今、断然、何も仕事を持っていない。あの人は、ご存知のように、Ｓ県の裁判執行官として、五年以上勤務したが、財産を築くこともなく、無実を守ることもなかった……」
4,"«Как, однако, он много говорит!» – подумал я, протягивая руку к перу и тем давая знать, что мне некогда. (Уж больно надоели мне тогда посетители!)– Я отниму у вас одну только минуту! – продолжал мой герой извиняющимся голосом. – Но прежде всего позвольте представиться… Кандидат прав Иван Петрович Камышев, бывший судебный следователь… К пишущим людям не имею чести принадлежать, но, тем не менее, явился к вам с чисто писательскими целями. Перед вами стоит желающий попасть в начинающие, несмотря на свои под сорок. Но лучше поздно, чем никогда.",「なんてたくさん話しているんだろう」と、私は思いながら、ペンを伸ばして、時間がないことを示した。（当時の訪問者は、本当にうんざりさせられた！）「たったひとつのひとときだけをいただきます！」と、私の主人公は謝罪したような声で続けた。「ではまず、私自身を紹介させていただきます……法律の候補者であるイワン・ペトロヴィッチ・カミシェフ、元裁判所の検察官……私は書く人たちの仲間ではないが、純粋な文学的な目的であなた方に会いに来たのです。あなたの前には、彼の４０歳をものともせず、新しいものに参加したいと望んでいる人が立っている。でも、遅くても、決してないよりはマシだ。」
5,"Войдя ко мне в кабинет, он сконфузился. Его нежную, чуткую натуру, вероятно, шокировал мой нахмуренный, недовольный вид.– Извините, ради бога! – начал он мягким, сочным баритоном. – Я врываюсь к вам не в урочное время и заставляю вас делать для меня исключение. Вы так заняты! Но видите ли, в чем дело, г. редактор: я завтра уезжаю в Одессу по одному очень важному делу… Имей я возможность отложить эту поездку до субботы, то, верьте, я не просил бы вас делать для меня исключение. Я преклоняюсь перед правилами, потому что люблю порядок…",彼は私の部屋に入ってきて、ぼんやりしてしまった。彼のやわらかく、敏感な性格は、私の不満げな、暗い表情にショックを受けたのだろう。「お許しをお願いします！」と、彼は柔らかく、滑らかなバリトンの声で話し出した。「私はあなた方に時間外に侵入して、あなた方に特別なことをさせてしまっている。あなたはとても忙しいんですね！でも、編集長様、それが問題なのです。私は明日、とても重要な仕事のためにオデッサへ行くのですから……。もし私が、この旅行を土曜日まで延期する機会があれば、あなた方に私のために例外をしていただくよう頼むことはありませんでした。私は、秩序を愛するから、規則に従うのです……」
6,"Каштановые волосы и борода густы и мягки, как шёлк. Говорят, что мягкие волосы служат признаком мягкой, нежной, «шёлковой» души… Преступники и злые, упрямые характеры имеют, в большинстве случаев, жесткие волосы. Правда это или нет – читатель опять-таки увидит далее… Ни выражение лица, ни борода – ничто так не мягко и не нежно в господине с кокардой, как движения его большого, тяжелого тела. В этих движениях сквозят воспитанность, легкость, грация и даже – простите за выражение – некоторая женственность. Не много нужно усилий моему герою, чтобы согнуть подкову или сплющить в кулаке коробку из-под сардинок, а между тем ни одно его движение не выдает в нем физически сильного. За дверную ручку или за шляпу он берется, как за бабочку: нежно, осторожно, слегка касаясь пальцами. Шаги его бесшумны, рукопожатия слабы. Глядя на него, забываешь, что он могуч, как Голиаф, что одной рукой может поднять он то, чего не поднять пяти редакционным Андреям. Глядя на его легкие движения, не верится, что он силен и тяжел. Спенсер мог бы назвать его образцом грации.",カシュナート色の髪と髭は、しっとりして、シルクのように柔らかい。柔らかい髪は、柔らかく、優しく、「絹のような」心をあらわす兆候だといわれている……犯罪者や悪意のある、頑固な性格の人々は、ほとんどの場合、硬い髪を持っている。それが本当かどうかは、読者がさらに読み進めることでわかるだろう……顔つきや、ひげも――その方が、髭面の男のなかでも、大きくて重い体の動きが、なんとも柔らかく、優しいものだった。その動きには、育ちのよさ、軽やかさ、優雅さ、そして（表現を許してください）ある程度の女性らしさが滲み出ていた。私の主人公が、馬蹄鉄を曲げるか、サーディンのボックスを拳でつぶすのに、それほど努力をしなくてもいい。しかし、その動きから、彼が肉体的に強いとはわからない。ドアノブや帽子をとるとき、彼は蝶をとるように、やさしく、慎重に、指でほんの少し触れるようにしていた。彼の歩みは静かで、握手は弱かった。彼を見ていると、彼がゴリアフのような力強いのであるということを忘れてしまう。彼は片手で、５人のアンドレーのような編集者が持ち上げられないものを持ち上げることができる。彼の軽やかな動きを見ていると、彼が強くて重いとは信じられない。スペンサーは、彼を優雅さのモデルと呼ぶことができただろう。
7,"От всего лица так и веет простотой, широкой, простецкой натурой, правдой… Если не ложь, что лицо есть зеркало души, то в первый день свидания с господином с кокардой я мог бы дать честное слово, что он не умеет лгать. Я мог бы даже держать пари.Проиграл бы я пари или нет – читатель увидит далее.",その顔からは、単純さ、広い、素朴な性格、正直さが漂っていた……もし、顔が魂の鏡だというのが本当なら、私は彼のコカードを持ったお坊様との初めての出会いの日に、彼が嘘をつくことを知ることはないと、誠実な言葉を言うことができただろう。私なら、競馬に賭けることもできるだろう。私が賭けに負けたかどうかは、読者がその先で知ることになる。
8,"Он, как я уже сказал, высок, широкоплеч и плотен, как хорошая рабочая лошадь. Всё его тело дышит здоровьем и силой. Лицо розовое, руки велики, грудь широкая, мускулистая, волосы густы, как у здорового мальчика. Ему под сорок. Одет он со вкусом и по последней моде в новенький, недавно сшитый триковый костюм. На груди большая золотая цепь с брелоками, на мизинце мелькает крошечными яркими звездочками бриллиантовый перстень. Но, что главнее всего и что так немаловажно для всякого мало-мальски порядочного героя романа или повести, – он чрезвычайно красив. Я не женщина и не художник. Мало я смыслю в мужской красоте, но господин с кокардой своею наружностью произвел на меня впечатление. Его большое мускулистое лицо осталось навсегда в моей памяти. На этом лице вы увидите настоящий греческий нос с горбинкой, тонкие губы и хорошие голубые глаза, в которых светятся доброта и еще что-то, чему трудно подобрать подходящее название. Это «что-то» можно подметить в глазах маленьких животных, когда они тоскуют или когда им больно. Что-то умоляющее, детское, безропотно терпящее… У хитрых и очень умных людей не бывает таких глаз.",彼は、私がもう言ったように、背が高く、肩幅が広く、良い労働用の馬のように太っていた。彼のすべての身体が、健康と力を感じさせる。顔はピンク色で、手は大きく、胸は広く、筋肉質で、髪は健康な少年のように豊かだった。彼は４０歳ちょうどだった。彼は、最新のモードに従って、新しく縫いつけられたトライコートのスーツを着て、美しく装いをしていた。胸には大きな金のネックレスがあり、小指には、小さくて輝くダイヤモンドのピンクが輝いていた。しかし、どんな小説や物語の主人公であっても、最も重要なことであり、かなり重要なことである、彼は、非常に美しいのである。私は女性でも、芸術家でもありません。男性の美しさについてはあまり理解していないが、彼のコーカードをかぶった容姿は私に強い印象を与えた。彼の巨大で筋肉質な顔が、いつまでも私の記憶に残っている。その顔には、真のギリシャ鼻があり、小さな隆起があり、薄い唇と、美しい青い瞳があり、そこには優しさと、どうしてもぴったりという言葉が見つからない何かが輝いている。この「何か」は、動物たちが悲しんだり、痛む時に、その目に見えるものなのだ。何か、頼み込むような、子供らしい、無抵抗に耐えるような……狡猾で非常に賢い人々の目には、そんな目はない。
9,"Я вздохнул, положил перо и принялся ждать господина с кокардой. Начинающие писатели и вообще люди, не посвященные в редакционные тайны, приходящие при слове «редакция» в священный трепет, заставляют ждать себя немалое время. Они, после редакторского «проси», долго кашляют, долго сморкаются, медленно отворяют дверь, еще медленнее входят и этим отнимают немало времени. Господин же с кокардой не заставил ждать себя. Не успела за Андреем затвориться дверь, как я увидел в своем кабинете высокого широкоплечего мужчину, державшего в одной руке бумажный сверток, а в другой – фуражку с кокардой.Человек, так добивавшийся свидания со мной, играет в моей повести очень видную роль, Необходимо описать его наружность.",私は溜息をついて、筆を置いて、そして、コカードを持った方を待つことにした。新しい作家や、編集の話を知らない人たちは、「編集」という言葉を聞いて、聖なるおどろきを覚えて、自分を待つのに長い時間を要してしまう。彼らは、編集者の「お願い」の後、長く咳をしたり、長くくしゃみをしたり、ゆっくりドアを開けたり、ゆっくり入ってきたりと、時間をかなり取られた。そして、コカード先生は、自分を待たせることなく、すぐに現れた。アンドレーが出ていったとたん、私は自分の部屋で、肩の幅が広い男を見た。彼は一方の手で紙の巻物を持っていて、もう一方の手でコカードを持っていた。私との会話を求めていたその人は、私の物語においてとても重要な役割を果たしている。その外見を描写する必要がある。
10,"В один из апрельских полудней 1880 года в мой кабинет вошел сторож Андрей и таинственно доложил мне, что в редакцию явился какой-то господин и убедительно просит свидания с редактором.– Должно быть, чиновник-с, – добавил Андрей, – с кокардой…– Попроси его прийти в другое время, – сказал я. – Сегодня я занят. Скажи, что редактор принимает только по субботам.– Он и третьего дня приходил, вас спрашивал. Говорит, что дело большое. Просит и чуть не плачет. В субботу, говорит, ему несвободно… Прикажете принять?",１８８０年の４月のある午後、私の部屋に守衛のアンドレイが入ってきて、神秘的な風に私に報告した。どうやら、あるお客様が編集部にやってきて、編集者との会談を強く要求しているらしいのだ。「きっと官僚だろうな」とアンドレイが追加した。「コカールド付きだろうな」「別の時間に来てもらってください」と私は言った。「今日は忙しいんだ。編集者は土曜日だけ受け付ける」と言ってください。「彼は三日目も来て、あなたを尋ねたのよ。大きな仕事だと言っている。お願いして、ほとんど泣いている。土曜日は、自由でないんだと言っている……受け入れるように命じますか？」
