Source,GoogleTranslate,human1,human2,human3
"Aber was lang war, das waren die Nachmittage in solchen Krankheiten. Am Morgen nach der schlechten Nacht kam man immer in Schlaf, und wenn man erwachte und meinte, nun wäre es wieder früh, so war es Nachmittag und blieb Nachmittag und hörte nicht auf Nachtmittag zu sein. Da lag man so in dem aufgeräumten Bett und wuchs vielleicht ein wenig in den Gelenken und war viel zu müde, um sich irgend etwas vorzustellen. Der Geschmack vom Apfelmus hielt lange vor, und das war schon alles mögliche, wenn man ihn irgendwie auslegte, unwillkürlich, und die reinliche Säure an Stelle von Gedanken in sich herumgehen ließ. Später, wenn die Kräfte wiederkamen, wurden die Kissen hinter einem aufgebaut, und man konnte aufsitzen und mit Soldaten spielen; aber sie fielen so leicht um auf dem schiefen Bett-Tisch und dann immer gleich die ganze Reihe; und man war doch noch nicht so ganz im Leben drin, um immer wieder von vorn anzufangen. Plötzlich war es zuviel, und man bat, alles recht rasch fortzunehmen, und es tat wohl, wieder nur die zwei Hände zu sehen, ein bißchen weiter hin auf der leeren Decke.","But what was long were the afternoons in such illnesses. You always fell asleep the morning after a bad night, and when you woke up and thought it was early again, it was afternoon and stayed afternoon and didn't stop being mid-afternoon. There you lay in the tidy bed and maybe your joints grew a little and you were much too tired to imagine anything. The taste of applesauce lasted a long time, and that was all sorts of things if you interpreted it somehow, involuntarily, and let the pure acidity go around instead of thoughts. Later, when you got your strength back, the cushions were set up behind you and you could sit up and play with soldiers; but they fell over so easily on the crooked bed-table and then always the whole row at once; and you weren't quite there in life to start all over again. Suddenly it was too much, and one asked to take everything away very quickly, and it was good to see only the two hands again, a little farther on the empty blanket.","But it was the afternoons that were endless during such illnesses. In the morning after a bad night you always fell asleep, and when you woke up and thought that now it was morning again, it was really afternoon and remained afternoon and never stopped being afternoon. So you lay there in the freshly made bed and you grew a little in your joints perhaps and were much too tired to imagine anything at all. The taste of applesauce lasted for a long time and it was even a great achievement to somehow interpret it, involuntarily, and let the clean tartness circulate through you instead of thoughts. Later, as your strength returned, the pillows were propped up behind you, and you could sit there and play with soldiers; but they fell over so easily on the slanting bed-tray and always the whole row at once; and you were not yet so completely back inside life that you could always begin all over again. Suddenly it was too much, and you begged them to take everything away, quickly, and it felt good to see just your two hands again, a little further off on the empty blanket.","But it was the afternoons that were long during such illnesses. In the morning after a bad night, you always fell asleep, and when you woke and supposed it was still early in the day, it was in fact afternoon, and continued to be afternoon, and did not cease to be afternoon. There you lay in your freshly made bed, perhaps growing a little at the joints, far too tired to conceive of anything at all. The taste of stewed apple stayed in your mouth, and that was all you were capable of: involuntarily to interpret that flavour, and savour the pure acidity in place of thoughts. Later, when your strength returned, the pillows were propped up behind you and you could sit up and play with soldiers; but they fell over so easily on the tilted bed-tray, and always the whole row of them at once; and you were not yet so fully back in life that you could start all over again time after time. Suddenly it was all too much, and you asked to have everything taken away quickly, and it was good to see only your two hands again, a little further off on the cleared counterpane.","When I was ill like that, it was the afternoons that dragged on. In the morning after a bad night it was always possible to find sleep, and when you woke and thought it was the early morning again, it was in fact afternoon and remained afternoon and would not stop being afternoon. Then you lay in the bed that had been made up again and perhaps grew a little in your joints and were much too tired to imagine anything at all. The taste of apple compote lingered for ages and it was already something if you could analyse it somehow, involuntarily, let the clean tartness swirl around you instead of thoughts. Later, when your strength returned, they built up the pillows behind your head and you could sit up and play with toy soldiers; but the figures fell over so easily on the wobbly bed-tray, and when one went, the whole row went; and you weren’t quite sufficiently back in your life to be able to start again from the beginning every time. Suddenly it would get too much and you would ask them to clear everything away quickly, and it felt good to see only your two hands again, a little way away on the empty blanket."
Ich griff sogar nach ihm.,I even grabbed him.,I even grabbed at him.,I even reached out to him.,I even clutched at him.
"Ich wußte keine Ausrede, die ich ihr hätte wünschen können, aber ich zweifelte nicht, daß sie widerstehen würde. Schon breitete sich eine trockene Gekränktheit","I didn't know of any excuse to wish her, but I had no doubt that she would resist. A dry hurt was already spreading","I didn’t know of any excuse that I could have lent her in my mind, but I didn’t doubt that she would be able to resist them. Already an expression of mortification and dryness was spreading over the faces of the persuaders, exhausted by their prolonged smiling; already the good Countess, to preserve her authority, had taken a step backward, with a look of pity and dignity—and then, when there was no longer any need at all, she gave in.","No excuse that I might have wished her to offer occurred to me, but I had no doubt that she would resist them. Already an expression of dry mortification was appearing on the faces of her petitioners, wearied from prolonged smiling, and already the good Countess, so as not to lose face, was stepping back with an air of pity and dignity, when suddenly, at a moment when it was no longer remotely necessary, the girl yielded.","I couldn’t think of any excuse that I might have wanted to suggest to her, but I had no doubt that she would resist. Already an expression of dry offendedness was spreading on the faces of those trying to persuade her, weary of smiling for so long; already the good Countess, anxious to maintain her poise, had taken a step back in sympathy and with dignity; and then, when it was no longer necessary, the young woman gave in."
"Was wußten sie, wer er war. Er war jetzt furchtbar schwer zu lieben, und er fühlte, daß nur Einer dazu imstande sei. Der aber wollte noch nicht.","How did they know who he was. He was terribly difficult to love now, and he felt that only one could do it. But he didn't want to.","How could they know who he was? He was now terribly difficult to love, and he felt that only One would be capable of it. But He was not yet willing.","What notion could they have of who he was? He was fearfully difficult to love now, and he sensed that there was only One who was capable of it. But He was not yet willing.","What did they know about who he was? He was now terribly difficult to love, and he felt that only One was capable of that. But He was not yet willing."
"Ich lerne sehen. Ich weiß nicht, woran es liegt, es geht alles tiefer in mich ein und bleibt nicht an der Stelle stehen, wo es sonst immer zu Ende war. Ich habe ein Inneres, von dem ich nicht wußte. Alles geht jetzt dorthin. Ich weiß nicht, was dort geschieht.","i learn to see I don't know why it is, everything goes deeper into me and doesn't stop at the point where it used to end. I have an inside I didn't know about. Everything goes there now. I don't know what's happening there.","I am learning to see. I don’t know why it is, but everything enters me more deeply and doesn’t stop where it once used to. I have an interior that I never knew of. Everything passes into it now. I don’t know what happens there.","[4] I am learning to see. Why, I cannot say, but all things enter more deeply into me; nor do the impressions remain at the level where they used to cease. There is a place within me of which I knew nothing. Now all things tend that way. I do not know what happens there.","[4] I’m learning how to see. I don’t know what the reason is, but everything enters into me more deeply and no longer stops at the point where it used to come to an end. I have an inner self that I knew nothing about. Now everything goes into it. I don’t know what happens there."
"Zwar hat er noch einen Rest von Stimme in sich und mahnt; aber das ist nicht anders als ein Geräusch in einer Lampe oder im Ofen oder wenn es in eigentümlichen Abständen in einer Grotte tropft. Und die Welt ist so eingerichtet, daß es Menschen giebt, die ihr ganzes Leben lang in der Pause vorbeikommen, wenn er, lautloser als alles was sich bewegt, weiter rückt wie ein Zeiger, wie eines Zeigers Schatten, wie die Zeit.","True, he still has a remnant of his voice and warns; but this is not unlike a noise in a lamp, or in a stove, or dripping at odd intervals in a grotto. And the world is arranged in such a way that there are people who come all their lives to pause when it, more silent than anything that moves, advances like a pointer, like a pointer's shadow, like time.","True, he still has a shred of a voice that calls attention to his existence; but it isn’t any different from a noise in a lamp or a stove or the sound water makes when it drips at irregular intervals in a cave. And the world is arranged in such a way that there are people who, all their lives, pass by during the pauses, when he, more soundless than anything that moves, goes forward like the hand of a clock, like the shadow of that hand, like time itself.","He does still have something of a voice left, true, and uses it to draw attention; but it is no different from a noise in a lamp or a stove, or the odd irregular dripping of water in a cave. And the world is so ordered that there are people who are forever passing by, their whole lives long, in that interval when he moves on, making less of a sound than anything else that moves, like the hand of a clock, like the shadow of the hand of a clock, like time itself.","It’s true, he does have the remnants of a voice and calls out with it; but that’s no different from a noise from inside a lamp or the stove, or when drips fall at odd intervals in an underground cave. And the world is such that there are people who, their whole lives long, pass by in the interval in which he, more silently than any moving thing, goes on like the hand of a clock, like the shadow of the hand of a clock, like time itself."
"Wie klein ich damals noch gewesen sein muß, sehe ich daran, daß ich auf dem Sessel kniete, um bequem auf den Tisch hinaufzureichen, auf dem ich zeichnete. Es war am Abend, im Winter, wenn ich nicht irre, in der Stadtwohnung. Der Tisch stand in meinem Zimmer, zwischen den Fenstern, und es war keine Lampe im Zimmer, als die, die auf meine Blätter schien und auf Mademoiselles Buch; denn Mademoiselle saß neben mir, etwas zurückgerückt, und las. Sie war weit weg, wenn sie las, ich weiß nicht, ob sie im Buche war; sie konnte lesen, stundenlang, sie blätterte selten um, und ich hatte den Eindruck, als würden die Seiten immer voller unter ihr, als schaute sie Worte hinzu, bestimmte Worte, die sie nötig hatte und die nicht da waren. Das kam mir so vor, während ich zeichnete. Ich zeichnete langsam, ohne sehr entschiedene Absicht, und sah alles, wenn ich nicht weiter wußte, mit ein wenig nach rechts geneigtem Kopfe an; so fiel mir immer am raschesten ein, was noch fehlte. Es waren Offiziere zu Pferd, die in die Schlacht ritten, oder sie waren mitten drin, und das war viel einfacher, weil dann fast nur der Rauch zu machen war, der alles einhüllte. Maman freilich behauptet nun immer, daß es Inseln gewesen waren, was ich malte; Inseln mit großen Bäumen und einem Schloß und einer Treppe und Blumen am Rand, die sich spiegeln sollten im Wasser. Aber ich glaube, das erfindet sie, oder es muß später gewesen sein.","I can see how small I must have been back then by the fact that I was kneeling in the chair so that I could reach comfortably up to the table on which I was drawing. It was in the evening, in winter, if I'm not mistaken, in the city apartment. The table was in my room, between the windows, and there was no lamp in the room but the one that shone on my papers and on Mademoiselle's book; for Mademoiselle sat next to me, a little set back, and read. She was far away when she read, I don't know if she was in the book; she could read for hours, she rarely turned the pages, and I had the impression that the pages were getting fuller and fuller beneath her, as if she was looking at words, specific words that she needed and that weren't there. That's what happened to me while I was drawing. I drew slowly, without very definite intention, and looked at everything, when I was at a loss, with my head tilted a little to the right; That's always the quickest way for me to think of what was still missing. It was officers on horseback who rode into battle, or they were in the middle of it, and that was much easier because then almost all you could do was make the smoke that enshrouded everything. Maman, of course, always maintains that what I painted was islands; Islands with big trees and a castle and a staircase and flowers at the edge that should be reflected in the water. But I think she made that up, or it must have been later.","How small I must have been at that time, I see from the fact that I was kneeling on the armchair so I could comfortably reach up to the table I was drawing on. It was a winter evening, in our apartment in town, if I’m not mistaken. The table stood in my room, between the windows, and there was no lamp in the room except for the one that shone on my pages and on Mademoiselle’s book; for Mademoiselle was sitting beside me, her chair pushed back a little, reading. She was far away when she read, and I don’t know whether she was in her book ; she could read for hours, she seldom turned a page, and I had the impression that the pages kept growing fuller beneath her gaze, as if she looked words onto them, certain words that she needed and that weren’t there. That’s how it seemed to me as I went on drawing. I drew slowly, without any very definite intention, and when I got stuck, I would look at my drawing with my head bent a little to the right; in that position I could always figure out soonest what was missing. They were officers on horseback, who were riding into battle, or they were already in the midst of it—which was much easier, since then almost all you needed to draw was the smoke that covered everything. Maman, it’s true, claimed that I only painted islands—islands with large trees and a castle and a staircase and flowers along the edge that were supposed to be reflected in the water. But I think she was making that up, or it must have been at a later time.","How small I must still have been at the time I can see from the fact that I was kneeling on the armchair to be within easy reach of the table I was drawing on. It was evening, in winter, if I am not mistaken, in our town flat. The table was in my room, between the windows, and there was no other lamp in the room but the one that shone on my sheets of paper and on Mademoiselle's book; for Mademoiselle was sitting beside me, her chair pushed back a little, and was reading. She was far away when she was reading; I do not know if she was in her book – she could read for hours on end, seldom turning a page, and I had the impression that the pages kept steadily filling beneath her, as if by looking she were adding words, particular words that she needed and which were not there. That is how it seemed to me while I went on drawing. I drew slowly, without any very definite intention, and whenever I did not know how to go on, I would consider the whole thing with my head inclined a little to the right; that way, I always realized fastest what was still missing. The drawing was of officers on horseback, riding into battle, or already in the thick of it, which was much simpler because then almost all you had to draw was the smoke that enveloped everything. It's true that Maman always maintained that what I drew were islands – islands with large trees and a castle and a flight of steps and flowers along the edge that were meant to be reflected in the water. But I think she is making that up, or else it was later.","I can tell how small I must have been at the time because to be comfortable I had to kneel on the chair to reach the table I was drawing at. It was evening, in winter, if I’m not mistaken, in our apartment in town. * The table was in my room, between the windows, and the only lamp in the room was the one that was casting its light onto my pieces of paper and onto Mademoiselle ’s book—Mademoiselle* was sitting beside me, a little way from the table, reading. When she was reading she was far away, I don’t know if she was even in her book; she could read for hours , she rarely turned the pages, and I had the impression that the pages became fuller and fuller for her, as if by looking she was adding words, particular words, that she needed but which were not there. That’s how it seemed to me while I was drawing. I drew slowly, without having any very precise intention, and when I didn’t know what to do next looked at everything with my head tilted slightly to the right; that’s how what I needed came most quickly to mind. There were officers on horseback, riding into battle, or they were in the midst of the fray, and that was a lot easier because I had almost only to draw the smoke that enveloped everything. It’s true that Maman always insists that it was islands that I was painting, islands with huge trees and a castle and a staircase and flowers at the edge that were supposed to be reflected in the water. But I think she’s making that up, or it must have been later."
"Eine Weile später schien es mir, als trete man bei meinem Nachbar ein. Unsere Türen waren die letzten im Gang, die seine quer und dicht neben der meinen. Ich wußte indessen, daß er zuweilen Freunde bei sich sah, und, wie gesagt, ich interessierte mich durchaus nicht für seine Verhältnisse.","A while later it seemed to me that one was entering my neighbor's house. Our doors were the last in the corridor, his across and close to mine. I knew, however, that he sometimes saw friends with him, and, as I said, I was not at all interested in his circumstances.","After a while it seemed to me that someone was entering my neighbor’s room. Our doors were the last ones in the hallway; his was at an angle to mine and right next to it. But I knew that he occasionally had friends over and, as I have said, I wasn’t at all interested in his affairs.","After a while I had the impression that someone entered my neighbour's room. Our doors were the last on the passage; his was right next to mine, at an angle. I did know that he occasionally had friends call on him, but, as I have said, I took no interest whatsoever in his affairs; it might be that his door was opened several more times, that people were coming and going out there, but it was really no business of mine.","A while later it seemed to me as if someone were entering my neighbour’s room. Our doors were the last ones on the corridor, his right next to mine and at an angle to it. I knew by that time that he sometimes had visits from friends, and as I said, I wasn’t remotely interested in the way he lived."
"In den Sanatorien, wo ja so gern und mit so viel Dankbarkeit gegen Ärzte und Schwestern gestorben wird, stirbt man einen von den an der Anstalt angestellten Toden; das wird gerne gesehen.","In the sanatoriums, where people die so gladly and with so much gratitude to doctors and nurses, one dies one of the deaths employed by the institution; that's nice to see.","In the sanatoriums, where people die so willingly and with so much gratitude to the doctors and nurses, it is one of those deaths which are attached to the institution; that is looked on favorably.","In sanatoriums, where people die so readily and with so much gratitude towards their doctors and nurses, you die one of the deaths available at the institution, and are approved of accordingly.","In sanatoria, where dying happens so readily and with so much gratitude towards doctors and nurses, you die one of the deaths that the institution has engaged for this purpose; that’s looked-upon favourably."
"Sie wollen es nicht glauben. Jetzt, da so vieles anders wird, wollen sie sich verändern. Sie sind ganz nahe daran, sich aufzugeben und so von sich zu denken, wie Männer etwa von ihnen reden könnten, wenn sie nicht da sind. Das scheint ihnen ihr Fortschritt. Sie sind fast schon überzeugt, daß man einen Genuß sucht und wieder einen und einen noch stärkeren Genuß: daß darin das Leben besteht, wenn man es nicht auf eine alberne Art verlieren will. Sie haben schon angefangen, sich umzusehen, zu suchen; sie, deren Stärke immer darin bestanden hat, gefunden zu werden.","You don't want to believe it. Now that so much is changing, they want to change. They are very close to giving up and thinking of themselves as men might speak of them when they are not around. That seems to them their progress. They are almost convinced that one seeks one pleasure, and another, and an even greater pleasure: that this is life, if one does not want to lose it in a silly way. You've already started to look around, to search; she whose strength has always been in being found.","They don’t want to believe it. Now that so much is changing, they too want to change. They are on the verge of abandoning themselves and thinking about themselves as men might speak of them when they aren’t there. This seems to them like progress. They are already almost convinced that you search out one pleasure and then another and then an even stronger one: that life consists in this, if you don’t want to stupidly lose it. They have already begun to look around, to search; they, whose strength has always consisted in being found.","They refuse to believe it. Now that so many things are different, they too want to change. They are on the verge of giving themselves up, and of thinking about themselves as men might speak of them in their absence. This they take for progress they have made. They are already almost convinced that one seeks pleasure, and then more, and then an even more powerful pleasure: that this is what life consists in, if one is not to throw it away foolishly. They have already started looking round, seeking, they whose strength always lay in being found.","They refuse to believe it. Just when so much is undergoing change, they want to change themselves. They’re very close to the point of surrendering themselves, conceiving of themselves in just the way that men, for example, might talk of them when they’re not there. That’s what the progress they’ve made looks like to them. They are almost convinced that people are in search of one pleasure after another, each one stronger than the last, and that this is what life consists of if you don’t want to lose it by being somehow foolish. They’ve already begun to look around them, to search—these girls whose strength has always lain in being found."
