Source,GoogleTranslate,human1,human2
孤與丞相，彼此皆漢朝臣宰。丞相不思報國安民，乃妄動干戈，殘虐生靈，豈仁人之所為哉？卽日春水方生，公當速去。如其不然，復有赤壁之禍矣：公宜自思焉。,"The solitary and the prime minister were both ministers of the Han Dynasty. The prime minister did not intend to serve the country and the people, but instead acted rashly and cruelly abused living beings. The water is born in the spring, and the public should go quickly. If not, there will be the disaster of Chibi again: Gong should think for himself.","Sun Quan and his advisers are triumphant and start to think that now is the time, with Xuande still away and a victorious army, to seize Jingzhou.","“You and I, O Prime Minister, are both servants of Han, but you are careless for the tranquillity of the people and think only of battle, thereby causing great suffering. Is this conduct worthy of a kindly person? “But spring with its heavy rains is at hand, and you would be wise to retire while you can. If not, you may expect a repetition of the misfortune at the Red Cliffs. It would be well to consider this.”"
操進兵直叩潼關，曹仁曰：“可先下定寨柵，然後打關未遲。”操令砍伐樹木，起立排柵，分作三寨：左寨曹仁，右寨夏侯淵，操自居中寨。次日，操引三寨大小將校，殺奔關隘前去，正遇西涼軍馬。兩邊各布陣勢。操出馬於門旗下，看西涼之兵，人人勇健，個個英雄，又見馬超生得面如傅粉，辱若抹硃；腰細膀寬，聲雄力猛；白袍銀鎧，手執長鎗，立馬陣前；上首龐德，下首馬岱。操暗暗稱奇，自縱馬謂超曰：“汝乃漢朝名將子孫，何故背反耶？”超咬牙切齒，大罵：“操賊！欺君罔上，罪不容誅！害我父弟，不共戴天之讎！吾當活捉生啖汝肉！”說罷，挺鎗直殺過來。曹操背後于禁出迎。兩馬交戰，鬥得八九合，于禁敗走。張郃出迎，戰二十合亦敗走。李通出迎，超奮威交戰，數合之中，一鎗刺李通於馬下。超把鎗望後一招，西涼兵一齊衝殺過來。操兵大敗。西涼兵來得勢猛，左右將佐，皆抵當不住。馬超、龐德、馬岱引百餘騎，直入中軍來捉曹操。操在亂軍中，只聽得西涼軍大叫：“穿紅袍的是曹操！”操就馬上急脫下紅袍。又聽得大叫：“長髯者是曹操！”操驚慌，掣所佩刀斷其髯。軍中有人將曹操割髯之事，告知馬超，超遂令人叫拏：“短髯者是曹操！”操聞知，卽扯旗角包頸而逃。後人有詩曰：,"When Cao entered the army and knocked on Tong Pass, Cao Ren said, ""You can first get down to the gate, and then it's not too late."" The next day, Cao led the large and small generals from Sanzhai, and rushed to the pass, where he encountered the troops of Xiliang. Formation on both sides. Caught the horses under the banner of the gate, and saw the soldiers of Xiliang, everyone was brave and strong, all heroes, and also saw that Ma Chao was born with a face like powdered powder, and humiliated like a rubble; his waist was thin and his shoulders were broad, and his voice was strong; The spear, immediately before the battle; the first Pound, the next Ma Dai. Cao was secretly amazed, and he took the horse and said to Chao: ""You are a descendant of a famous general of the Han Dynasty, why do you turn your back on it?"" Chao gritted his teeth and cursed: ""Fuck the thief! It's not a crime to deceive the king! Harm my father and brother. Dai Tianzhi! I'll catch you alive and eat your flesh!"" After saying that, he shot straight at him. Behind Cao Cao, Yu Jin went out to greet him. The two horses fought, and the fight was eight or nine, and Yu Jin was defeated. Zhang He went out to meet him, but he was also defeated in the battle of Twenty-height. Li Tong came out to greet him, and fought with great enthusiasm. In the middle of the number, he stabbed Li Tong with a single shot. Chao looked back at the gun, and the Xiliang soldiers rushed over together. Cao Cao defeated. The soldiers of the Western Liang Dynasty were so powerful that they could not stand up to the generals left and right. Ma Chao, Pang De, and Ma Dai led more than a hundred cavalry into the Chinese army to capture Cao Cao. Cao was in the midst of the chaotic army, only to hear the Xiliang army shout: ""It's Cao Cao who wears the red robe!"" Cao immediately took off the red robe in a hurry. He heard a loud cry: ""The one with the long beard is Cao Cao!"" Cao panicked, and the sword he wore cut off his beard. Someone in the army told Ma Chao about Cao Cao's beard cutting, and Chao was called to take: ""The one with the short beard is Cao Cao!"" A later poem says:","Cao Cao now sets off for the pass and establishes his camp below, ready for battle. The very next day the armies clash, and the Xiliang troops break the northern army almost immediately, with Ma Chao and Pang De charging into the mêlée, determined to capture Cao Cao. In terror Cao Cao turns and flees but he hears behind him someone cry, ‘Cao is the one in the red robe’, and on hearing this he rips it off and casts it aside. Then he hears a cry, ‘Cao is the one with the long beard!’","Cao Cao advanced to Tong Pass. Cao Ren said, “We should establish a strong stockade before attacking.” So trees were felled and a strong stockade built. They made three camps: Cao Ren was in the left; Xiahou Yuan, the right; and Cao Cao himself was in the center one. Soon after, Cao Cao and all his officers in a body rushed to attack the Pass. They ran against the Xiliang troops posted on two sides, halted and formed their array. This done, Cao Cao rode to the center standard whence he looked at his opponents. He saw before him a body of fine troops, every one with the bearing of a hero. And the leader, Ma Chao, was worthy of them, with his vivid face as if powdered and red lips as if colored, his supple hips and broad shoulders, his deep voice and fierce strength. He was wearing silver helmet and armor and gripping a long spear as he sat there on his charger. Pang De and Ma Dai supported him, and Cao Cao admired Ma Chao in his secret heart. However, Cao Cao urged forward his steed and shouted to Ma Chao, “Why are you arrayed against the Hans, whom your father and grandfather served faithfully?” Ma Chao ground his teeth and cursed Cao Cao, “Rebel! Betrayer of both prince and people! Murderer of my father and brothers! My hate for you is to the death: the same sky shall not continue to cover us, for I will take you captive and satiate my appetite on your living flesh.” With this he set his spear and rode over toward Cao Cao as if to slay him. But Yu Jin came out from behind and engaged Ma Chao in battle. These two fought some half score bouts, and then Yu Jin had to flee. Zhang He, however, took his place and the two warriors exchanged twenty passes. Then Zhang He, too, ran away. Next to come forth was Li Tong. Ma Chao's martial prowess was now at its height, and he made short work of Li Tong, who went out of the saddle at the first blow. Then Ma Chao flourished his spear at the troops behind him as a signal for them to come on, which they did like a flood. They overwhelmed Cao Cao's forces, and Ma Chao, Pang De, and Ma Dai rode forward to try to capture Cao Cao. They came close. Cao Cao heard one of his pursuers shout to another, “Cao Cao is he in the red dress!” So he hastily tore off his red robe and threw it away. He also heard one say “Cao Cao is he with the long beard!” At once Cao Cao took the sword that he wore at his side and sawed off some of the beard. Yet again a soldier recognized him and told Ma Chao that Cao Cao had now cut his beard, whereupon the order went forth to capture short beards. And then Cao Cao wrapped the corner of a flag about neck and jowl and fled. Panic seized upon the soldiers at Tong Pass;"
沙場甘戰死，史冊共流芳。,"Gan died in the battle, and the annals of history shared a fragrant story.","Many are the commanders of the Shu who fall that day – Cheng Ji takes his own life in despair, surrounded as he is; Wu Ban and Feng Xi, raising the siege of Yiling, are cut off and die at the hands of Sun Huan’s army.","In battle on the flaming shore they died, And the histories record their deeds."
姜維逕到漢中，歇住人馬，自與使命入成都見後主。後主一連十日不朝。維心中疑惑。是日至東華門，遇見祕書郎郤正。維問曰：“天子召維班師，公知其故否？”正笑曰：“大將軍何尚不知：黃皓欲使閻宇立功，奏聞朝廷，發詔取回將軍——今聞鄧艾善能用兵，因此寢其事矣。”維大怒曰：“我必殺此宦豎！”郤正止之曰：“大將軍繼武侯之事，任大職重，豈可造次？倘若天子不容，反為不美矣。”維謝曰：“先生之言是也。”次日，後主與黃皓在後園宴飲，維引數人逕入。早有人報知黃皓，皓急避於湖山之側。維至亭下，拜了後主，泣奏曰：“臣困鄧艾於祁山，陛下連降三詔，召臣回朝，未審聖意為何？”後主默然不語。維又奏曰：“黃皓奸巧專權，乃靈帝時十常侍也。陛下近則鑒於張讓，遠則鑒於趙高。早殺此人，朝廷自然淸平，中原方可恢復。”後主笑曰：“黃皓乃趨走小臣，縱使專權，亦無能為。昔者董允每切齒恨皓，朕甚怪之。卿何必介意？”維叩頭奏曰：“陛下今日不殺黃皓，禍不遠也。”後主曰：“‘愛之欲其生，惡之欲其死。’卿何不容一宦官耶？”令近侍於湖山之側，喚出黃皓至亭下，命拜姜維伏罪。皓哭拜維曰：“某早晚趨侍聖上而已，並不干與國政。將軍休聽外人之言，欲殺某也。某命係於將軍，惟將軍憐之。”言羅，叩頭流涕。,"Jiang Weijing went to Hanzhong, rested his troops, and entered Chengdu with his mission to see the Lord. After the Lord did not go to court for ten consecutive days. Wei was puzzled. On the same day, I went to Donghuamen, and I met Secretary Lang but Zheng. Wei asked: ""The Son of Heaven called Wei Banshi, does the public know the reason?"" Zheng smiled and said, ""Why does the general still not know: Huang Hao wants to make Yan Yu make meritorious deeds, and has reported to the court and issued an edict to take back the general - now I hear that Deng Aishan can use troops. , so let’s go to bed.” Wei was furious and said, “I will kill this eunuch!” But he stopped and said, “The general follows the affairs of Marquis Wu and holds a great position, how can he make it worse? If the emperor would not allow it, he would instead It's not beautiful."" Wei Xie said, ""Sir's words are true."" The next day, the host and Huang Hao had a banquet in the back garden, and Wei invited several people to enter. Someone reported to Huang Hao long ago, and Hao hurriedly avoided the side of the lake and mountain. Wei went to the pavilion, bowed to the queen, and wept, saying: ""The minister is trapped in Deng Ai in Qishan, and your majesty has sent down three edicts in a row, and summoned the ministers back to the court. Wei also remarked: ""Huang Hao has a cunning and skillful dictatorship, and was one of the ten permanent attendants of Emperor Ling. His Majesty is in view of Zhang Rang in the nearness, and Zhao Gao in the distance. If you kill this person early, the court will naturally be leveled, and the Central Plains can be restored."" The Lord laughed and said, ""Huang Hao is trying to leave a small minister. Even if he has the power, he can't do anything. In the past, Dong Yun hated Hao every time he gnashed his teeth. I was very surprised. Why should you mind?"" Wei kowtowed and said, ""Your Majesty will not kill Huang Hao today. The disaster is not far away."" The queen said, ""'Love wants to live, and evil wants to die.' Why don't you allow an eunuch?"" He ordered his valet to be on the side of the lake and mountain, summoned Huang Hao to the pavilion, and ordered him to worship. Jiang Wei was guilty. Hao cried and bowed to Wei and said, ""A certain is just going to serve the sage sooner or later, and he does not interfere with the state affairs. The general should not listen to the words of outsiders and want to kill him. A certain life is tied to the general, but the general will pity him."" Yan Luo, kowtowed. snot.","The next day the second ruler and Huang Hao are picnicking in the back garden of the palace when in charges Jiang Wei with a group of his guards. Huang Hao, hearing the commotion, flees and hides before Jiang Wei reaches the second ruler, seated in his pavilion. ‘I almost had Deng Ai,’ Jiang Wei says, tears coursing down his face, ‘when your three orders reached me. But why?’ The second ruler has nothing to say. This spurs Jiang Wei on: ‘That eunuch Huang Hao has seized power – just as the Ten Eunuchs did in the reign of Emperor Ling. He must be killed. Only then will peace return and the country prosper.’ ‘Huang Hao is simply my servant,’ says the second ruler.","Arrived in Hanzhong, the army halted, and Jiang Wei went on to the capital in company with the messenger who had brought his orders. Here he waited ten days, and still the Latter Ruler held no court. He began to suspect mischief. One day near the palace gate he met Secretary General Xi Zheng, and asked, “Do you know the reason for my recall?” “What General! Do you not know? Huang Hao wanted to push Yan Yu into favor, so he intrigued for your recall. Now they have found out Deng Ai is too clever to be tackled, and so they are not fighting any more.” “I shall certainly have to put this eunuch fellow out of the way,” said Jiang Wei. “Hush! You are the successor of the Martial Lord, Zhuge Liang, the man to whom he bequeathed his unfinished task. You are too important to act hastily or indiscreetly. If the Emperor withdrew his support, it would go ill with you.” “Sir, what you say is true,” replied Jiang Wei. However, soon after this Jiang Wei, with a small party, got into the Palace. The Latter Ruler was enjoying himself with Huang Hao in the gardens. They told Huang Hao, who at once hid himself. Jiang Wei approached his master and prostrated himself, saying, “Why did Your Majesty recall me? I had the enemy in my power at Qishan when the triple edict came.” The Latter Ruler hummed and hawed, but made no reply. Then Jiang Wei began his real grievance. “This Huang Hao is wicked and artful and seems to have the last say in everything. The times of the Emperor Ling and the Ten Regular Attendants have returned. Your Majesty may recall Zhang Rang recently or Zhao Gao in the old time; but if you will only slay this man, the court will be purified and you may return gloriously to the home of your fathers.” The Latter Ruler smiled, saying, “Huang Hao is but a minor servant, one who runs errands for me. If he tried to do as you say, he could not. I always wondered why Dong Yun seemed to hate poor Huang Hao so much. Now you are the same. I pray you, noble Sir, take no notice of him.” “Unless Your Majesty gets rid of him, evil is very close,” said Jiang Wei, beating his head upon the ground. The Latter Ruler replied, “If you love anyone, you want him to live; if you dislike him, you desire his death; can you not bear with my one poor eunuch?” The Latter Ruler bade one of the attendants go and call Huang Hao. When Huang Hao approached the pavilion, the Latter Ruler told him to ask pardon of Jiang Wei. Huang Hao prostrated himself and wept, saying, “I am always in attendance upon the Sacred One; that is all I do. I never meddle in state affairs. I pray you, General, pay no heed to what people say. If you desire my death, I am in your hands, but pity me.” And tears ran down his cheeks. Jiang Wei went away in ill humor."
仰惟爵號，位高寵厚；俯思報効，憂深責重：驚怖惕息，始臨於谷，敢不盡力輸誠，獎勵六師，率齊羣義，應天順時，以寧社稷：謹拜表以聞。,"Looking up to the title of Wei Jue, high and favored; looking down on repaying results, worrying deeply and taking heavy responsibility: fearful and vigilant, first approaching the valley, daring not to give up the sincerity, rewarding the six teachers, leading the group's righteousness, responding to Tianshun, with peace Sheji: I would like to worship the table to hear it.","Now, though he trembles to think of the audacious act he has undertaken, he can as a result rally the people to him so that Heaven can bless him and the imperial family.","“Humbly I think of such a title and its exalted position and the favor vouchsafed me, and I would endeavor to show true gratitude. My anxiety is deep, for the responsibility is heavy. I am as one on the brink of a great gulf. I must surely exert myself to the utmost and encourage my armies and lead all disciples of rectitude, in accordance with the will of Heaven and as occasion serves, to smite rebellion so as to restore the dynasty.”"
老臣素矢忠君志，年少能成報國功。,"The old minister Su Ya is loyal to the emperor, and he can repay the country when he is young.",So what has happened to Huang Zhong?,"The aged servant fails, though willing still."
却說張飛回到閬中，下令軍中：限三日內製辦白旗白甲，三軍挂孝伐吳。次日，帳下兩員末將，范疆、張達入帳告曰：“白旗白甲，一時無措，須寬限方可。”飛大怒曰：“吾急欲報讎，恨不明日便到逆賊之境。汝安敢違我將令！”叱武士縛於樹上，各鞭背五十。鞭畢，以手指之曰：“來日俱要完備！若違了限，卽殺汝二人示衆！”打得二人滿口出血，回到營中商議。范疆曰：“今日受了刑責，着我等如何辦得？其人性暴如火。倘來日不完，你我皆被殺矣！”張達曰：“比如他殺我，不如我殺他。”疆曰：“怎奈不得近前。”達曰：“我兩個若不當死，則他醉於牀上；若是當死，則他不醉。”二人商議停當。,"However, Zhang Fei said that Zhang Fei returned to Langzhong and ordered the army: within three days, the white flag and white armor should be set up, and the three armies would hang filial piety to attack Wu. The next day, Fan Jiang and Zhang Da entered the tent and reported, ""The white flag and the white armor are at a loss for a while, so I need to be lenient."" Fei was furious and said, ""I am eager to retaliate, and I hate the future. You will come to the realm of rebels. You dare to disobey my orders!"" The warriors were tied to a tree, each with fifty whips on their backs. After the whipping was completed, he pointed it out and said, ""It will be complete in the future! If the limit is violated, I will kill the two of you and show the public!"" Fan Jiang said: ""I have been punished today, how can I do it? Its human nature is like fire. If it doesn't end in the future, both you and I will be killed!"" Zhang Da said: ""For example, if he kills me, it is better for me to kill. He."" Jiang said, ""Why can't I come closer."" Da said, ""If the two of us don't want to die, he will be drunk on the bed; if we should die, he will not be drunk."" The two stopped discussing.","Back at Langzhong, Zhang Fei gives orders for the troops to be ready within three days and to have all the banners and surcoats of the troops in white – the colour of mourning. The very next day two officers, Fan Jiang and Zhang Da, come and tell him that they can’t possibly be ready in so few days. They and their men need more time. Aroused to a terrifying anger, Zhang Fei has the two men bound to a tree and each of them flogged fifty times. ‘Everything, I say everything, will be ready by tomorrow or I’ll execute you both!’ he shrieks and he has them beaten again until the blood flows from their mouths. Horrified and frightened, the two men stagger back to their tents and begin to plot how to escape from such a terrible fate. ‘ He’s out of control, like a raging fire,’ says one. ‘We’ve no chance of completing the work in time. We’re dead!’ cries the other. ‘ So why don’t we kill him before he can kill us?’ says Zhang Da. ‘And how exactly do we even get near him?’ asks Fan Jiang. ‘If our fate is to live, then he will be drunk. If our fate is sealed and we must die, he will be sober,’ says Zhang Da, and on this basis they begin to prepare for the murder of Zhang Fei.","As soon as Zhang Fei had got back to his post, he issued orders that his soldiers should be ready to march in three days and the whole body was to be in mourning, white uniforms and whitened arms. Just after the order appeared, two generals named Fan Jiang and Zhang Da came to their chief, saying, “The time allowed is insufficient to make white flags and armors. Pray give us more time, General.” “I am hot to avenge my brother,” said Zhang Fei. “My only regret is that I cannot reach the miserable wretch's country tomorrow. Do you dare to disobey my order?” Zhang Fei called in the lictors, had the two officers bound to trees, and ordered each to receive fifty lashes. At the close of the flogging, he said, “Now you will be ready tomorrow; if you are not, I will put you to death as an example!” The two generals returned to their place, spitting blood and hot with anger, and they said one to another, “We have been beaten today; what about tomorrow? This man's temper is unbearable; and if things are not ready, we shall suffer death.” “Suppose we slay him,” suddenly said Zhang Da, “since if we do not, he will kill us.” “But how can we get near him?” “If we are to have a chance to live, he will get drunk and go to bed; if we are to die, he will remain sober.” They made all their arrangements for the crime."
各人受了計策，皆依令而去，方召孟優入帳。優再拜於帳下曰：“家兄孟獲，感丞相活命之恩，無可奉獻，輒具金珠寶貝若干，權為賞軍之資。續後別有進貢天子禮物。”孔明曰：“汝兄今在何處？”優曰：“為感丞相天恩，逕往銀坑山中收拾寶物去了，少時便回來也。”孔明曰：“汝帶多少人來？”優曰：“不敢多帶：只是隨行百餘人，皆運貨物者。”孔明盡敎入帳看時，皆是靑眼黑面，黃髮紫鬚，耳帶金環，鬅頭跣足，身長力大之士。孔明就令隨席而坐，敎諸將勸酒，慇懃相待。,"Everyone received a plan, and they all went according to the order, and Fang called Meng You into the account. You again bowed under the tent and said: ""My brother Meng Huo, I am grateful for the grace of the Prime Minister's life, and I have nothing to offer. I have a few gold jewels and shells, and I have the right to reward the army. I will not pay tribute to the emperor in the future."" Kong Ming said: ""You Where is my brother now?"" You said: ""In order to thank the Prime Minister for the grace of heaven, I went straight to the Yinkeng Mountain to collect the treasures, and I came back when I was young."" Kong Ming said, ""How many people have you brought?"" You said, ""No Dare to bring more: just accompanying more than 100 people, all of whom are carrying goods."" When Kong Ming went into the tent to see, they were all men with black eyes, yellow hair, purple beard, gold rings on their ears, beards, legs and feet, tall and powerful. . Kong Ming ordered him to sit at the table, and he instructed the generals to persuade them to drink wine and treat each other with diligence.","Shortly afterwards Meng You travels to Kong Ming’s camp carrying tributes of gold, pearls, ivory and other treasures. He brings with him an escort of some hundred men. Kong Ming is not fooled for a moment and secretly whispers orders to his officers, who quietly move off, while Kong Ming entertains not just","All these things done, the bearer of gifts was called. Meng You came and bowed low at the door of the tent, saying, “The brother of my house, Meng Huo, having received great kindness at your hands in sparing his life, feels bound to offer a paltry gift. He has presumed to collect a few pearls and some gold and other trifling jewels by way of something to give your soldiers. And hereafter he will send tribute to your Emperor.” “Where is your brother at this moment?” asked Zhuge Liang. “Having been the recipient of your great bounty, he has gone to the Silver Pit Hills to collect some treasures. He will soon return.” “How many soldiers have you brought?” “Only about a hundred; I should not dare to bring any large number. They are just porters.” They were brought in for Zhuge Liang's inspection. They had blue eyes and swarthy faces, auburn hair and brown beards. They wore earrings, their hair was fuzzy, and they went barefoot. They were tall and powerful. Zhuge Liang made them sit down, and bade his generals press them to drink and treat them well and compliment them."
未知成都如何守禦，且看下文分解。,"I don't know how Chengdu is defended, and see the breakdown below.",Now the march is on for Chengdu.,The next chapter will tell of the defense of Chengdu.
夏侯惇盡斬五家老小宗族，將百官解赴鄴郡。曹操於敎場立紅旗於左、白旗於右，下令曰：“耿紀、韋晃等造反，放火焚許都，汝等亦有出救火者，亦有閉門不出者。如曾救火者，可立於紅旗下；如不曾救火者，可立於白旗下。”衆官自思救火者必無罪，於是多奔紅旗之下。三停內只有一停立於白旗下。操敎盡拏立於紅旗下者。衆官各言無罪。操曰：“汝當時之心，非是救火，實欲助賊耳。”盡命牽出漳河邊斬之，死者三百餘員。其立於白旗下者，盡皆賞賜，仍令還許都。時王必已被箭瘡發而死，操命厚葬之。令曹休總督御林軍馬，鍾繇為相國，華歆為御史大夫。遂定侯爵六等十八級，關中侯爵十七級，皆金印紫綬。又置關內外侯十六級，銀印龜紐墨綬；五大夫十五級，銅印鐶紐綬。定爵封官，朝廷又換一班人物。曹操方悟管輅火災之說，遂重賞輅。輅不受。,"Xiahou Dun beheaded all five clans, old and small, and released all officials to Ye County. Cao Cao set up the red flag on the left and the white flag on the right, and ordered: ""Geng Ji, Wei Huang, etc. rebelled and set fire to Xudu. You and others also went out to fight the fire, and some of you stayed behind. You can stand under the red flag; if you have never put out a fire, you can stand under the white flag."" The officials thought that those who put out the fire would be innocent, so they ran under the red flag. Only one of the three stops stands under the white flag. Fuck those who stand under the red flag. All the officials were innocent. Cao said, ""Your intention at that time was not to fight the fire, but to help the thief's ears."" He tried his best to lead him out of the Zhanghe River and behead him, and more than 300 people died. Those who stand under the white banner are all rewarded, and they are still ordered to return to Xudu. At that time, the king must have been killed by arrow sores, and he was buried with all his life. He ordered Cao Xiu to be the governor of the imperial army, Zhong Yao to be the prime minister, and Hua Xin to be the imperial censor. The sixth and eighteenth rank of Marquis and the seventeenth rank of Marquis of Guanzhong were assigned, all with gold seals and purple ribbons. The sixteenth rank of Guan Neihou, with silver tortoises and ink ribbons, and the fifteenth rank of the five husbands, bronze seals and buttons. Ding Jue was appointed an official, and the court changed another group of characters. Cao Cao realized the theory that the fire was in control of the chariot, so he rewarded the chariot again. Do not accept.","Their grief goes down with them to the Nine Springs of Hell. After the execution of the families, Xiahou Dun brings all the palace staff to Yejun, where Cao Cao has set up two flags – red to the left and white to the right. Then Cao Cao summons the officials. ‘Those who came out to fight the fires stand by the red flag. Those who stayed at home and did nothing, stand by the white flag.’ Two thirds of the officials, thinking that if they were assumed to have come out to help they will be rewarded, go to the red flag. The rest stand by the white flag and, to everyone’s surprise, it is those by the red flag that Cao Cao orders arrested. Horrified at this, they protest, but Cao Cao replies, ‘You didn’t come out to help but to support the rebels’, and he orders their immediate execution. Three hundred or more die that day. Those who chose the white flag are rewarded and return with relief to the city. Wang Bi dies as a result of the arrow and is given a ceremonial funeral, while Cao Xiu is put in charge of the Royal Guard. In response to all this, Cao Cao increases the size, splendour and authority of his court. Cao Hong has arrived at Hanzhong and with Zhang He and Xiahou Yuan is ensuring","Xiahou Dun carried out his chief's orders and sent the officials he had arrested to Yejun. There Cao Cao set up two flags, one red and one white, in the drill ground and sent all the officials thither. Then he addressed them. “In this late rebellion some of you went out to extinguish the fire, some of you stayed within doors. Let those who went forth to put out the fire take their stand by the red flag, and those who remained in their houses go to the white flag.” The officials thought within themselves, “Certainly there can be nothing wrong in trying to put out a fire,” so they nearly all placed themselves under the red flag; only about a third went to the white. Then the order was given to seize all those by the red flag. They protested. “We are guiltless!” cried they. Cao Cao said, “At that time you intended not to put out the flames but to aid the rebels.” He sent them all down to River Zhang and had them put to death on the bank. There were more than three hundred victims. He rewarded those who were under the white flag and sent them to their homes in the capital. Wang Bi died from his wound and was buried with great honor. Cao Xiu was placed over the guards; Zhong Yao was created Prime Minister of the princedom of Wei, Hua Xin became High Minister. The occasion was taken to create six grades of the title of Lordship with three divisions each, eighteen in all. There were seventeen grades of Marquis West of the Pass. And all these had golden seals of office with purple ribbons. There were also sixteen ranks of Interior Marquis and Exterior Marquis. They had silver seals with tortoise ornaments on the back and black ribbons. There were five classes of Minister with three grades in each class. These had brass seals, with chain ornaments and ribbons. And with all these various gradations of ranks and nobility reorganized, the court was entirely reformed. There were new ranks and new people in office.1 Cao Cao then remembered the warning about a conflagration in the capital and wished to reward Guan Lu for his prescience, but he would receive nothing."
