Source,GoogleTranslate,human1,human2
好奇心もなく、軽けい蔑べつも含まない、彼らが旅芸人という種類の人間であることを忘れてしまったような、私の尋常な好意は、彼らの胸にも沁しみ込んで行くらしかった。私はいつのまにか大島の彼らの家へ行くことにきまってしまっていた。,"My extraordinary favor, with no curiosity, no contempt, and forgetting that they were the kind of traveling entertainer, seemed to sneak into their hearts. .. I had decided to go to their house on Oshima before I knew it.","My common goodwill—which neither was mere curiosity nor bore any trace of contempt for their status as itinerant entertainers—seemed to have touched their hearts. Before I knew it, they had decided that I should accompany them to their place on Oshima.","Indeed I was no longer conscious that they belonged to that low order, traveling performers. They seemed to know it and to be moved by it. Before long they decided that I must visit them on Oshima."
「あれ──謡うたいですよ」,"""That ── I want to sing.""","It's chanting from a Noh drama.""","He's reading a Noh play."""
町は秋の朝風が冷たかった。栄吉は途中で敷しき島しま四箱と柿とカオールという口中清涼剤とを買ってくれた。,"The autumn morning breeze was cold in the town. Eikichi bought four boxes of Shimashima and a persimmon and Cahors, which are refreshing agents in the mouth.","The morning autumn breeze blew chill in the town. Along the way Eikichi bought four packs of Shikishima cigarettes, some persimmons, and a mouthwash called ""Kaoru"" for me.","An autumn wind blew cold through the town. On the way to the ship he bought me fruit and tobacco and a bottle of a cologne called ""Kaoru."""
「この方の飛白は民次と同じ柄だね。ね、そうだね。同じ柄じゃないかね」,"""This person's flying white has the same pattern as Tamiji. Yeah, that's right. It's the same pattern, isn't it?""","The pattern is the same as Tamiji's. Isn't it.7 Isn't it the same?""","The child's come to a dangerous age,"" the older woman said, arching her eyebrows as she tossed over a cloth."
突っ立っている私を見た踊子がすぐに自分の座ざ蒲ぶ団とんをはずして、裏返しに傍そばへ置いた。,The dancer who saw me standing up immediately took off his sitting group and put it inside out by his side.,"As soon as the dancing girl noticed me standing there, she pulled out the cushion she had been kneeling on, turned it over, and placed it near her.",The little dancing girl turned over the cushion she had been sitting on and pushed it politely toward me.
踊子の髪が豊かすぎるので、十七、八に見えていたのだ。その上娘盛りのように装よそわせてあるので、私はとんでもない思い違いをしていたのだ。,"The dancer's hair was so rich that it looked like seventeen or eight. Besides, I was ridiculously misunderstood because I was dressed like a daughter.","The dancing girl's hair had been arranged too elaborately for her age. She had looked seventeen or eighteen. What's more, she had been dressed like a young woman in her prime. I had made a ridiculous mistake.","It was because of her too-rich hair that she had seemed older, and because she was dressed like a girl of fifteen or sixteen. I had made an extraordinary mistake indeed."
まもなく、料理屋の女中が踊子を迎えに来た。踊子は衣裳をつけて私に言った。,"Soon, the maid of the restaurant came to pick up the dancer. The dancer put on a costume and said to me.","A moment later, the maid from the inn came to call for the dancing girl. She put on her costume.","I had read only a few minutes when the maid from the restaurant across the street came for her. ""I'll be right back,"" she said as she smoothed out her clothes."
「まあ！　厭いやらしい。この子は色気づいたんだよ。あれあれ……」と四十女が呆あきれ果てたというふうに眉まゆをひそめて手て拭ぬぐいを投げた。踊子はそれを拾って、窮屈そうに畳を拭ふいた。,"""Well! I don't like it. This kid noticed the color. That ..."", the forty girl frowned at her eyebrows and threw a wipe. The dancer picked it up and wiped the tatami mats cramped.","""My goodness. She's started thinking about the opposite sex. How disgusting! Look at that!"" The older woman furrowed her brow in dismay and threw a hand towel at the girl, who picked it up and wiped the mat, looking ill at ease.","""Dear me. The child's come to a dangerous age,"" the older woman said, arching her eyebrows as she tossed over a cloth."
私の足もとの寝床で、踊子がまっ赤になりながら両の掌ではたと顔を抑えてしまった。彼女は中の娘と一つの床に寝ていた。昨夜の濃こい化粧が残っていた。唇と眦まなじりの紅が少しにじんでいた。この情緒的な寝姿が私の胸を染めた。彼女は眩まぶしそうにくるりと寝返りして、掌で顔を隠したまま蒲団を辷すべり出ると、廊下に坐り、,"On the bed at my feet, the dancer turned red and held my face down with both palms. She was sleeping on one floor with her daughter inside. The dark makeup left last night. The lips and the crimson color were slightly bleeding. This emotional sleeping figure dyed my chest. She turned around dazzlingly, slipped out of the futon with her face hidden in her palm, and sat down in the hallway.","Lying at my feet, the dancing girl blushed and quickly covered her face with her hands. She was sharing a futon with the middle girl. She still had on her heavy makeup from the night before. The rouge on her lips and the corners of her eyes was slightly smudged. Her emotional appearance as she lay there touched my heart. She turned away as if to avoid the light. Hiding her face with her hands, she slid out of the covers and knelt in the hall.","The dancing girl lay almost at my feet, beside the youngest of the women. She flushed deeply and pressed her hands to her face with a quick flutter. Traces of make-up were left from the evening before, rouge on her lips and dots of rouge at the corners of her eyes. A thoroughly appealing little figure. I felt a bright surge of happiness as I looked down at her. Abruptly, still hiding her face, she rolled over, slipped out of bed, and bowed low before me in the hall."
そこで私は出立を延ばすことにして階下へおりた。皆が起きて来るのを待ちながら、汚い帳場で宿の者と話していると、男が散歩に誘った。街道を少し南へ行くと綺麗な橋があった。橋の欄らん干かんによりかかって、彼はまた身の上話を始めた。東京である新派役者の群れにしばらく加わっていたとのことだった。今でも時々大島の港で芝居をするのだそうだ。彼らの荷物の風呂敷から刀の鞘さやが足のようにはみ出していたのだったが、お座敷でも芝居の真ま似ねをして見せるのだと言った。柳やなぎ行ごう李りの中はその衣い裳しようや鍋なべ茶ちや碗わんなぞの世帯道具なのである。,"So I decided to postpone my departure and went downstairs. Waiting for everyone to get up, I was talking to the barman in the dirty counter, and the man invited me for a walk. A little south on the highway, there was a beautiful bridge. He started talking again, leaning on the bridge's balustrade. He was said to have joined the group of Shinpa actors in Tokyo for a while. Even now, he sometimes plays at the port of Oshima. The scabbard of the sword was sticking out of the furoshiki of their luggage like a foot, but he said that he would imitate the play even in the tatami room. Yanagi Yanagi Gogo Lee Inside is a household tool for the costumes, pots, tea, and bowls.","I decided to delay my departure. I went downstairs and talked with the clerk in the dirty office of the lodging house while I waited for the entertainers. The man came down and invited me to go for a walk with him. Along the road to the south was a beautiful bridge. Leaning against the railing, the man began to tell me more about himself. He had acted in a new-style Kabuki troupe in Tokyo for a time and said he still performed occasionally at the port on Oshima. That explained the sword sheath that stuck out of their luggage like an appendage. He told me he also performed when they entertained at gatherings. The wicker trunk held the costumes they used, as well as pots, dishes, and other household effects.","I agreed to wait another day, and went back down to my inn. I sat in the dirty little office talking to the manager while I waited for them to dress. Presently the man came by and we walked out to a pleasant bridge not far from town. He leaned against the railing and talked about himself. He had for a long time belonged to a theater company in Tokyo. Even now he sometimes acted in plays on Oshima, while at parties on the road he could do imitations of actors if called upon to. The strange, leglike bulge in one of the bundles was a stage sword, he explained, and the wicker trunk held both household goods and costumes."
