annotator,source,choiceLabel,choiceText,rejectLabel,rejectText,difficult_choice,comment
en_pl_1,"The mother was speaking from the breakfast room, out of my field of view. I liked that room a lot, with its long, oaken table and glass walls on three sides. You could see the bright sparkle of the lake through the glass walls, and sunlight shifted through the moving branches of an ancient willow that shaded the house.",para,"Matka mówiła z jadalni, która nie była widoczna z mojego miejsca. Bardzo lubiłem to pomieszczenie, z długim, dębowym stołem i szklanymi ścianami po trzech stronach. Przez szklane ściany widać było błyszczące jezioro, a słońce przebijało się przez gałęzie starożytnego wierzby, która zacieniała dom.",sent,"Matka mówiła z jadalni, poza moim zasięgiem wzroku. Bardzo lubiłem tamten pokój, z długim dębowym stołem i ścianami z szkła po trzech stronach. Przez szklane ściany można było dostrzec jasne błyski jeziora, a słońce przebijało się przez poruszające gałęzie starożytnego wierzby, która zacieniała dom.","YES, both translations are close in quality and it was hard to choose between them.","Both translations are comparable. Both make the same mistake of using the wrong form of the adjective ""ancient"" describing the ""willow"" (masculine instead of feminine to match the feminine noun ""willow""). They also both translate ""shaded"" rather directly which is a verb that is not really used in Polish a lot and doesn't appear in many dictionaries (""ocieniała"" could be a better choice). T2 is less awkward at translating ""the bright sparkle of the lake"". The very beginning ""out of my field of view"" is worded better in T1 but T2 version is still acceptable. "
en_pl_1,"We had a system of accounting, a chart on a wall. There were merits and demerits. A merit was for an outrage success­fully committed, a demerit for an act that should bring on humiliation. Juicy got merits for drooling into cocktails undetected, while Low got demerits for kissing up to a father. Probably not his own—Low’s parentage was a well-kept secret. But he’d been spotted asking a guy with male-pattern baldness for wardrobe advice.",para,"Mieliśmy system rozliczeń, wykres na ścianie. Były zasługi i wpadki. Zasługa za udane przestępstwo, wpadka za czyn, który miałby wywołać upokorzenie. Juicy dostawał zasługi za wlewanie śliny do drinków niezauważenie, a Low wpadki za lizanie dupy jakiemuś ojcu. Prawdopodobnie nie swojemu — pochodzenie Lowa było dobrze strzeżoną tajemnicą. Ale został złapany, gdy pytał mężczyznę z typową łysiną o porady dotyczące ubioru.",sent,"Mieliśmy system księgowy, wykres na ścianie. Były zalety i wady. Za dokonanie udanego aktu przemocy przyznawano punkt zasługi, natomiast za działanie, które miało doprowadzić do upokorzenia, punkt ujmy. Juicy zyskał uznanie za to, że niezauważenie wylał do koktajli, podczas gdy Low dostał minusy za to, że zalecał się do ojca. Prawdopodobnie nie był jego własny — pochodzenie Lowa było dobrze strzeżoną tajemnicą. Ale został zauważony, jak pytał faceta o poradę odnośnie garderoby, który miał typową dla mężczyzn łysinę.","NO, the translations I have chosen is visibly better.","Both translations struggle with ""merits"" and ""demerits"" but at least T1 is consistent in the wording. The best translation I can think of would be ""plusy"" (""pluses"") and ""minusy"" (""minuses"") as these can be given, while ""zalety"" (""merits"") and ""wady"" (""demerits"") is rather something that one posses; it's not something that one would be given for good and bad deeds. 
Furthermore, T2 omits the ""salvia"" part form the meaning of ""drooling"" which significantly changes the text -- we no longer know what was poured to the cocktails.
What really distinguishes between T1 and T2 is the catastrophic mistake of translating ""kissing up to a father"" as ""making advances on a father"" in T2. Overall, T1 better conveys the meaning of the original, albeit not in the best/least awkward way."
en_pl_1,"We had to hide the running, though, in case our haste betrayed us, so truer to say we slipped out quietly. When one of my parents appeared, my technique was: pretend to catch sight of someone in the next room. Move in a natural manner toward this figment of my imagination, making a purposeful face. Go through the door. And fade away.",para,"Musieliśmy ukryć naszą ucieczkę, żeby nie wzbudzić podejrzeń, więc powiedzmy, że wycofaliśmy się cicho. Gdy pojawiał się jeden z moich rodziców, moja taktyka polegała na tym, by udawać, że dostrzegam kogoś w następnym pokoju. Ruszać się w naturalny sposób w kierunku tego wytworu mojej wyobraźni, twarzą wyrażać zdecydowanie. Przechodzić przez drzwi. I zniknąć.",sent,"Musieliśmy jednak ukryć naszą ucieczkę, bo nasza pośpieszność mogła nas zdradzić, więc bardziej słusznie powiedzieć, że wycofaliśmy się cicho. Kiedy pojawiał się jeden z moich rodziców, moim sposobem było: udawać, że dostrzegam kogoś w następnym pokoju. Ruszaj się w naturalny sposób w kierunku tego, co wymyśliłem, udając poważną minę. Przejdź przez drzwi. I zniknąć.","NO, the translations I have chosen is visibly better.","This is a hard choice. Both translations make mistakes in the same parts, one leaves verbs in infinitive which looks more like a grammar problem (but can also be classified as mistranslation) (T1) while the other translates them as imperatives (T2) which sounds more like a mistranslation. T1 is marginally better because its first and second sentences are pretty good."
en_pl_1,"As the evenings wore on, some parents got it into their heads to dance. A flash of life would move their lumpen bodies. Sad spectacle. They flopped, blasting their old-time music. “Beat on the brat, beat on the brat, beat on the brat with a baseball bat, oh yeah.”",para,"Kiedy zapadał zmrok, niektórzy rodzice zaczęli tańczyć. Przez chwilę ich nieporadne ciała ożywały. Smutny widok. Wirując, wykrzykiwali swoje dawne piosenki. „Bij w brata, bij w brata, bij w brata kijem baseballowym, oh yeah”.",sent,"Gdy wieczory mijały, niektórzy rodzice zaczęli mieć ochotę na taniec. Moment życia ożywiał ich ciężkie ciała. Smutny widok. Oni wybuchali, wydobywając swoją starą muzykę. „Bij w brudasa, bij w brudasa, bij w brudasa batem baseballowym, oh yeah.”","NO, the translations I have chosen is visibly better.","T1 is unquestionably better, it only translates the song verse wrongly translating ""brat"" as ""brother"" (or leaving it untranslated just changing the form a bit). Other than that is pretty much perfect. T2 has many problems such as awkward wording and mistranslations throughout the entire paragraph.
The song verse should probably not be translated at all (that's where both, T1 and T2, fail at)."
en_pl_1,"Later the talk grew louder. Freed of our influence, some of them emitted sudden, harsh barks. Apparently, laughing. From the wrap­around porch, with its bamboo torches and hanging ferns and porch swings, moth-eaten armchairs and blue-light bug zappers, the barks of laughter carried. We heard them from the treehouses and tennis courts and from the field of beehives a slow neighbor woman tended in the daytime, muttering under the veil of her beekeeping hat. We heard them from behind the cracked panes of the dilapidated greenhouse or on the cool black water of the lake, where we floated in our underwear at midnight.",para,"Później rozmowa stała się głośniejsza. Pozbawieni naszego wpływu, niektórzy wybuchali nagle ostrymi szczeknięciami. Śmiali się. Z tarasu, na którym stały bambusowe pochodnie, wiszące paprocie i huśtawki, znoszone fotele i lampy zbijające owady, dochodziły ich szczeknięcia. Słyszeliśmy je z chat, z kortów tenisowych, z pola uli, nad którym w ciągu dnia czuwała powoli starsza sąsiadka, mamrocząc pod osłoną jej pszczelarskiego kapelusza. Słyszeliśmy je zza pękniętych szyb zardzewiałej szklarni albo z chłodnej czarnej wody jeziora, gdzie o północy pływaliśmy w bieliźnie.",sent,"Później rozmowa stała się głośniejsza. Uwolnieni od naszego wpływu, niektóre z nich wydały nagle głośne, szorstkie szczeknięcia. Wyglądało na to, że śmieje się. Z otaczającego tarasu, z jego bambusowymi pochodniami, wiszącymi paprociami, huśtawkami, zardzewiałymi fotelami i lampami odstraszającymi owady, dochodziły głośne śmiechy. Słyszeliśmy je z drzewnych domków, kortów tenisowych oraz z pola uli, którymi w dzień opiekowała się wolno mówiąca sąsiadka, podczas gdy jej twarz zasłaniał kaptur pszczelarski. Słyszeliśmy je zza pękniętych szyb opuszczonej szklarni albo z chłodnej czarnej wody jeziora, gdzie o północy pływaliśmy w naszych bieliznach.","YES, both translations are close in quality and it was hard to choose between them.","T1 makes one clear grammar mistake (""drzewnych domków"" should be ""domków na drzewie"" constructed with a preposition ""na"" not as an ""attributive"" -- ""house on the tree"" not ""tree('s) house""). The other grammar mistake can be also inconsistency or mistranslation. The text talks about barking (and technically it's not clear these are ""dogs"" -- could be a way of talking about people) and T1 uses two different forms in the second sentence one suggesting it's people, the other it's dogs -- ""uwolnieni"" (freed - (we) people or other masculine noun) and ""niektóre"" (some -- about pets/animals or other non-masculine plural noun) -- this doesn't match and the reason for this mistake is unclear - was the first verb conjugated incorrectly? Or was it mistranslated? T1 also mistranslates the ""slow neighbor"" as ""slowly TALKING neighbor"" which is technically not the same, but it also is not bad. Overall, the system does a great job translating the third sentence, and the translation sounds good apart from the issues mentioned.

T2 uses human forms in the second sentence which can be counted as mistranslations if we assume the ""barking"" is literal and relates to ""dogs."" It also uses wrong verb instead of ""killing"" (in ""bug killing lamps""). Overall both translations sound OK, if we assume that ""barking"" can also relate to people then T2 is slightly better but this is a very hard choice.
"
en_pl_1,"THE GREAT HOUSE had been built by robber barons in the nineteenth century, a palatial retreat for the green months. Our parents, those so-called figures of authority, roamed its rooms in vague circuits beneath the broad beams, their objectives murky. And of no general interest.",para,"WIELKI DOM został wybudowany przez baronów złodziei w XIX wieku, jako letni pałac. Nasi rodzice, ci tzw. autorytety, przechadzali się po jego pokojach w niejasnych kręgach pod szerokimi belkami, ich cele były niejasne. I nie miały ogólnego zainteresowania.",sent,"TA WIELKA POSIADŁOŚĆ została zbudowana przez baronów–rabusiów w XIX wieku, jako pałacowe schronienie na zielone miesiące. Nasi rodzice, ci tak zwani autorytety, błąkali się po jego pokojach w niejasnych kręgach pod szerokimi belkami, ich cele były niejasne. I bez większego zainteresowania.","NO, the translations I have chosen is visibly better.","T1 mistranslates ""retreat"" as ""shelter"" and it messes up the grammar a bit. The rest is full of awkward wording on the border of being classified as a mistranslation. There is also an issue of referring to a feminine noun ""posiadłość"" (""residence"") with ""jego"" (""its"" for masculine nouns); T2 also uses ""jego"" but it's fine there as it's referring to ""dom"" (""house"") which is masculine.

T2 also has awkwardly worded parts, a mistranslation at the end which is a bit more acceptable, and the same grammar mistake of adjusting the case to the ""parents"" not the ""authority figures"". Yet, it is marginally better (especially since its mistranslation is of a lesser degree)."
en_pl_1,"The lady urinated. “Oh, poor old thing, she has a nervous bladder!” exclaimed someone’s chubby mother. “Is that a Persian rug?” Whose mother was it? Unclear. No one would cop to it, of course. We canceled the performance. “Admit it, that was your mother,” said a kid named Rafe to a kid named Sukey, when the parents had filed out. Some of their goblets, highball glasses, and beer bottles were completely empty. Drained. Those parents were in a hurry, then. “No way,” said Sukey firmly, and shook her head. “Then who is your mother? The one with the big ass? Or the one with the clubfoot?” “Neither,” said Sukey. “So fuck you.”",para,"Pani oddała mocz. — Oj, ta biedna stara, ma nerwicę pęcherza! — wykrzyknęła jakaś tłusta matka. — To jest dywan perski? Kto to była? Niejasne. Oczywiście nikt nie przyznał się do tego. Przerwaliśmy przedstawienie. — Przyznaj się, to twoja matka — powiedział chłopak o imieniu Rafe do Sukey, gdy rodzice wyszli. Niektóre z ich kieliszków, szklanek do whisky i butelek piwa były całkowicie puste. Wypite do dna. Rodzice byli wtedy w pośpiechu. — Nie ma mowy — stanowczo odparła Sukey, potrząsając głową. — To która jest twoją matką? Ta z dużym tyłkiem? Albo ta z kulawizną? — Żadna z nich — odpowiedziała Sukey. — Więc niech cię szlag trafi.",sent,"Pani skorzystała z toalety. — Ach, biedna stara, ma nerwicę pęcherza! — wykrzyknęła matka jakiegoś pulchnego kogoś. — To jest dywan perski? Czyja to była matka? Niejasne. Oczywiście, nikt nie chciał się do tego przyznać. Anulowaliśmy występ. — Przyznaj się, to była twoja mama — powiedział Rafe, gdy rodzice wyszli, do Sukey. Niektóre z ich kielichów, szklanek do whisky i butelek piwa były całkowicie puste. Wyczerpany. Ci rodzice byli wtedy w pośpiechu. — Nie ma mowy — stanowczo powiedziała Sukey i pokręciła głową. — To kto jest twoją matką? Ta z dużym tyłkiem? A może ten z kulawą stopą? — Żadne z nich — odparła Sukey. — Więc do diabła z tobą.","NO, the translations I have chosen is visibly better.","T1 is definitively better especially at the end where the conversation flows much better. T2 misses the point at the very beginning and then mistranslates a couple of phrases providing a word-to-word translation. At the end it messes up the gender for mother referring to her as ""he."""
en_pl_1,"One dog got makeup applied to its face, lipstick and blue eye shadow. It was a white-faced dog, so the makeup showed up well. We liked to have an impact. When we were done, the lipstick went back into some mother’s Fendi handbag. We watched her apply it, unaware. That was satisfying.",para,"Jednemu z psów nałożono makijaż twarzy, szminkę i niebieski cień do powiek. Był to pies o białej sierści, więc makijaż bardzo dobrze się prezentował. Chcieliśmy zrobić wrażenie. Kiedy skończyliśmy, szminka wróciła do torebki Fendi jakiejś matki. Patrzyliśmy, jak ją nakłada, nieświadoma naszych działań. To było satysfakcjonujące.",sent,"Jednemu z psów nałożono makijaż twarzy, w tym szminkę i niebieski cień do powiek. Był to pies o białej sierści, więc makijaż dobrze się prezentował. Lubiliśmy wywrzeć wrażenie. Gdy skończyliśmy, szminka wróciła do jakiejś torebki Fendi należącej do matki. Patrzyliśmy, jak to robi, nieświadomi tego. To było satysfakcjonujące.","NO, the translations I have chosen is visibly better.","T1 is much better. It only makes one grammar mistake while T2 mistranslates phrases all around the text. It also uses perfective verb ""wywrzeć"" instead of imperfective ""wywierać"" (aspectual issues)."
en_pl_1,"We put the dogs in a play and invited the parents, since there was no one else to be an audience. But the pets were poorly trained and failed to take direction. There were two soldiers and a fancy lady we’d dressed in a frilly padded bra. The soldiers were cowards. Deserters, basically. They ran away when we issued the battle cry. (A blaring klaxon. It went hoh-onk.)",para,"Zorganizowaliśmy przedstawienie dla zwierząt i zaprosiliśmy rodziców, bo nikogo innego nie było, kto mógłby obejrzeć. Niestety, zwierzaki były źle wyszkolone i nie reagowały na polecenia. Były tam dwa żołnierze i kobieta w fantazyjnym staniku z koronkami. Żołnierze okazali się tchórzami. W zasadzie dezerterami. Uciekli, gdy wydaliśmy bojowe okrzyki. (Klakson wydał głośny hoh-onk.)",sent,"Umieściliśmy psy na scenie i zaprosiliśmy rodziców, ponieważ nie było nikogo innego, kto mógłby być widownią. Ale zwierzęta były źle wyszkolone i nie potrafiły wykonywać poleceń. Były tam dwaj żołnierze i jedna elegancka dama, której ubrałem w falbaniastą, wyściełaną stanik. Żołnierze byli tchórzami. Podstawowo dezerterzy. Uciekli, gdy wydaliśmy okrzyk bojowy. (Głośny syrena. Brzmiało jak hoh-onk.)","NO, the translations I have chosen is visibly better.","This is a hard choice because T2 starts really really well, but then it messes up grammar and it finishes poorly with the text in brackets being close to incomprehensible (you can still understand it but it requires some mental gymnastic). 
T1, on the other hand, makes a huge mistake at the beginning translating ""put the dogs in a play"" as ""a play FOR the dogs"". It also misses the point whom the word ""fancy"" describes -- ""the bra"" not ""the lady"" (though I guess ""fantazyjny"" is not far from ""frilly"" so can be somewhat used for the ""bra""). That being said, if I were to choose one T1 would probably win because of how bad the latter part of T2 is -- even though I love the first sentence from T2, T1 works better as a whole.
Both translations don't translate the onomatopoeia at the end, which is unfortunate."
en_pl_1,"Even the smallest canoe could take us down to the ocean. We’d paddle across the lake, over a marsh, down a stream, and come to the river’s mouth. Where the water met the sky. We’d run along the beach on a salt breeze, leaving our boats on the sand.",para,"Nawet najmniejsza łódka mogłaby nas zawieźć do oceanu. Płynęlibyśmy po jeziorze, przez bagno, w dół strumienia, aż do ujścia rzeki. Tam, gdzie woda spotykała się z niebem. Przemierzalibyśmy plażę na słonecznym wietrze, zostawiając łodzie na piasku.",sent,"Nawet najmniejsza łódka mogłaby nas zabrać w dół do oceanu. Płynęlibyśmy przez jezioro, przez bagno, w dół rzeki, aż do jej ujścia. Tam, gdzie woda spotykała się z niebem. Biegliśmy po plaży w słonecznym wietrze, zostawiając nasze łodzie na piasku.","YES, both translations are close in quality and it was hard to choose between them.","Both translations are comparable and make the same mistake of translating ""salty wind"" as ""sunny wind."" 
T1 makes better word choice in ""nas zabrać"" (T1) vs ""nas zawieźć"" (T2) (though this may be subjective) but T2 better translates the last sentence using ""-byśmy"" (would) which makes it slightly better. Finally, the verb choice in T2 ""przemierzać"" (""traverse"" or ""explore"") is a better fit to literary translation than ""biegać"" (""run"") in T1."
